signal_snapshot_id,ticker,snapshot_date,simulation_link_key,forward_tracker_link_key,best_available_match_method,best_match_confidence,matched_forward_source_path,matched_horizons,unmatched_reason,required_key_to_improve_match,recommended_resolution
V18_21B-2026-05-20-APG-9742BE4F951F,APG,2026-05-20,,,none,UNMATCHED_OR_AMBIGUOUS,,,No usable local forward outcome matched this signal row.,ticker_and_signal_date_or_signal_snapshot_id,ADD_SIGNAL_DATE_TO_FORWARD_OUTCOMES
V18_21B-2026-05-20-APH-76EE8B86E458,APH,2026-05-20,simulation|2026-05-20|APH,forward_tracker|2026-05-20|APH,ticker_only,LOW_CONFIDENCE_MATCH,D:\us-tech-quant\outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATE_FORWARD_TRACKER.csv,1D,Ticker-only forward outcome match; date/link key absent or not aligned.,signal_snapshot_id_or_forward_tracker_link_key,ALREADY_MATCHED_LOW_CONFIDENCE
V18_21B-2026-05-20-APLD-D87323848D7E,APLD,2026-05-20,,,none,UNMATCHED_OR_AMBIGUOUS,,,No usable local forward outcome matched this signal row.,ticker_and_signal_date_or_signal_snapshot_id,ADD_SIGNAL_DATE_TO_FORWARD_OUTCOMES
V18_21B-2026-05-20-APO-F6665EDD3EC8,APO,2026-05-20,,,none,UNMATCHED_OR_AMBIGUOUS,,,No usable local forward outcome matched this signal row.,ticker_and_signal_date_or_signal_snapshot_id,ADD_SIGNAL_DATE_TO_FORWARD_OUTCOMES
V18_21B-2026-05-20-APP-C768F264BD2E,APP,2026-05-20,,,none,UNMATCHED_OR_AMBIGUOUS,,,No usable local forward outcome matched this signal row.,ticker_and_signal_date_or_signal_snapshot_id,ADD_SIGNAL_DATE_TO_FORWARD_OUTCOMES
V18_21B-2026-05-20-ARGT-2E13A5835A0C,ARGT,2026-05-20,,,none,UNMATCHED_OR_AMBIGUOUS,,,No usable local forward outcome matched this signal row.,ticker_and_signal_date_or_signal_snapshot_id,ADD_SIGNAL_DATE_TO_FORWARD_OUTCOMES
V18_21B-2026-05-20-ARM-5AA1A6CDD7D8,ARM,2026-05-20,,forward_tracker|2026-05-20|ARM,ticker_only,LOW_CONFIDENCE_MATCH,D:\us-tech-quant\outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATE_FORWARD_TRACKER.csv,1D,Ticker-only forward outcome match; date/link key absent or not aligned.,signal_snapshot_id_or_forward_tracker_link_key,ALREADY_MATCHED_LOW_CONFIDENCE
V18_21B-2026-05-20-ASML-8114217A271C,ASML,2026-05-20,,forward_tracker|2026-05-20|ASML,ticker_only,LOW_CONFIDENCE_MATCH,D:\us-tech-quant\outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATE_FORWARD_TRACKER.csv,1D,Ticker-only forward outcome match; date/link key absent or not aligned.,signal_snapshot_id_or_forward_tracker_link_key,ALREADY_MATCHED_LOW_CONFIDENCE
V18_21B-2026-05-20-AVGO-CA04A2376CCA,AVGO,2026-05-20,simulation|2026-05-20|AVGO,forward_tracker|2026-05-20|AVGO,ticker_only,LOW_CONFIDENCE_MATCH,D:\us-tech-quant\outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATE_FORWARD_TRACKER.csv,1D,Ticker-only forward outcome match; date/link key absent or not aligned.,signal_snapshot_id_or_forward_tracker_link_key,ALREADY_MATCHED_LOW_CONFIDENCE
V18_21B-2026-05-20-AXON-619197D5A009,AXON,2026-05-20,,,none,UNMATCHED_OR_AMBIGUOUS,,,No usable local forward outcome matched this signal row.,ticker_and_signal_date_or_signal_snapshot_id,ADD_SIGNAL_DATE_TO_FORWARD_OUTCOMES
V18_21B-2026-05-20-BABA-C5C5E084C848,BABA,2026-05-20,,,none,UNMATCHED_OR_AMBIGUOUS,,,No usable local forward outcome matched this signal row.,ticker_and_signal_date_or_signal_snapshot_id,ADD_SIGNAL_DATE_TO_FORWARD_OUTCOMES
V18_21B-2026-05-20-BAC-0E105AD89329,BAC,2026-05-20,,,none,UNMATCHED_OR_AMBIGUOUS,,,No usable local forward outcome matched this signal row.,ticker_and_signal_date_or_signal_snapshot_id,ADD_SIGNAL_DATE_TO_FORWARD_OUTCOMES
V18_21B-2026-05-20-BALL-3A27B3EAD26A,BALL,2026-05-20,,,none,UNMATCHED_OR_AMBIGUOUS,,,No usable local forward outcome matched this signal row.,ticker_and_signal_date_or_signal_snapshot_id,ADD_SIGNAL_DATE_TO_FORWARD_OUTCOMES
V18_21B-2026-05-20-BE-216747B2B64F,BE,2026-05-20,,forward_tracker|2026-05-20|BE,ticker_only,LOW_CONFIDENCE_MATCH,D:\us-tech-quant\outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATE_FORWARD_TRACKER.csv,1D,Ticker-only forward outcome match; date/link key absent or not aligned.,signal_snapshot_id_or_forward_tracker_link_key,ALREADY_MATCHED_LOW_CONFIDENCE
V18_21B-2026-05-20-BIDU-60CFAD7B34DE,BIDU,2026-05-20,,,none,UNMATCHED_OR_AMBIGUOUS,,,No usable local forward outcome matched this signal row.,ticker_and_signal_date_or_signal_snapshot_id,ADD_SIGNAL_DATE_TO_FORWARD_OUTCOMES
V18_21B-2026-05-20-BITF-57CB7BB5B8EE,BITF,2026-05-20,,,none,UNMATCHED_OR_AMBIGUOUS,,,No usable local forward outcome matched this signal row.,ticker_and_signal_date_or_signal_snapshot_id,ADD_SIGNAL_DATE_TO_FORWARD_OUTCOMES
V18_21B-2026-05-20-BKNG-4F4C7627E72B,BKNG,2026-05-20,,,none,UNMATCHED_OR_AMBIGUOUS,,,No usable local forward outcome matched this signal row.,ticker_and_signal_date_or_signal_snapshot_id,ADD_SIGNAL_DATE_TO_FORWARD_OUTCOMES
V18_21B-2026-05-20-BLSH-3C542A12A165,BLSH,2026-05-20,,,none,UNMATCHED_OR_AMBIGUOUS,,,No usable local forward outcome matched this signal row.,ticker_and_signal_date_or_signal_snapshot_id,ADD_SIGNAL_DATE_TO_FORWARD_OUTCOMES
V18_21B-2026-05-20-BLTE-3A4900237416,BLTE,2026-05-20,,,none,UNMATCHED_OR_AMBIGUOUS,,,No usable local forward outcome matched this signal row.,ticker_and_signal_date_or_signal_snapshot_id,ADD_SIGNAL_DATE_TO_FORWARD_OUTCOMES
V18_21B-2026-05-20-BN-769A91B58BF3,BN,2026-05-20,,,none,UNMATCHED_OR_AMBIGUOUS,,,No usable local forward outcome matched this signal row.,ticker_and_signal_date_or_signal_snapshot_id,ADD_SIGNAL_DATE_TO_FORWARD_OUTCOMES
V18_21B-2026-05-20-BSX-40930E7D61F4,BSX,2026-05-20,,,none,UNMATCHED_OR_AMBIGUOUS,,,No usable local forward outcome matched this signal row.,ticker_and_signal_date_or_signal_snapshot_id,ADD_SIGNAL_DATE_TO_FORWARD_OUTCOMES
V18_21B-2026-05-20-BTDR-190250B62F65,BTDR,2026-05-20,,forward_tracker|2026-05-20|BTDR,ticker_only,LOW_CONFIDENCE_MATCH,D:\us-tech-quant\outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATE_FORWARD_TRACKER.csv,1D,Ticker-only forward outcome match; date/link key absent or not aligned.,signal_snapshot_id_or_forward_tracker_link_key,ALREADY_MATCHED_LOW_CONFIDENCE
V18_21B-2026-05-20-BW-D6CB68EB9AFD,BW,2026-05-20,,,none,UNMATCHED_OR_AMBIGUOUS,,,No usable local forward outcome matched this signal row.,ticker_and_signal_date_or_signal_snapshot_id,ADD_SIGNAL_DATE_TO_FORWARD_OUTCOMES
V18_21B-2026-05-20-BYND-467E92368F6E,BYND,2026-05-20,,,none,UNMATCHED_OR_AMBIGUOUS,,,No usable local forward outcome matched this signal row.,ticker_and_signal_date_or_signal_snapshot_id,ADD_SIGNAL_DATE_TO_FORWARD_OUTCOMES
V18_21B-2026-05-20-CAI-032C61F7C1BC,CAI,2026-05-20,,,none,UNMATCHED_OR_AMBIGUOUS,,,No usable local forward outcome matched this signal row.,ticker_and_signal_date_or_signal_snapshot_id,ADD_SIGNAL_DATE_TO_FORWARD_OUTCOMES
V18_21B-2026-05-20-CAMT-371D42EFA519,CAMT,2026-05-20,simulation|2026-05-20|CAMT,forward_tracker|2026-05-20|CAMT,ticker_only,LOW_CONFIDENCE_MATCH,D:\us-tech-quant\outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATE_FORWARD_TRACKER.csv,1D,Ticker-only forward outcome match; date/link key absent or not aligned.,signal_snapshot_id_or_forward_tracker_link_key,ALREADY_MATCHED_LOW_CONFIDENCE
V18_21B-2026-05-20-CARR-A9653B47AFB5,CARR,2026-05-20,,forward_tracker|2026-05-20|CARR,ticker_only,LOW_CONFIDENCE_MATCH,D:\us-tech-quant\outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATE_FORWARD_TRACKER.csv,1D,Ticker-only forward outcome match; date/link key absent or not aligned.,signal_snapshot_id_or_forward_tracker_link_key,ALREADY_MATCHED_LOW_CONFIDENCE
V18_21B-2026-05-20-CART-2D1AD375959C,CART,2026-05-20,,,none,UNMATCHED_OR_AMBIGUOUS,,,No usable local forward outcome matched this signal row.,ticker_and_signal_date_or_signal_snapshot_id,ADD_SIGNAL_DATE_TO_FORWARD_OUTCOMES
V18_21B-2026-05-20-CDNS-469BD41F4CDD,CDNS,2026-05-20,,,none,UNMATCHED_OR_AMBIGUOUS,,,No usable local forward outcome matched this signal row.,ticker_and_signal_date_or_signal_snapshot_id,ADD_SIGNAL_DATE_TO_FORWARD_OUTCOMES
V18_21B-2026-05-20-CDTX-B94D104C09FB,CDTX,2026-05-20,,,none,UNMATCHED_OR_AMBIGUOUS,,,No usable local forward outcome matched this signal row.,ticker_and_signal_date_or_signal_snapshot_id,ADD_SIGNAL_DATE_TO_FORWARD_OUTCOMES
V18_21B-2026-05-20-CEG-FEB3E6E8D4C3,CEG,2026-05-20,simulation|2026-05-20|CEG,forward_tracker|2026-05-20|CEG,ticker_only,LOW_CONFIDENCE_MATCH,D:\us-tech-quant\outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATE_FORWARD_TRACKER.csv,1D,Ticker-only forward outcome match; date/link key absent or not aligned.,signal_snapshot_id_or_forward_tracker_link_key,ALREADY_MATCHED_LOW_CONFIDENCE
V18_21B-2026-05-20-CFLT-4C682448874B,CFLT,2026-05-20,,,none,UNMATCHED_OR_AMBIGUOUS,,,No usable local forward outcome matched this signal row.,ticker_and_signal_date_or_signal_snapshot_id,ADD_SIGNAL_DATE_TO_FORWARD_OUTCOMES
V18_21B-2026-05-20-CHPT-E4FA4721B087,CHPT,2026-05-20,,,none,UNMATCHED_OR_AMBIGUOUS,,,No usable local forward outcome matched this signal row.,ticker_and_signal_date_or_signal_snapshot_id,ADD_SIGNAL_DATE_TO_FORWARD_OUTCOMES
V18_21B-2026-05-20-CHRW-851193C265FF,CHRW,2026-05-20,,,none,UNMATCHED_OR_AMBIGUOUS,,,No usable local forward outcome matched this signal row.,ticker_and_signal_date_or_signal_snapshot_id,ADD_SIGNAL_DATE_TO_FORWARD_OUTCOMES
V18_21B-2026-05-20-CHYM-6691A6F0BC6E,CHYM,2026-05-20,,,none,UNMATCHED_OR_AMBIGUOUS,,,No usable local forward outcome matched this signal row.,ticker_and_signal_date_or_signal_snapshot_id,ADD_SIGNAL_DATE_TO_FORWARD_OUTCOMES
V18_21B-2026-05-20-CIEN-3040C7BA0445,CIEN,2026-05-20,,,none,UNMATCHED_OR_AMBIGUOUS,,,No usable local forward outcome matched this signal row.,ticker_and_signal_date_or_signal_snapshot_id,ADD_SIGNAL_DATE_TO_FORWARD_OUTCOMES
V18_21B-2026-05-20-CIFR-D75FBB021A8F,CIFR,2026-05-20,,,none,UNMATCHED_OR_AMBIGUOUS,,,No usable local forward outcome matched this signal row.,ticker_and_signal_date_or_signal_snapshot_id,ADD_SIGNAL_DATE_TO_FORWARD_OUTCOMES
V18_21B-2026-05-20-CLF-EEFB27FB9FCA,CLF,2026-05-20,,,none,UNMATCHED_OR_AMBIGUOUS,,,No usable local forward outcome matched this signal row.,ticker_and_signal_date_or_signal_snapshot_id,ADD_SIGNAL_DATE_TO_FORWARD_OUTCOMES
V18_21B-2026-05-20-CLH-5437B070D1AD,CLH,2026-05-20,,,none,UNMATCHED_OR_AMBIGUOUS,,,No usable local forward outcome matched this signal row.,ticker_and_signal_date_or_signal_snapshot_id,ADD_SIGNAL_DATE_TO_FORWARD_OUTCOMES
V18_21B-2026-05-20-CLS-E64ACBCE649E,CLS,2026-05-20,,,none,UNMATCHED_OR_AMBIGUOUS,,,No usable local forward outcome matched this signal row.,ticker_and_signal_date_or_signal_snapshot_id,ADD_SIGNAL_DATE_TO_FORWARD_OUTCOMES
V18_21B-2026-05-20-CLSK-274B527CBFD2,CLSK,2026-05-20,,,none,UNMATCHED_OR_AMBIGUOUS,,,No usable local forward outcome matched this signal row.,ticker_and_signal_date_or_signal_snapshot_id,ADD_SIGNAL_DATE_TO_FORWARD_OUTCOMES
V18_21B-2026-05-20-CMG-66AB95ED72E7,CMG,2026-05-20,,,none,UNMATCHED_OR_AMBIGUOUS,,,No usable local forward outcome matched this signal row.,ticker_and_signal_date_or_signal_snapshot_id,ADD_SIGNAL_DATE_TO_FORWARD_OUTCOMES
V18_21B-2026-05-20-CNM-B692729F5C30,CNM,2026-05-20,,,none,UNMATCHED_OR_AMBIGUOUS,,,No usable local forward outcome matched this signal row.,ticker_and_signal_date_or_signal_snapshot_id,ADD_SIGNAL_DATE_TO_FORWARD_OUTCOMES
V18_21B-2026-05-20-COF-B0084DAD3C97,COF,2026-05-20,,,none,UNMATCHED_OR_AMBIGUOUS,,,No usable local forward outcome matched this signal row.,ticker_and_signal_date_or_signal_snapshot_id,ADD_SIGNAL_DATE_TO_FORWARD_OUTCOMES
V18_21B-2026-05-20-COG-4EB07F886567,COG,2026-05-20,,,none,UNMATCHED_OR_AMBIGUOUS,,,No usable local forward outcome matched this signal row.,ticker_and_signal_date_or_signal_snapshot_id,ADD_SIGNAL_DATE_TO_FORWARD_OUTCOMES
V18_21B-2026-05-20-COGT-27D0B729F4EF,COGT,2026-05-20,,,none,UNMATCHED_OR_AMBIGUOUS,,,No usable local forward outcome matched this signal row.,ticker_and_signal_date_or_signal_snapshot_id,ADD_SIGNAL_DATE_TO_FORWARD_OUTCOMES
V18_21B-2026-05-20-COHR-0FC5B461D5EF,COHR,2026-05-20,,,none,UNMATCHED_OR_AMBIGUOUS,,,No usable local forward outcome matched this signal row.,ticker_and_signal_date_or_signal_snapshot_id,ADD_SIGNAL_DATE_TO_FORWARD_OUTCOMES
V18_21B-2026-05-20-COHU-4021176BB824,COHU,2026-05-20,,,none,UNMATCHED_OR_AMBIGUOUS,,,No usable local forward outcome matched this signal row.,ticker_and_signal_date_or_signal_snapshot_id,ADD_SIGNAL_DATE_TO_FORWARD_OUTCOMES
V18_21B-2026-05-20-CORZ-5406C7C79BE6,CORZ,2026-05-20,,,none,UNMATCHED_OR_AMBIGUOUS,,,No usable local forward outcome matched this signal row.,ticker_and_signal_date_or_signal_snapshot_id,ADD_SIGNAL_DATE_TO_FORWARD_OUTCOMES
V18_21B-2026-05-20-CPAY-EAD725AAA38E,CPAY,2026-05-20,,,none,UNMATCHED_OR_AMBIGUOUS,,,No usable local forward outcome matched this signal row.,ticker_and_signal_date_or_signal_snapshot_id,ADD_SIGNAL_DATE_TO_FORWARD_OUTCOMES
V18_21B-2026-05-20-CPNG-BE65BAE5318F,CPNG,2026-05-20,,,none,UNMATCHED_OR_AMBIGUOUS,,,No usable local forward outcome matched this signal row.,ticker_and_signal_date_or_signal_snapshot_id,ADD_SIGNAL_DATE_TO_FORWARD_OUTCOMES
V18_21B-2026-05-20-CRCL-7A5D937A90D5,CRCL,2026-05-20,,,none,UNMATCHED_OR_AMBIGUOUS,,,No usable local forward outcome matched this signal row.,ticker_and_signal_date_or_signal_snapshot_id,ADD_SIGNAL_DATE_TO_FORWARD_OUTCOMES
V18_21B-2026-05-20-CRDO-90622F171966,CRDO,2026-05-20,simulation|2026-05-20|CRDO,,none,UNMATCHED_OR_AMBIGUOUS,,,No usable local forward outcome matched this signal row.,ticker_and_signal_date_or_signal_snapshot_id,ADD_SIGNAL_DATE_TO_FORWARD_OUTCOMES
V18_21B-2026-05-20-CRH-7890046E78C6,CRH,2026-05-20,,,none,UNMATCHED_OR_AMBIGUOUS,,,No usable local forward outcome matched this signal row.,ticker_and_signal_date_or_signal_snapshot_id,ADD_SIGNAL_DATE_TO_FORWARD_OUTCOMES
V18_21B-2026-05-20-CRM-4B6A8A9822DB,CRM,2026-05-20,simulation|2026-05-20|CRM,,none,UNMATCHED_OR_AMBIGUOUS,,,No usable local forward outcome matched this signal row.,ticker_and_signal_date_or_signal_snapshot_id,ADD_SIGNAL_DATE_TO_FORWARD_OUTCOMES
V18_21B-2026-05-20-CRS-9E8411A2D7B5,CRS,2026-05-20,,,none,UNMATCHED_OR_AMBIGUOUS,,,No usable local forward outcome matched this signal row.,ticker_and_signal_date_or_signal_snapshot_id,ADD_SIGNAL_DATE_TO_FORWARD_OUTCOMES
V18_21B-2026-05-20-CRWD-217E2A06257A,CRWD,2026-05-20,simulation|2026-05-20|CRWD,,none,UNMATCHED_OR_AMBIGUOUS,,,No usable local forward outcome matched this signal row.,ticker_and_signal_date_or_signal_snapshot_id,ADD_SIGNAL_DATE_TO_FORWARD_OUTCOMES
V18_21B-2026-05-20-CRWV-F83F6F4BDF71,CRWV,2026-05-20,simulation|2026-05-20|CRWV,,none,UNMATCHED_OR_AMBIGUOUS,,,No usable local forward outcome matched this signal row.,ticker_and_signal_date_or_signal_snapshot_id,ADD_SIGNAL_DATE_TO_FORWARD_OUTCOMES
V18_21B-2026-05-20-CSCO-20A34533A3CF,CSCO,2026-05-20,simulation|2026-05-20|CSCO,,none,UNMATCHED_OR_AMBIGUOUS,,,No usable local forward outcome matched this signal row.,ticker_and_signal_date_or_signal_snapshot_id,ADD_SIGNAL_DATE_TO_FORWARD_OUTCOMES
V18_21B-2026-05-20-CSGP-63C03BF03D3D,CSGP,2026-05-20,,,none,UNMATCHED_OR_AMBIGUOUS,,,No usable local forward outcome matched this signal row.,ticker_and_signal_date_or_signal_snapshot_id,ADD_SIGNAL_DATE_TO_FORWARD_OUTCOMES
V18_21B-2026-05-20-CVNA-D41B603B553F,CVNA,2026-05-20,,,none,UNMATCHED_OR_AMBIGUOUS,,,No usable local forward outcome matched this signal row.,ticker_and_signal_date_or_signal_snapshot_id,ADD_SIGNAL_DATE_TO_FORWARD_OUTCOMES
V18_21B-2026-05-20-D-8FA06CFDC51A,D,2026-05-20,simulation|2026-05-20|D,,none,UNMATCHED_OR_AMBIGUOUS,,,No usable local forward outcome matched this signal row.,ticker_and_signal_date_or_signal_snapshot_id,ADD_SIGNAL_DATE_TO_FORWARD_OUTCOMES
V18_21B-2026-05-20-DAKT-7B017EC411F6,DAKT,2026-05-20,,,none,UNMATCHED_OR_AMBIGUOUS,,,No usable local forward outcome matched this signal row.,ticker_and_signal_date_or_signal_snapshot_id,ADD_SIGNAL_DATE_TO_FORWARD_OUTCOMES
V18_21B-2026-05-20-DAL-256C6763B8D0,DAL,2026-05-20,,,none,UNMATCHED_OR_AMBIGUOUS,,,No usable local forward outcome matched this signal row.,ticker_and_signal_date_or_signal_snapshot_id,ADD_SIGNAL_DATE_TO_FORWARD_OUTCOMES
