"rank","ticker","composite_candidate_score","system_price_date","system_close","manual_price_date","manual_close","change_pct_from_system","manual_latest_price_flag"
"36","MTZ","44.867568","2026-05-20","384.21","2026-05-28","383.33","-0.23","STABLE"
"37","AMZN","44.448","2026-05-26","265.29","2026-05-28","274","3.28","MEDIUM_RECHECK"
"38","PWR","44.332","2026-05-26","742.18","2026-05-28","730.1","-1.63","STABLE"
"39","WOLF","44.0","2026-05-22","69.89","2026-05-28","65.05","-6.93","HIGH_RECHECK"
"40","TTMI","43.509206","2026-05-21","175.265","2026-05-28","187.79","7.15","HIGH_RECHECK"
"41","CSCO","43.308","2026-05-26","118.33","2026-05-28","118.64","0.26","STABLE"
"42","MSFT","43.24","2026-05-26","416.03","2026-05-28","426.99","2.63","MEDIUM_RECHECK"
"43","BE","42.808","2026-05-26","302.4","2026-05-28","290.01","-4.1","MEDIUM_RECHECK"
"44","ANET","42.428","2026-05-26","158.01","2026-05-28","155.27","-1.73","STABLE"
"45","TWLO","41.763811","2026-05-21","183.89","2026-05-28","184.6","0.39","STABLE"
"46","MTSI","41.672872","2026-05-20","375.71","2026-05-28","391.09","4.09","MEDIUM_RECHECK"
"47","MOH","41.449645","2026-05-20","182.24","2026-05-28","178.02","-2.32","MEDIUM_RECHECK"
"48","HTZ","40.914843","2026-05-21","5.06","2026-05-28","5.49","8.5","HIGH_RECHECK"
"49","PUMP","40.669884","2026-05-21","16.945","2026-05-28","15.16","-10.53","EXTREME_RECHECK"
"50","OLPX","40.593772","2026-05-21","2.03","2026-05-28","2.05","0.99","STABLE"
"51","ECL","40.524","2026-05-26","254.23","2026-05-28","260.25","2.37","MEDIUM_RECHECK"
"52","LBRT","40.458386","2026-05-20","32.72","2026-05-28","29.06","-11.19","EXTREME_RECHECK"
"53","APLD","40.362536","2026-05-21","48.02","2026-05-28","49.65","3.39","MEDIUM_RECHECK"
"54","BITF","40.209321","2026-05-20","4.235","2026-05-28","5.615","32.59","EXTREME_RECHECK"
"55","EWY","40.1929","2026-05-20","180.11","2026-05-28","206.41","14.6","EXTREME_RECHECK"
"56","INTC","40.192","2026-05-26","123.52","2026-05-28","120.89","-2.13","MEDIUM_RECHECK"
"57","CRM","40.144","2026-05-26","179.08","2026-05-28","176.17","-1.62","STABLE"
"58","AEVA","40.096142","2026-05-20","21.11","2026-05-28","25.84","22.41","EXTREME_RECHECK"
"59","U","39.897302","2026-05-21","25.8","2026-05-28","29.94","16.05","EXTREME_RECHECK"
"60","ASML","39.76","2026-05-26","1632.03","2026-05-28","1605.77","-1.61","STABLE"
"61","SMTC","39.742207","2026-05-21","148.17","2026-05-28","166.33","12.26","EXTREME_RECHECK"
"62","LYB","39.568476","2026-05-20","71.3","2026-05-28","68.35","-4.14","MEDIUM_RECHECK"
"63","TSM","39.38","2026-05-26","412.32","2026-05-28","424.86","3.04","MEDIUM_RECHECK"
"64","SEI","39.144581","2026-05-21","72.735","2026-05-28","68.68","-5.58","HIGH_RECHECK"
"65","CLH","38.640282","2026-05-20","291.4","2026-05-28","280.71","-3.67","MEDIUM_RECHECK"
"66","SATS","38.622888","2026-05-21","135.77","2026-05-28","131.07","-3.46","MEDIUM_RECHECK"
"67","CLS","38.62","2026-05-26","370.84","2026-05-28","351.02","-5.34","HIGH_RECHECK"
"68","HUM","38.48347","2026-05-20","304.1","2026-05-28","308.7","1.51","STABLE"
"69","RVMD","38.438059","2026-05-21","153.51","2026-05-28","154.63","0.73","STABLE"
"70","XYZ","38.326374","2026-05-21","68.65","2026-05-28","74.35","8.3","HIGH_RECHECK"
"71","VST","38.24","2026-05-26","164.56","2026-05-28","160.28","-2.6","MEDIUM_RECHECK"
"72","WYFI","38.017887","2026-05-22","30.19","2026-05-28","32.18","6.59","HIGH_RECHECK"
"73","WULF","38.015944","2026-05-21","22.92","2026-05-28","26.4","15.18","EXTREME_RECHECK"
"74","NVT","37.856","2026-05-26","169.29","2026-05-28","164.87","-2.61","MEDIUM_RECHECK"
"75","MOD","37.696","2026-05-26","295.88","2026-05-28","270.7","-8.51","HIGH_RECHECK"
"76","QSR","37.694858","2026-05-21","75.205","2026-05-28","74.31","-1.19","STABLE"
"77","AEIS","37.690303","2026-05-20","313.05","2026-05-28","317.08","1.29","STABLE"
"78","XENE","37.636994","2026-05-21","54.12","2026-05-28","54.79","1.24","STABLE"
"79","APH","37.476","2026-05-26","139.56","2026-05-28","147.68","5.82","HIGH_RECHECK"
"80","TWST","37.448987","2026-05-21","53.935","2026-05-28","69.03","27.99","EXTREME_RECHECK"
"81","GSG","37.13243","2026-05-20","33.76","2026-05-28","32.11","-4.89","MEDIUM_RECHECK"
"82","EQIX","36.986178","2026-05-20","1065.0601","2026-05-28","1069.4399","0.41","STABLE"
"83","SOXX","36.784","2026-05-26","570.09","2026-05-28","569.47","-0.11","STABLE"
"84","RIOT","36.503542","2026-05-21","24.63","2026-05-28","27.74","12.63","EXTREME_RECHECK"
"85","ROKU","36.42039","2026-05-21","126.155","2026-05-28","131.09","3.91","MEDIUM_RECHECK"
"86","UNH","36.332522","2026-05-21","385.11","2026-05-28","382.53","-0.67","STABLE"
"87","CRCL","36.306363","2026-05-22","113.12","2026-05-28","108.24","-4.31","MEDIUM_RECHECK"
"88","NI","36.202758","2026-05-20","47.02","2026-05-28","46.77","-0.53","STABLE"
"89","NFLX","36.130062","2026-05-20","88.09","2026-05-28","86.36","-1.96","STABLE"
"90","PANW","36.072","2026-05-26","256.75","2026-05-28","257.77","0.4","STABLE"
"91","VIST","36.042571","2026-05-21","75.54","2026-05-28","73.12","-3.2","MEDIUM_RECHECK"
"92","JCI","36.019782","2026-05-20","137.75","2026-05-28","136.15","-1.16","STABLE"
"93","IGV","35.952","2026-05-26","94.05","2026-05-28","95.68","1.73","STABLE"
"94","DBVT","35.851684","2026-05-21","18.57","2026-05-28","18.99","2.26","MEDIUM_RECHECK"
"95","LSCC","35.814654","2026-05-20","138.74","2026-05-28","147.31","6.18","HIGH_RECHECK"
"96","XPO","35.726432","2026-05-21","203.57","2026-05-28","214.03","5.14","HIGH_RECHECK"
"97","BLSH","35.676937","2026-05-22","35.18","2026-05-28","35.82","1.82","STABLE"
"98","WLK","35.644882","2026-05-21","88.1","2026-05-28","87.67","-0.49","STABLE"
"99","AA","35.622948","2026-05-20","64.14","2026-05-28","75.58","17.84","EXTREME_RECHECK"
"100","SOLS","35.46783","2026-05-22","81.76","2026-05-28","84.57","3.44","MEDIUM_RECHECK"
"101","NTAP","35.416","2026-05-26","138.95","2026-05-28","142.4","2.48","MEDIUM_RECHECK"
"102","EWZ","35.290541","2026-05-20","36.75","2026-05-28","36.11","-1.74","STABLE"
"103","IBIT","35.270648","2026-05-20","43.99","2026-05-28","41.56","-5.52","HIGH_RECHECK"
"104","APG","35.030941","2026-05-20","42.04","2026-05-28","41.58","-1.09","STABLE"
"105","GOOG","34.850946","2026-05-20","384.9","2026-05-28","386.12","0.32","STABLE"
"106","PTON","34.719287","2026-05-21","5.075","2026-05-28","6.04","19.01","EXTREME_RECHECK"
"107","PCT","34.600968","2026-05-21","11.67","2026-05-28","12.87","10.28","EXTREME_RECHECK"
"108","IRDM","34.596","2026-05-26","50.16","2026-05-28","51.26","2.19","MEDIUM_RECHECK"
"109","UPST","34.519048","2026-05-21","28.85","2026-05-28","32.69","13.31","EXTREME_RECHECK"
"110","BALL","34.354052","2026-05-20","56.81","2026-05-28","56.24","-1","STABLE"
"111","CVNA","34.321612","2026-05-21","64.39","2026-05-28","73.49","14.13","EXTREME_RECHECK"
"112","OC","34.24713","2026-05-20","113.43","2026-05-28","124.24","9.53","HIGH_RECHECK"
"113","BYND","33.941802","2026-05-21","0.789","2026-05-28","0.82","3.93","MEDIUM_RECHECK"
"114","KKR","33.926012","2026-05-20","94.34","2026-05-28","94.03","-0.33","STABLE"
"115","RNG","33.77411","2026-05-21","41.635","2026-05-28","41.86","0.54","STABLE"
"116","BKNG","33.747565","2026-05-20","156.95","2026-05-28","169.82","8.2","HIGH_RECHECK"
"117","JD","33.672735","2026-05-20","32.46","2026-05-28","29.14","-10.23","EXTREME_RECHECK"
"118","PTGX","33.581955","2026-05-21","100.05","2026-05-28","100.41","0.36","STABLE"
"119","CDNS","33.552233","2026-05-20","350.89","2026-05-28","373.85","6.54","HIGH_RECHECK"
"120","USFD","33.54238","2026-05-21","81.24","2026-05-28","81.15","-0.11","STABLE"
"121","SFIX","33.536378","2026-05-21","3.225","2026-05-28","3.69","14.42","EXTREME_RECHECK"
"122","WAB","33.445361","2026-05-21","255.16","2026-05-28","261.2","2.37","MEDIUM_RECHECK"
"123","TXN","33.404","2026-05-26","324.89","2026-05-28","315.95","-2.75","MEDIUM_RECHECK"
"124","AFRM","33.369146","2026-05-20","67.12","2026-05-28","73","8.76","HIGH_RECHECK"
"125","LYFT","33.327772","2026-05-20","13.35","2026-05-28","13.82","3.52","MEDIUM_RECHECK"
"126","CNM","33.305342","2026-05-20","47.12","2026-05-28","49.17","4.35","MEDIUM_RECHECK"
"127","CRS","33.247019","2026-05-20","422.01","2026-05-28","462.01","9.48","HIGH_RECHECK"
"128","BIDU","33.226849","2026-05-20","135.22","2026-05-28","132.05","-2.34","MEDIUM_RECHECK"
"129","LPLA","33.215693","2026-05-20","283.83","2026-05-28","265.86","-6.33","HIGH_RECHECK"
"130","BLTE","33.017626","2026-05-20","143.36","2026-05-28","148","3.24","MEDIUM_RECHECK"
"131","SNPS","32.881778","2026-05-21","501.555","2026-05-28","480.64","-4.17","MEDIUM_RECHECK"
"132","VMC","32.809491","2026-05-21","262.08","2026-05-28","276.75","5.6","HIGH_RECHECK"
"133","PYPL","32.785338","2026-05-21","44.135","2026-05-28","44.46","0.74","STABLE"
"134","SHW","32.689895","2026-05-21","303.87","2026-05-28","305.14","0.42","STABLE"
"135","CIEN","32.524","2026-05-26","602.39","2026-05-28","570.18","-5.35","HIGH_RECHECK"
"136","RDDT","32.457146","2026-05-22","141.4874","2026-05-28","167.69","18.52","EXTREME_RECHECK"
"137","HIVE","32.427821","2026-05-20","3.87","2026-05-28","4.45","14.99","EXTREME_RECHECK"
"138","CLSK","32.392092","2026-05-20","15.4","2026-05-28","18.14","17.79","EXTREME_RECHECK"
"139","TEVA","32.389117","2026-05-21","33.93","2026-05-28","34.52","1.74","STABLE"
"140","SFM","32.322369","2026-05-21","84.615","2026-05-28","86.69","2.45","MEDIUM_RECHECK"
"141","WWD","32.304956","2026-05-21","355.76","2026-05-28","354.96","-0.22","STABLE"
"142","CRH","32.289218","2026-05-20","101.45","2026-05-28","106.76","5.23","HIGH_RECHECK"
"143","UBER","32.166154","2026-05-21","73.305","2026-05-28","70.92","-3.25","MEDIUM_RECHECK"
"144","PINS","32.146805","2026-05-21","18.78","2026-05-28","20.65","9.96","HIGH_RECHECK"
"145","EEM","32.093962","2026-05-20","65.46","2026-05-28","68.61","4.81","MEDIUM_RECHECK"
"146","FIGR","32.038065","2026-05-22","33.95","2026-05-28","34.73","2.3","MEDIUM_RECHECK"
"147","JBS","31.998565","2026-05-22","13.21","2026-05-28","12.94","-2.04","MEDIUM_RECHECK"
"148","VEEV","31.947966","2026-05-21","158.27","2026-05-28","164.38","3.86","MEDIUM_RECHECK"
"149","FLS","31.882517","2026-05-20","68.28","2026-05-28","75.21","10.15","EXTREME_RECHECK"
"150","ET","31.83667","2026-05-20","20.16","2026-05-28","19.42","-3.67","MEDIUM_RECHECK"
"151","NOW","31.808","2026-05-26","99.92","2026-05-28","108.73","8.82","HIGH_RECHECK"
"152","BAC","31.795852","2026-05-20","51.23","2026-05-28","50.77","-0.9","STABLE"
"153","COGT","31.722303","2026-05-21","32.58","2026-05-28","35.38","8.59","HIGH_RECHECK"
"154","MCK","31.606672","2026-05-20","754.68","2026-05-28","756.98","0.3","STABLE"
"155","APO","31.602213","2026-05-20","132.24","2026-05-28","127.51","-3.58","MEDIUM_RECHECK"
"156","MRVL","31.5","2026-05-26","208.26","2026-05-28","204.83","-1.65","STABLE"
"157","IWM","31.455809","2026-05-20","279.87","2026-05-28","292.03","4.34","MEDIUM_RECHECK"
"158","LHX","31.418816","2026-05-20","309.15","2026-05-28","314.78","1.82","STABLE"
"159","TSLA","31.38","2026-05-26","433.59","2026-05-28","442.1","1.96","STABLE"
"160","LIN","31.350254","2026-05-20","506.63","2026-05-28","501.98","-0.92","STABLE"
"161","GRAB","31.31437","2026-05-20","3.51","2026-05-28","3.54","0.85","STABLE"
"162","PCOR","31.292054","2026-05-21","45.7401","2026-05-28","47.54","3.94","MEDIUM_RECHECK"
"163","KVYO","31.273721","2026-05-20","15.11","2026-05-28","14.74","-2.45","MEDIUM_RECHECK"
"164","QS","31.180681","2026-05-21","7.99","2026-05-28","9.13","14.27","EXTREME_RECHECK"
"165","CHPT","31.049428","2026-05-20","6.23","2026-05-28","7.8","25.2","EXTREME_RECHECK"
"166","MPWR","31.0","2026-05-26","1662.98","2026-05-28","1633.17","-1.79","STABLE"
"167","CHYM","30.93596","2026-05-22","17.8","2026-05-28","18.1","1.69","STABLE"
"168","NU","30.926657","2026-05-20","12.79","2026-05-28","13.05","2.03","MEDIUM_RECHECK"
"169","PI","30.652828","2026-05-21","142.62","2026-05-28","156.88","10","HIGH_RECHECK"
"170","GNRC","30.62","2026-05-26","274.82","2026-05-28","279.45","1.68","STABLE"
"171","CPNG","30.585258","2026-05-20","15.62","2026-05-28","16.2","3.71","MEDIUM_RECHECK"
"172","NRG","30.585171","2026-05-20","133.98","2026-05-28","137.5","2.63","MEDIUM_RECHECK"
"173","ABR","30.45302","2026-05-20","5.78","2026-05-28","5.64","-2.42","MEDIUM_RECHECK"
"174","NVAX","30.43812","2026-05-21","8.98","2026-05-28","10.32","14.92","EXTREME_RECHECK"
"175","CAI","30.424312","2026-05-22","15.55","2026-05-28","16.67","7.2","HIGH_RECHECK"
"176","CART","30.341315","2026-05-20","41.3","2026-05-28","39.94","-3.29","MEDIUM_RECHECK"
"177","TTD","30.316083","2026-05-21","20.95","2026-05-28","21.15","0.95","STABLE"
"178","KLIC","30.284","2026-05-26","108.57","2026-05-28","104.75","-3.52","MEDIUM_RECHECK"
"179","NET","30.24","2026-05-26","217.54","2026-05-28","228.11","4.86","MEDIUM_RECHECK"
"180","FWONK","30.151076","2026-05-20","90.44","2026-05-28","91.06","0.69","STABLE"
"181","YPF","30.133517","2026-05-21","47.94","2026-05-28","52","8.47","HIGH_RECHECK"
"182","APP","30.097501","2026-05-20","482.28","2026-05-28","599.89","24.39","EXTREME_RECHECK"
"183","PDD","30.086842","2026-05-21","96.44","2026-05-28","83.03","-13.91","EXTREME_RECHECK"
"184","DELL","30.032","2026-05-26","305.08","2026-05-28","317.05","3.92","MEDIUM_RECHECK"
"185","PFGC","30.020483","2026-05-21","94.55","2026-05-28","97.21","2.81","MEDIUM_RECHECK"
"186","ZG","30.005827","2026-05-21","37.25","2026-05-28","35.8","-3.89","MEDIUM_RECHECK"
"187","CEG","29.856","2026-05-26","301.57","2026-05-28","286.31","-5.06","HIGH_RECHECK"
"188","FLUT","29.847202","2026-05-20","96.75","2026-05-28","95.58","-1.21","STABLE"
"189","RSP","29.841267","2026-05-21","203.22","2026-05-28","208.25","2.48","MEDIUM_RECHECK"
"190","KRC","29.806166","2026-05-20","34.25","2026-05-28","34.36","0.32","STABLE"
"191","Z","29.761568","2026-05-21","36.75","2026-05-28","35.44","-3.56","MEDIUM_RECHECK"
"192","FCNCA","29.737042","2026-05-21","1989.48","2026-05-28","2009.03","0.98","STABLE"
"193","HLT","29.719989","2026-05-20","323.87","2026-05-28","337.55","4.22","MEDIUM_RECHECK"
"194","KNX","29.692455","2026-05-20","71","2026-05-28","75.02","5.66","HIGH_RECHECK"
"195","AMC","29.608772","2026-05-21","1.56","2026-05-28","1.58","1.28","STABLE"
"196","V","29.501591","2026-05-21","331.12","2026-05-28","324.95","-1.86","STABLE"
"197","TIGR","29.475559","2026-05-21","5.765","2026-05-28","5.01","-13.1","EXTREME_RECHECK"
"198","EQT","29.436562","2026-05-20","57.83","2026-05-28","55.35","-4.29","MEDIUM_RECHECK"
"199","QQQ","29.356","2026-05-26","730.28","2026-05-28","735.6","0.73","STABLE"
"200","BN","29.326632","2026-05-20","45.34","2026-05-28","46.08","1.63","STABLE"
"201","XLF","29.281688","2026-05-21","51.73","2026-05-28","51.27","-0.89","STABLE"
"202","DIS","29.247469","2026-05-20","104.08","2026-05-28","103.73","-0.34","STABLE"
"203","AAPL","29.216","2026-05-26","308.33","2026-05-28","312.51","1.36","STABLE"
"204","SMH","29.192","2026-05-26","602.14","2026-05-28","599.83","-0.38","STABLE"
"205","SCCO","29.16213","2026-05-21","176","2026-05-28","194.88","10.73","EXTREME_RECHECK"
"206","PSTG","29.144","2026-05-26","88.35","2026-05-28","73.04","-17.33","EXTREME_RECHECK"
"207","KWEB","29.134565","2026-05-20","28.12","2026-05-28","26.66","-5.19","HIGH_RECHECK"
"208","AAL","29.018088","2026-05-20","12.95","2026-05-28","14.65","13.13","EXTREME_RECHECK"
"209","INSM","28.991239","2026-05-21","109.53","2026-05-28","108.37","-1.06","STABLE"
"210","ARGT","28.956087","2026-05-20","90.07","2026-05-28","96.05","6.64","HIGH_RECHECK"
"211","MPLX","28.873588","2026-05-20","55.44","2026-05-28","55.49","0.09","STABLE"
"212","TTWO","28.820733","2026-05-21","239.8","2026-05-28","217.87","-9.15","HIGH_RECHECK"
"213","NAMS","28.653411","2026-05-20","35.75","2026-05-28","35.42","-0.92","STABLE"
"214","SCHW","28.545088","2026-05-21","89.915","2026-05-28","85.35","-5.08","HIGH_RECHECK"
"215","SHOP","28.523376","2026-05-21","104.36","2026-05-28","115.03","10.22","EXTREME_RECHECK"
"216","MA","28.518786","2026-05-20","498.04","2026-05-28","493.75","-0.86","STABLE"
"217","ADSK","28.378772","2026-05-20","243.63","2026-05-28","240.95","-1.1","STABLE"
"218","GT","28.349778","2026-05-20","5.58","2026-05-28","6.2","11.11","EXTREME_RECHECK"
"219","NTRA","28.342094","2026-05-20","204.92","2026-05-28","213.94","4.4","MEDIUM_RECHECK"
"220","GS","28.30354","2026-05-20","982.12","2026-05-28","1008.37","2.67","MEDIUM_RECHECK"
"221","PONY","28.195808","2026-05-22","8.92","2026-05-28","9.96","11.66","EXTREME_RECHECK"
"222","TLN","28.18193","2026-05-22","366.2513","2026-05-28","381.47","4.16","MEDIUM_RECHECK"
"223","CLF","28.141772","2026-05-20","10.34","2026-05-28","13.29","28.53","EXTREME_RECHECK"
"224","ADBE","28.101005","2026-05-20","253.37","2026-05-28","241.44","-4.71","MEDIUM_RECHECK"
"225","CRWD","28.072","2026-05-26","671.55","2026-05-28","671","-0.08","STABLE"
"226","DASH","28.069533","2026-05-20","160.73","2026-05-28","156.7","-2.51","MEDIUM_RECHECK"
"227","RTX","28.051253","2026-05-21","175.1","2026-05-28","178.96","2.2","MEDIUM_RECHECK"
"228","CMG","28.039656","2026-05-20","32.96","2026-05-28","32.42","-1.64","STABLE"
"229","COF","28.029476","2026-05-20","187.23","2026-05-28","187.02","-0.11","STABLE"
"230","CHRW","27.950457","2026-05-20","180.64","2026-05-28","175.41","-2.9","MEDIUM_RECHECK"
"231","TEAM","27.925391","2026-05-21","83.1007","2026-05-28","93.29","12.26","EXTREME_RECHECK"
"232","MNTN","27.728584","2026-05-22","8.38","2026-05-28","8.97","7.04","HIGH_RECHECK"
"233","PM","27.646466","2026-05-21","188.83","2026-05-28","178.57","-5.43","HIGH_RECHECK"
"234","ARM","27.556","2026-05-26","321.22","2026-05-28","335.27","4.37","MEDIUM_RECHECK"
"235","WVE","27.544222","2026-05-21","6.42","2026-05-28","6.47","0.78","STABLE"
"236","DAL","27.45742","2026-05-20","74.12","2026-05-28","82.49","11.29","EXTREME_RECHECK"
"237","JHX","27.423512","2026-05-20","20.59","2026-05-28","22.97","11.56","EXTREME_RECHECK"
"238","RKT","27.347766","2026-05-21","13.385","2026-05-28","14.4","7.58","HIGH_RECHECK"
"239","ENPH","27.330192","2026-05-20","53.15","2026-05-28","69.5","30.76","EXTREME_RECHECK"
"240","WHR","27.321762","2026-05-21","43.21","2026-05-28","44.07","1.99","STABLE"
"241","LINE","27.288744","2026-05-22","40.88","2026-05-28","43.92","7.44","HIGH_RECHECK"
"242","MDB","27.192","2026-05-26","307.35","2026-05-28","325.68","5.96","HIGH_RECHECK"
"243","UAL","27.184506","2026-05-21","96.71","2026-05-28","115.06","18.97","EXTREME_RECHECK"
"244","XLK","26.928","2026-05-26","185.14","2026-05-28","186.85","0.92","STABLE"
"245","PSIX","26.917594","2026-05-21","38.62","2026-05-28","41.99","8.73","HIGH_RECHECK"
"246","BABA","26.899805","2026-05-20","134.47","2026-05-28","126.16","-6.18","HIGH_RECHECK"
"247","ISRG","26.833055","2026-05-20","449.03","2026-05-28","423.63","-5.66","HIGH_RECHECK"
"248","ACLS","26.808","2026-05-26","164.27","2026-05-28","155.55","-5.31","HIGH_RECHECK"
"249","INFY","26.80017","2026-05-20","12.77","2026-05-28","12.7","-0.55","STABLE"
"250","DUOL","26.741522","2026-05-20","106.82","2026-05-28","108.67","1.73","STABLE"
"251","PATH","26.690265","2026-05-21","10.365","2026-05-28","11.58","11.72","EXTREME_RECHECK"
"252","HOOD","26.689519","2026-05-21","75.92","2026-05-28","84.84","11.75","EXTREME_RECHECK"
"253","AXON","26.579015","2026-05-20","398.44","2026-05-28","439.32","10.26","EXTREME_RECHECK"
"254","MELI","26.308931","2026-05-20","1651.2","2026-05-28","1695.53","2.68","MEDIUM_RECHECK"
"255","LCID","26.087442","2026-05-20","5.68","2026-05-28","6.46","13.73","EXTREME_RECHECK"
"256","PGNY","26.025378","2026-05-21","24.81","2026-05-28","25.69","3.55","MEDIUM_RECHECK"
"257","ADMA","25.875343","2026-05-20","8.56","2026-05-28","7.93","-7.36","HIGH_RECHECK"
"258","MKSI","25.716","2026-05-26","334.11","2026-05-28","323.41","-3.2","MEDIUM_RECHECK"
"259","DAKT","25.682138","2026-05-20","19.56","2026-05-28","20.62","5.42","HIGH_RECHECK"
"260","WDAY","25.641569","2026-05-21","121.85","2026-05-28","130.01","6.7","HIGH_RECHECK"
"261","TQQQ","25.332","2026-05-26","81.95","2026-05-28","83.68","2.11","MEDIUM_RECHECK"
"262","SE","25.111539","2026-05-21","87.62","2026-05-28","91.94","4.93","MEDIUM_RECHECK"
"263","DB","25.084522","2026-05-20","32.87","2026-05-28","33.11","0.73","STABLE"
"264","GEHC","25.004001","2026-05-20","64.26","2026-05-28","62.86","-2.18","MEDIUM_RECHECK"
"265","HUBS","24.965966","2026-05-20","203.39","2026-05-28","198.8","-2.26","MEDIUM_RECHECK"
"266","LRCX","24.952","2026-05-26","322.68","2026-05-28","318","-1.45","STABLE"
"267","FLR","24.904","2026-05-26","46.86","2026-05-28","46.97","0.23","STABLE"
"268","OKTA","24.77958","2026-05-21","90.19","2026-05-28","94.72","5.02","HIGH_RECHECK"
"269","RERE","24.683748","2026-05-21","5.005","2026-05-28","4.63","-7.49","HIGH_RECHECK"
"270","RH","24.578681","2026-05-21","132.71","2026-05-28","149.15","12.39","EXTREME_RECHECK"
"271","SPY","24.572","2026-05-26","750.59","2026-05-28","754.6","0.53","STABLE"
"272","DOCU","24.382979","2026-05-20","49.73","2026-05-28","49.58","-0.3","STABLE"
"273","NUVB","24.081984","2026-05-20","4.51","2026-05-28","4.75","5.32","HIGH_RECHECK"
"274","GEMI","24.036701","2026-05-22","5.16","2026-05-28","5.2","0.78","STABLE"
"275","META","23.76","2026-05-26","612.34","2026-05-28","635.29","3.75","MEDIUM_RECHECK"
"276","CPAY","23.609393","2026-05-20","350.48","2026-05-28","352.37","0.54","STABLE"
"277","KLAR","23.495852","2026-05-22","16.57","2026-05-28","17.44","5.25","HIGH_RECHECK"
"278","MU","23.476","2026-05-26","895.88","2026-05-28","923.52","3.09","MEDIUM_RECHECK"
"279","SNOW","23.428","2026-05-26","177.6","2026-05-28","239.2","34.68","EXTREME_RECHECK"
"280","BSX","23.370665","2026-05-20","56.67","2026-05-28","49.11","-13.34","EXTREME_RECHECK"
"281","JBL","23.024","2026-05-26","380.25","2026-05-28","363.65","-4.37","MEDIUM_RECHECK"
"282","WING","22.868124","2026-05-21","132.65","2026-05-28","157.61","18.82","EXTREME_RECHECK"
