snapshot_date,ticker,signal_snapshot_id,source_presence_summary,factor_pack_rank,factor_pack_score,composite_candidate_score,technical_timing_score,technical_label,overheat_penalty,price_derived_total_score,price_derived_status,factor_scope_class,score_scope,full_factor_score_ready,light_factor_score_ready,score_ready,relative_strength_score,trend_structure_score,buy_zone_score,buy_zone_label,nearest_buy_zone_distance,volume_confirmation_score,breakout_volume_confirmed,volatility_risk_score,market_regime_label,market_risk_coefficient,market_regime_confidence,vix_proxy_status,vix_missing_cap_applied,true_5day_unique_coverage_met,coverage_window_complete,daily_trust_level,buy_permission,event_status,simulation_link_key,forward_tracker_link_key,manual_feedback_link_key,signal_research_status,signal_snapshot_quality_status,price_derived_readiness_status,research_readiness_status,blocker_reasons,link_key_quality_status
2026-05-20,AEHR,V18_21B-2026-05-20-AEHR-0734B067E793,factor_pack;technical_timing;price_derived_factors;factor_scope;simulation;forward_tracker,7,94.29,94.29,48.0,TECH_TIMING_NEUTRAL,10,6,HIGH_VOL_CAUTION,FULL_HISTORY_FACTOR_READY,FULL_PRICE_DERIVED_SCORE,TRUE,FALSE,,4,3,1,BREAKOUT_NEAR,-0.048477,0,FALSE,-2,RISK_ON_TREND,0.95,MEDIUM,MISSING_LOCAL_PRICE_HISTORY,TRUE,FALSE,FALSE,MEDIUM,UNKNOWN,OFFICIAL_BLOCKED,simulation|2026-05-20|AEHR,forward_tracker|2026-05-20|AEHR,,READY_FOR_SNAPSHOT_RESEARCH,OK,FULL_SCORE_READY,FORWARD_ONLY_READY,COVERAGE_WINDOW_INCOMPLETE;DAILY_TRUST_NOT_HIGH,OK
2026-05-20,AEIS,V18_21B-2026-05-20-AEIS-757436875728,price_derived_factors;factor_scope;backfill_plan,,,,,,,,INSUFFICIENT_HISTORY,NO_LOCAL_PRICE_DATA,NOT_SCORE_READY,FALSE,FALSE,,,,,,,,,,RISK_ON_TREND,0.95,MEDIUM,MISSING_LOCAL_PRICE_HISTORY,TRUE,FALSE,FALSE,MEDIUM,,,,,,DEGRADED_COMPONENT_MISSING,DEGRADED_MISSING_FACTOR_PACK_TECHNICAL_TIMING,ROW_ONLY_NOT_SCORE_READY,WATCH_ONLY_DUE_TO_DEGRADED_DATA,MISSING_FACTOR_PACK;MISSING_TECHNICAL_TIMING;MISSING_PRICE_SCORE;MISSING_SIMULATION_REFERENCE;MISSING_FORWARD_TRACKER_REFERENCE;DATA_DEGRADED;COVERAGE_WINDOW_INCOMPLETE;DAILY_TRUST_NOT_HIGH,OK
2026-05-20,AEVA,V18_21B-2026-05-20-AEVA-D751A6945F4F,price_derived_factors;factor_scope;backfill_plan,,,,,,,,INSUFFICIENT_HISTORY,NO_LOCAL_PRICE_DATA,NOT_SCORE_READY,FALSE,FALSE,,,,,,,,,,RISK_ON_TREND,0.95,MEDIUM,MISSING_LOCAL_PRICE_HISTORY,TRUE,FALSE,FALSE,MEDIUM,,,,,,DEGRADED_COMPONENT_MISSING,DEGRADED_MISSING_FACTOR_PACK_TECHNICAL_TIMING,ROW_ONLY_NOT_SCORE_READY,WATCH_ONLY_DUE_TO_DEGRADED_DATA,MISSING_FACTOR_PACK;MISSING_TECHNICAL_TIMING;MISSING_PRICE_SCORE;MISSING_SIMULATION_REFERENCE;MISSING_FORWARD_TRACKER_REFERENCE;DATA_DEGRADED;COVERAGE_WINDOW_INCOMPLETE;DAILY_TRUST_NOT_HIGH,OK
2026-05-20,AFRM,V18_21B-2026-05-20-AFRM-4C9760042FC5,price_derived_factors;factor_scope;backfill_plan,,,,,,,,INSUFFICIENT_HISTORY,NO_LOCAL_PRICE_DATA,NOT_SCORE_READY,FALSE,FALSE,,,,,,,,,,RISK_ON_TREND,0.95,MEDIUM,MISSING_LOCAL_PRICE_HISTORY,TRUE,FALSE,FALSE,MEDIUM,,,,,,DEGRADED_COMPONENT_MISSING,DEGRADED_MISSING_FACTOR_PACK_TECHNICAL_TIMING,ROW_ONLY_NOT_SCORE_READY,WATCH_ONLY_DUE_TO_DEGRADED_DATA,MISSING_FACTOR_PACK;MISSING_TECHNICAL_TIMING;MISSING_PRICE_SCORE;MISSING_SIMULATION_REFERENCE;MISSING_FORWARD_TRACKER_REFERENCE;DATA_DEGRADED;COVERAGE_WINDOW_INCOMPLETE;DAILY_TRUST_NOT_HIGH,OK
2026-05-20,AGX,V18_21B-2026-05-20-AGX-3970A3E2E5F2,price_derived_factors;factor_scope;backfill_plan,,,,,,,,INSUFFICIENT_HISTORY,NO_LOCAL_PRICE_DATA,NOT_SCORE_READY,FALSE,FALSE,,,,,,,,,,RISK_ON_TREND,0.95,MEDIUM,MISSING_LOCAL_PRICE_HISTORY,TRUE,FALSE,FALSE,MEDIUM,,,,,,DEGRADED_COMPONENT_MISSING,DEGRADED_MISSING_FACTOR_PACK_TECHNICAL_TIMING,ROW_ONLY_NOT_SCORE_READY,WATCH_ONLY_DUE_TO_DEGRADED_DATA,MISSING_FACTOR_PACK;MISSING_TECHNICAL_TIMING;MISSING_PRICE_SCORE;MISSING_SIMULATION_REFERENCE;MISSING_FORWARD_TRACKER_REFERENCE;DATA_DEGRADED;COVERAGE_WINDOW_INCOMPLETE;DAILY_TRUST_NOT_HIGH,OK
2026-05-20,ALAB,V18_21B-2026-05-20-ALAB-D169EFF0EBDB,factor_pack;technical_timing;price_derived_factors;factor_scope;forward_tracker,93,12.38,12.38,50.0,TECH_TIMING_NEUTRAL,0,-2,HIGH_VOL_CAUTION,FULL_HISTORY_FACTOR_READY,FULL_PRICE_DERIVED_SCORE,TRUE,FALSE,,4,-1,-2,EXTENDED_ABOVE_BUY_ZONE,0.128697,-1,FALSE,-2,RISK_ON_TREND,0.95,MEDIUM,MISSING_LOCAL_PRICE_HISTORY,TRUE,FALSE,FALSE,MEDIUM,,,,forward_tracker|2026-05-20|ALAB,,READY_FOR_SNAPSHOT_RESEARCH,OK,FULL_SCORE_READY,FORWARD_ONLY_READY,MISSING_SIMULATION_REFERENCE;COVERAGE_WINDOW_INCOMPLETE;DAILY_TRUST_NOT_HIGH,OK
2026-05-20,ALM,V18_21B-2026-05-20-ALM-0183CE7D3202,price_derived_factors;factor_scope;backfill_plan,,,,,,,,INSUFFICIENT_HISTORY,NO_LOCAL_PRICE_DATA,NOT_SCORE_READY,FALSE,FALSE,,,,,,,,,,RISK_ON_TREND,0.95,MEDIUM,MISSING_LOCAL_PRICE_HISTORY,TRUE,FALSE,FALSE,MEDIUM,,,,,,DEGRADED_COMPONENT_MISSING,DEGRADED_MISSING_FACTOR_PACK_TECHNICAL_TIMING,ROW_ONLY_NOT_SCORE_READY,WATCH_ONLY_DUE_TO_DEGRADED_DATA,MISSING_FACTOR_PACK;MISSING_TECHNICAL_TIMING;MISSING_PRICE_SCORE;MISSING_SIMULATION_REFERENCE;MISSING_FORWARD_TRACKER_REFERENCE;DATA_DEGRADED;COVERAGE_WINDOW_INCOMPLETE;DAILY_TRUST_NOT_HIGH,OK
2026-05-20,AMAT,V18_21B-2026-05-20-AMAT-09675EEC2458,factor_pack;technical_timing;price_derived_factors;factor_scope;forward_tracker,30,72.38,72.38,44.0,TECH_TIMING_NEUTRAL,10,6,STRONG_TREND_NEAR_BUY_ZONE,FULL_HISTORY_FACTOR_READY,FULL_PRICE_DERIVED_SCORE,TRUE,FALSE,,2,3,1,BREAKOUT_NEAR,-0.011181,0,FALSE,0,RISK_ON_TREND,0.95,MEDIUM,MISSING_LOCAL_PRICE_HISTORY,TRUE,FALSE,FALSE,MEDIUM,,,,forward_tracker|2026-05-20|AMAT,,READY_FOR_SNAPSHOT_RESEARCH,OK,FULL_SCORE_READY,FORWARD_ONLY_READY,MISSING_SIMULATION_REFERENCE;COVERAGE_WINDOW_INCOMPLETE;DAILY_TRUST_NOT_HIGH,OK
2026-05-20,AMC,V18_21B-2026-05-20-AMC-0B3358A7744F,price_derived_factors;factor_scope;backfill_plan,,,,,,,,INSUFFICIENT_HISTORY,NO_LOCAL_PRICE_DATA,NOT_SCORE_READY,FALSE,FALSE,,,,,,,,,,RISK_ON_TREND,0.95,MEDIUM,MISSING_LOCAL_PRICE_HISTORY,TRUE,FALSE,FALSE,MEDIUM,,,,,,DEGRADED_COMPONENT_MISSING,DEGRADED_MISSING_FACTOR_PACK_TECHNICAL_TIMING,ROW_ONLY_NOT_SCORE_READY,WATCH_ONLY_DUE_TO_DEGRADED_DATA,MISSING_FACTOR_PACK;MISSING_TECHNICAL_TIMING;MISSING_PRICE_SCORE;MISSING_SIMULATION_REFERENCE;MISSING_FORWARD_TRACKER_REFERENCE;DATA_DEGRADED;COVERAGE_WINDOW_INCOMPLETE;DAILY_TRUST_NOT_HIGH,OK
2026-05-20,AMD,V18_21B-2026-05-20-AMD-1DAEBC9A2E24,factor_pack;technical_timing;price_derived_factors;factor_scope;forward_tracker,41,61.9,61.9,50.0,TECH_TIMING_NEUTRAL,0,3,HIGH_VOL_CAUTION,FULL_HISTORY_FACTOR_READY,FULL_PRICE_DERIVED_SCORE,TRUE,FALSE,,4,3,-2,EXTENDED_ABOVE_BUY_ZONE,0.165082,0,FALSE,-2,RISK_ON_TREND,0.95,MEDIUM,MISSING_LOCAL_PRICE_HISTORY,TRUE,FALSE,FALSE,MEDIUM,,,,forward_tracker|2026-05-20|AMD,,READY_FOR_SNAPSHOT_RESEARCH,OK,FULL_SCORE_READY,FORWARD_ONLY_READY,MISSING_SIMULATION_REFERENCE;COVERAGE_WINDOW_INCOMPLETE;DAILY_TRUST_NOT_HIGH,OK
2026-05-20,AMKR,V18_21B-2026-05-20-AMKR-7B6DCD487014,factor_pack;technical_timing;price_derived_factors;factor_scope;simulation;forward_tracker,13,88.57,88.57,58.0,TECH_TIMING_NEUTRAL,0,3,NEUTRAL_PRICE_STRUCTURE,FULL_HISTORY_FACTOR_READY,FULL_PRICE_DERIVED_SCORE,TRUE,FALSE,,1,1,2,NEAR_20DMA_PULLBACK,-0.031180,0,FALSE,-1,RISK_ON_TREND,0.95,MEDIUM,MISSING_LOCAL_PRICE_HISTORY,TRUE,FALSE,FALSE,MEDIUM,UNKNOWN,OFFICIAL_BLOCKED,simulation|2026-05-20|AMKR,forward_tracker|2026-05-20|AMKR,,READY_FOR_SNAPSHOT_RESEARCH,OK,FULL_SCORE_READY,FORWARD_ONLY_READY,COVERAGE_WINDOW_INCOMPLETE;DAILY_TRUST_NOT_HIGH,OK
2026-05-20,AMZN,V18_21B-2026-05-20-AMZN-0F2A17E8FF4F,factor_pack;technical_timing;price_derived_factors;factor_scope;forward_tracker,86,19.05,19.05,50.0,TECH_TIMING_NEUTRAL,0,5,NEUTRAL_PRICE_STRUCTURE,FULL_HISTORY_FACTOR_READY,FULL_PRICE_DERIVED_SCORE,TRUE,FALSE,,1,1,2,NEAR_20DMA_PULLBACK,-0.008793,0,FALSE,1,RISK_ON_TREND,0.95,MEDIUM,MISSING_LOCAL_PRICE_HISTORY,TRUE,FALSE,FALSE,MEDIUM,,,,forward_tracker|2026-05-20|AMZN,,READY_FOR_SNAPSHOT_RESEARCH,OK,FULL_SCORE_READY,FORWARD_ONLY_READY,MISSING_SIMULATION_REFERENCE;COVERAGE_WINDOW_INCOMPLETE;DAILY_TRUST_NOT_HIGH,OK
2026-05-20,ANET,V18_21B-2026-05-20-ANET-90E719EDBE91,factor_pack;technical_timing;price_derived_factors;factor_scope;simulation;forward_tracker,72,32.38,32.38,72.0,TECH_TIMING_WATCH_POSITIVE,0,-3,NEUTRAL_PRICE_STRUCTURE,FULL_HISTORY_FACTOR_READY,FULL_PRICE_DERIVED_SCORE,TRUE,FALSE,,-2,-2,2,NEAR_50DMA_PULLBACK,-0.009101,0,FALSE,-1,RISK_ON_TREND,0.95,MEDIUM,MISSING_LOCAL_PRICE_HISTORY,TRUE,FALSE,FALSE,MEDIUM,UNKNOWN,OFFICIAL_BLOCKED,simulation|2026-05-20|ANET,forward_tracker|2026-05-20|ANET,,READY_FOR_SNAPSHOT_RESEARCH,OK,FULL_SCORE_READY,FORWARD_ONLY_READY,COVERAGE_WINDOW_INCOMPLETE;DAILY_TRUST_NOT_HIGH,OK
2026-05-20,APG,V18_21B-2026-05-20-APG-9742BE4F951F,price_derived_factors;factor_scope;backfill_plan,,,,,,,,INSUFFICIENT_HISTORY,NO_LOCAL_PRICE_DATA,NOT_SCORE_READY,FALSE,FALSE,,,,,,,,,,RISK_ON_TREND,0.95,MEDIUM,MISSING_LOCAL_PRICE_HISTORY,TRUE,FALSE,FALSE,MEDIUM,,,,,,DEGRADED_COMPONENT_MISSING,DEGRADED_MISSING_FACTOR_PACK_TECHNICAL_TIMING,ROW_ONLY_NOT_SCORE_READY,WATCH_ONLY_DUE_TO_DEGRADED_DATA,MISSING_FACTOR_PACK;MISSING_TECHNICAL_TIMING;MISSING_PRICE_SCORE;MISSING_SIMULATION_REFERENCE;MISSING_FORWARD_TRACKER_REFERENCE;DATA_DEGRADED;COVERAGE_WINDOW_INCOMPLETE;DAILY_TRUST_NOT_HIGH,OK
2026-05-20,APH,V18_21B-2026-05-20-APH-76EE8B86E458,factor_pack;technical_timing;price_derived_factors;factor_scope;simulation;forward_tracker,62,41.9,41.9,72.0,TECH_TIMING_WATCH_POSITIVE,0,-8,BELOW_TREND_SUPPORT,FULL_HISTORY_FACTOR_READY,FULL_PRICE_DERIVED_SCORE,TRUE,FALSE,,-2,-3,-3,BELOW_KEY_SUPPORT,-0.076875,0,FALSE,0,RISK_ON_TREND,0.95,MEDIUM,MISSING_LOCAL_PRICE_HISTORY,TRUE,FALSE,FALSE,MEDIUM,UNKNOWN,OFFICIAL_BLOCKED,simulation|2026-05-20|APH,forward_tracker|2026-05-20|APH,,READY_FOR_SNAPSHOT_RESEARCH,OK,FULL_SCORE_READY,FORWARD_ONLY_READY,COVERAGE_WINDOW_INCOMPLETE;DAILY_TRUST_NOT_HIGH,OK
2026-05-20,APLD,V18_21B-2026-05-20-APLD-D87323848D7E,price_derived_factors;factor_scope;backfill_plan,,,,,,,,INSUFFICIENT_HISTORY,NO_LOCAL_PRICE_DATA,NOT_SCORE_READY,FALSE,FALSE,,,,,,,,,,RISK_ON_TREND,0.95,MEDIUM,MISSING_LOCAL_PRICE_HISTORY,TRUE,FALSE,FALSE,MEDIUM,,,,,,DEGRADED_COMPONENT_MISSING,DEGRADED_MISSING_FACTOR_PACK_TECHNICAL_TIMING,ROW_ONLY_NOT_SCORE_READY,WATCH_ONLY_DUE_TO_DEGRADED_DATA,MISSING_FACTOR_PACK;MISSING_TECHNICAL_TIMING;MISSING_PRICE_SCORE;MISSING_SIMULATION_REFERENCE;MISSING_FORWARD_TRACKER_REFERENCE;DATA_DEGRADED;COVERAGE_WINDOW_INCOMPLETE;DAILY_TRUST_NOT_HIGH,OK
2026-05-20,APO,V18_21B-2026-05-20-APO-F6665EDD3EC8,price_derived_factors;factor_scope;backfill_plan,,,,,,,,INSUFFICIENT_HISTORY,NO_LOCAL_PRICE_DATA,NOT_SCORE_READY,FALSE,FALSE,,,,,,,,,,RISK_ON_TREND,0.95,MEDIUM,MISSING_LOCAL_PRICE_HISTORY,TRUE,FALSE,FALSE,MEDIUM,,,,,,DEGRADED_COMPONENT_MISSING,DEGRADED_MISSING_FACTOR_PACK_TECHNICAL_TIMING,ROW_ONLY_NOT_SCORE_READY,WATCH_ONLY_DUE_TO_DEGRADED_DATA,MISSING_FACTOR_PACK;MISSING_TECHNICAL_TIMING;MISSING_PRICE_SCORE;MISSING_SIMULATION_REFERENCE;MISSING_FORWARD_TRACKER_REFERENCE;DATA_DEGRADED;COVERAGE_WINDOW_INCOMPLETE;DAILY_TRUST_NOT_HIGH,OK
2026-05-20,APP,V18_21B-2026-05-20-APP-C768F264BD2E,price_derived_factors;factor_scope;backfill_plan,,,,,,,,INSUFFICIENT_HISTORY,NO_LOCAL_PRICE_DATA,NOT_SCORE_READY,FALSE,FALSE,,,,,,,,,,RISK_ON_TREND,0.95,MEDIUM,MISSING_LOCAL_PRICE_HISTORY,TRUE,FALSE,FALSE,MEDIUM,,,,,,DEGRADED_COMPONENT_MISSING,DEGRADED_MISSING_FACTOR_PACK_TECHNICAL_TIMING,ROW_ONLY_NOT_SCORE_READY,WATCH_ONLY_DUE_TO_DEGRADED_DATA,MISSING_FACTOR_PACK;MISSING_TECHNICAL_TIMING;MISSING_PRICE_SCORE;MISSING_SIMULATION_REFERENCE;MISSING_FORWARD_TRACKER_REFERENCE;DATA_DEGRADED;COVERAGE_WINDOW_INCOMPLETE;DAILY_TRUST_NOT_HIGH,OK
2026-05-20,ARGT,V18_21B-2026-05-20-ARGT-2E13A5835A0C,price_derived_factors;factor_scope;backfill_plan,,,,,,,,INSUFFICIENT_HISTORY,NO_LOCAL_PRICE_DATA,NOT_SCORE_READY,FALSE,FALSE,,,,,,,,,,RISK_ON_TREND,0.95,MEDIUM,MISSING_LOCAL_PRICE_HISTORY,TRUE,FALSE,FALSE,MEDIUM,,,,,,DEGRADED_COMPONENT_MISSING,DEGRADED_MISSING_FACTOR_PACK_TECHNICAL_TIMING,ROW_ONLY_NOT_SCORE_READY,WATCH_ONLY_DUE_TO_DEGRADED_DATA,MISSING_FACTOR_PACK;MISSING_TECHNICAL_TIMING;MISSING_PRICE_SCORE;MISSING_SIMULATION_REFERENCE;MISSING_FORWARD_TRACKER_REFERENCE;DATA_DEGRADED;COVERAGE_WINDOW_INCOMPLETE;DAILY_TRUST_NOT_HIGH,OK
