ticker,last_success_date,last_success_timestamp,days_since_success,success_within_lookback,success_today,never_success,stale_overdue,continuation_eligible,priority_bucket,priority_rank,selected_for_next_refresh,reason
WWD,,,,False,False,True,False,True,01_NEVER_SUCCESS,50,True,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA
WYFI,,,,False,False,True,False,True,01_NEVER_SUCCESS,51,True,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA
XENE,,,,False,False,True,False,True,01_NEVER_SUCCESS,52,True,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA
XLF,,,,False,False,True,False,True,01_NEVER_SUCCESS,53,True,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA
XLK,,,,False,False,True,False,True,01_NEVER_SUCCESS,54,True,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA
XPO,,,,False,False,True,False,True,01_NEVER_SUCCESS,55,True,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA
XYZ,,,,False,False,True,False,True,01_NEVER_SUCCESS,56,True,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA
YPF,,,,False,False,True,False,True,01_NEVER_SUCCESS,57,True,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA
Z,,,,False,False,True,False,True,01_NEVER_SUCCESS,58,True,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA
ZG,,,,False,False,True,False,True,01_NEVER_SUCCESS,59,True,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA
AA,2026-05-21,2026-05-21T22:19:28,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,60,True,OLDEST_SUCCESS_REFRESH
AAL,2026-05-21,2026-05-21T22:19:28,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,61,True,OLDEST_SUCCESS_REFRESH
ABR,2026-05-21,2026-05-21T22:19:28,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,62,True,OLDEST_SUCCESS_REFRESH
ADBE,2026-05-21,2026-05-21T22:19:28,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,63,True,OLDEST_SUCCESS_REFRESH
ADMA,2026-05-21,2026-05-21T22:19:28,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,64,True,OLDEST_SUCCESS_REFRESH
ADSK,2026-05-21,2026-05-21T22:19:28,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,65,True,OLDEST_SUCCESS_REFRESH
AAPL,2026-05-21,2026-05-21T14:09:30,1,True,False,False,False,True,04_OPTIONAL_DEGRADED_VISIBLE,,False,OPTIONAL_DEGRADED_OR_CANDIDATE_VISIBLE
ACLS,2026-05-21,2026-05-21T14:09:30,1,True,False,False,False,True,04_OPTIONAL_DEGRADED_VISIBLE,,False,OPTIONAL_DEGRADED_OR_CANDIDATE_VISIBLE
ACM,2026-05-21,2026-05-21T14:09:30,1,True,False,False,False,True,04_OPTIONAL_DEGRADED_VISIBLE,,False,OPTIONAL_DEGRADED_OR_CANDIDATE_VISIBLE
ACMR,2026-05-21,2026-05-21T14:09:30,1,True,False,False,False,True,04_OPTIONAL_DEGRADED_VISIBLE,,False,OPTIONAL_DEGRADED_OR_CANDIDATE_VISIBLE
AEHR,2026-05-21,2026-05-21T14:09:30,1,True,False,False,False,True,04_OPTIONAL_DEGRADED_VISIBLE,,False,OPTIONAL_DEGRADED_OR_CANDIDATE_VISIBLE
AEIS,2026-05-21,2026-05-21T22:19:28,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
AEVA,2026-05-21,2026-05-21T22:19:28,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
AFRM,2026-05-21,2026-05-21T22:19:28,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
AGX,2026-05-21,2026-05-21T22:19:28,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
ALAB,2026-05-21,2026-05-21T14:09:30,1,True,False,False,False,True,04_OPTIONAL_DEGRADED_VISIBLE,,False,OPTIONAL_DEGRADED_OR_CANDIDATE_VISIBLE
ALM,2026-05-21,2026-05-21T22:19:28,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
AMAT,2026-05-21,2026-05-21T14:09:30,1,True,False,False,False,True,04_OPTIONAL_DEGRADED_VISIBLE,,False,OPTIONAL_DEGRADED_OR_CANDIDATE_VISIBLE
AMD,2026-05-21,2026-05-21T14:09:30,1,True,False,False,False,True,04_OPTIONAL_DEGRADED_VISIBLE,,False,OPTIONAL_DEGRADED_OR_CANDIDATE_VISIBLE
AMKR,2026-05-21,2026-05-21T14:09:30,1,True,False,False,False,True,04_OPTIONAL_DEGRADED_VISIBLE,,False,OPTIONAL_DEGRADED_OR_CANDIDATE_VISIBLE
AMZN,2026-05-21,2026-05-21T14:09:30,1,True,False,False,False,True,04_OPTIONAL_DEGRADED_VISIBLE,,False,OPTIONAL_DEGRADED_OR_CANDIDATE_VISIBLE
ANET,2026-05-21,2026-05-21T14:09:30,1,True,False,False,False,True,04_OPTIONAL_DEGRADED_VISIBLE,,False,OPTIONAL_DEGRADED_OR_CANDIDATE_VISIBLE
APG,2026-05-21,2026-05-21T22:19:28,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
APH,2026-05-21,2026-05-21T14:09:30,1,True,False,False,False,True,04_OPTIONAL_DEGRADED_VISIBLE,,False,OPTIONAL_DEGRADED_OR_CANDIDATE_VISIBLE
APO,2026-05-21,2026-05-21T22:19:28,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
APP,2026-05-21,2026-05-21T22:19:28,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
ARGT,2026-05-21,2026-05-21T22:19:28,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
ARM,2026-05-21,2026-05-21T14:09:30,1,True,False,False,False,True,04_OPTIONAL_DEGRADED_VISIBLE,,False,OPTIONAL_DEGRADED_OR_CANDIDATE_VISIBLE
ASML,2026-05-21,2026-05-21T14:09:30,1,True,False,False,False,True,04_OPTIONAL_DEGRADED_VISIBLE,,False,OPTIONAL_DEGRADED_OR_CANDIDATE_VISIBLE
AVGO,2026-05-21,2026-05-21T14:09:30,1,True,False,False,False,True,04_OPTIONAL_DEGRADED_VISIBLE,,False,OPTIONAL_DEGRADED_OR_CANDIDATE_VISIBLE
AXON,2026-05-21,2026-05-21T22:19:28,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
BABA,2026-05-21,2026-05-21T22:19:28,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
BAC,2026-05-21,2026-05-21T22:19:28,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
BALL,2026-05-21,2026-05-21T22:19:28,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
BE,2026-05-21,2026-05-21T14:09:30,1,True,False,False,False,True,04_OPTIONAL_DEGRADED_VISIBLE,,False,OPTIONAL_DEGRADED_OR_CANDIDATE_VISIBLE
BIDU,2026-05-21,2026-05-21T22:19:28,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
BITF,2026-05-21,2026-05-21T22:19:28,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
BKNG,2026-05-21,2026-05-21T22:19:28,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
BLTE,2026-05-21,2026-05-21T22:19:28,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
BN,2026-05-21,2026-05-21T22:19:28,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
BSX,2026-05-21,2026-05-21T22:19:28,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
BTDR,2026-05-21,2026-05-21T14:09:30,1,True,False,False,False,True,04_OPTIONAL_DEGRADED_VISIBLE,,False,OPTIONAL_DEGRADED_OR_CANDIDATE_VISIBLE
CAMT,2026-05-21,2026-05-21T14:09:30,1,True,False,False,False,True,04_OPTIONAL_DEGRADED_VISIBLE,,False,OPTIONAL_DEGRADED_OR_CANDIDATE_VISIBLE
CARR,2026-05-21,2026-05-21T14:09:30,1,True,False,False,False,True,04_OPTIONAL_DEGRADED_VISIBLE,,False,OPTIONAL_DEGRADED_OR_CANDIDATE_VISIBLE
CART,2026-05-21,2026-05-21T22:19:28,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
CDNS,2026-05-21,2026-05-21T22:19:28,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
CEG,2026-05-21,2026-05-21T14:09:30,1,True,False,False,False,True,04_OPTIONAL_DEGRADED_VISIBLE,,False,OPTIONAL_DEGRADED_OR_CANDIDATE_VISIBLE
CHPT,2026-05-21,2026-05-21T22:19:28,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
CHRW,2026-05-21,2026-05-21T22:19:28,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
CIEN,2026-05-21,2026-05-21T14:09:30,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
CIFR,2026-05-21,2026-05-21T14:09:30,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
CLF,2026-05-21,2026-05-21T22:19:28,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
CLH,2026-05-21,2026-05-21T22:19:28,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
CLS,2026-05-21,2026-05-21T14:09:30,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
CLSK,2026-05-21,2026-05-21T22:19:28,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
CMG,2026-05-21,2026-05-21T22:19:28,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
CNM,2026-05-21,2026-05-21T15:15:58,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
COF,2026-05-21,2026-05-21T15:15:58,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
COHR,2026-05-21,2026-05-21T14:16:59,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
COHU,2026-05-21,2026-05-21T14:16:59,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
CORZ,2026-05-21,2026-05-21T14:16:59,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
CPAY,2026-05-21,2026-05-21T15:15:58,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
CPNG,2026-05-21,2026-05-21T15:15:58,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
CRDO,2026-05-21,2026-05-21T14:16:59,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
CRH,2026-05-21,2026-05-21T15:15:58,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
CRM,2026-05-21,2026-05-21T14:16:59,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
CRS,2026-05-21,2026-05-21T15:15:58,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
CRWD,2026-05-21,2026-05-21T14:16:59,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
CRWV,2026-05-21,2026-05-21T14:16:59,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
CSCO,2026-05-21,2026-05-21T14:16:59,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
CSGP,2026-05-21,2026-05-21T15:15:58,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
D,2026-05-21,2026-05-21T14:16:59,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
DAKT,2026-05-21,2026-05-21T15:15:58,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
DAL,2026-05-21,2026-05-21T15:15:58,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
DASH,2026-05-21,2026-05-21T15:15:58,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
DB,2026-05-21,2026-05-21T15:15:58,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
DDOG,2026-05-21,2026-05-21T14:16:59,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
DELL,2026-05-21,2026-05-21T14:16:59,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
DIS,2026-05-21,2026-05-21T15:15:58,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
DOCU,2026-05-21,2026-05-21T15:15:58,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
DUOL,2026-05-21,2026-05-21T15:15:58,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
ECL,2026-05-21,2026-05-21T14:16:59,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
EEM,2026-05-21,2026-05-21T15:15:58,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
ENPH,2026-05-21,2026-05-21T15:15:58,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
ENTG,2026-05-21,2026-05-21T14:16:59,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
EQIX,2026-05-21,2026-05-21T15:15:58,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
EQT,2026-05-21,2026-05-21T15:15:58,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
ET,2026-05-21,2026-05-21T15:15:58,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
ETN,2026-05-21,2026-05-21T14:16:59,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
ETR,2026-05-21,2026-05-21T14:16:59,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
EWY,2026-05-21,2026-05-21T15:15:58,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
EWZ,2026-05-21,2026-05-21T15:15:58,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
FIX,2026-05-21,2026-05-21T14:16:59,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
FLEX,2026-05-21,2026-05-21T14:16:59,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
FLR,2026-05-21,2026-05-21T14:16:59,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
FLS,2026-05-21,2026-05-21T15:15:58,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
FLUT,2026-05-21,2026-05-21T15:15:58,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
FN,2026-05-21,2026-05-21T14:16:59,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
FORM,2026-05-21,2026-05-21T14:16:59,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
FWONK,2026-05-21,2026-05-21T15:15:58,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
GEHC,2026-05-21,2026-05-21T15:15:58,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
GEV,2026-05-21,2026-05-21T14:16:59,1,True,False,False,False,True,03_OLDEST_SUCCESS_REFRESH,,False,OLDEST_SUCCESS_REFRESH
