ticker,output_bucket,trust_level,score_available,composite_score,score_source,tier_current,technical_available,technical_status,official_price_cache_available,rolling_ledger_status,staged_backfill_status,data_gap_reason,official_rank_allowed,watch_only,trade_allowed,reason_summary
AA,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,90.38,factor_pack,TIER_0_DATA_NOT_READY,TRUE,TECH_TIMING_NEUTRAL,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,MERGE_CANDIDATE_FULL_HISTORY,NO_MAJOR_DATA_GAP_DETECTED,TRUE,FALSE,FALSE,score=yes; technical=yes; official_price=yes; staged=yes; bucket=HIGH_TRUST_OFFICIAL_RANK_CANDIDATE
AEIS,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,96.15,factor_pack,TIER_0_DATA_NOT_READY,TRUE,TECH_TIMING_WATCH_POSITIVE,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,MERGE_CANDIDATE_FULL_HISTORY,NO_MAJOR_DATA_GAP_DETECTED,TRUE,FALSE,FALSE,score=yes; technical=yes; official_price=yes; staged=yes; bucket=HIGH_TRUST_OFFICIAL_RANK_CANDIDATE
AEVA,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,23.08,factor_pack,TIER_0_DATA_NOT_READY,TRUE,TECH_TIMING_NEUTRAL,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,MERGE_CANDIDATE_FULL_HISTORY,NO_MAJOR_DATA_GAP_DETECTED,TRUE,FALSE,FALSE,score=yes; technical=yes; official_price=yes; staged=yes; bucket=HIGH_TRUST_OFFICIAL_RANK_CANDIDATE
AFRM,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,28.85,factor_pack,TIER_0_DATA_NOT_READY,TRUE,TECH_TIMING_NEUTRAL,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,MERGE_CANDIDATE_FULL_HISTORY,NO_MAJOR_DATA_GAP_DETECTED,TRUE,FALSE,FALSE,score=yes; technical=yes; official_price=yes; staged=yes; bucket=HIGH_TRUST_OFFICIAL_RANK_CANDIDATE
AGX,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,100.0,factor_pack,TIER_0_DATA_NOT_READY,TRUE,TECH_TIMING_NEUTRAL,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,MERGE_CANDIDATE_FULL_HISTORY,NO_MAJOR_DATA_GAP_DETECTED,TRUE,FALSE,FALSE,score=yes; technical=yes; official_price=yes; staged=yes; bucket=HIGH_TRUST_OFFICIAL_RANK_CANDIDATE
ALAB,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,12.38,factor_pack,TIER_5_WEAK_OR_BLOCKED,TRUE,TECH_TIMING_NEUTRAL,TRUE,SUCCESS_LOCAL_SCAN,,NO_MAJOR_DATA_GAP_DETECTED,TRUE,FALSE,FALSE,score=yes; technical=yes; official_price=yes; staged=no; bucket=HIGH_TRUST_OFFICIAL_RANK_CANDIDATE
ALM,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,94.23,factor_pack,TIER_0_DATA_NOT_READY,TRUE,TECH_TIMING_PULLBACK_WATCH,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,MERGE_CANDIDATE_FULL_HISTORY,NO_MAJOR_DATA_GAP_DETECTED,TRUE,FALSE,FALSE,score=yes; technical=yes; official_price=yes; staged=yes; bucket=HIGH_TRUST_OFFICIAL_RANK_CANDIDATE
AMAT,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,72.38,factor_pack,TIER_3_WATCHLIST,TRUE,TECH_TIMING_NEUTRAL,TRUE,SUCCESS_LOCAL_SCAN,,NO_MAJOR_DATA_GAP_DETECTED,TRUE,FALSE,FALSE,score=yes; technical=yes; official_price=yes; staged=no; bucket=HIGH_TRUST_OFFICIAL_RANK_CANDIDATE
AMC,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,FALSE,,,TIER_0_DATA_NOT_READY,FALSE,,FALSE,SKIPPED_NO_LOCAL_DATA,HOLD_SUSPICIOUS_PRICE_DATA,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY|STAGED_BACKFILL_HOLD_OR_PARTIAL,FALSE,TRUE,FALSE,score=no; technical=no; official_price=no; staged=yes; bucket=LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH
AMD,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,61.9,factor_pack,TIER_4_REVIEW_ONLY,TRUE,TECH_TIMING_NEUTRAL,TRUE,SUCCESS_LOCAL_SCAN,,NO_MAJOR_DATA_GAP_DETECTED,TRUE,FALSE,FALSE,score=yes; technical=yes; official_price=yes; staged=no; bucket=HIGH_TRUST_OFFICIAL_RANK_CANDIDATE
AMKR,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,88.57,factor_pack,TIER_1_CORE_CANDIDATE,TRUE,TECH_TIMING_NEUTRAL,TRUE,SUCCESS_LOCAL_SCAN,,NO_MAJOR_DATA_GAP_DETECTED,TRUE,FALSE,FALSE,score=yes; technical=yes; official_price=yes; staged=no; bucket=HIGH_TRUST_OFFICIAL_RANK_CANDIDATE
AMZN,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,19.05,factor_pack,TIER_5_WEAK_OR_BLOCKED,TRUE,TECH_TIMING_NEUTRAL,TRUE,SUCCESS_LOCAL_SCAN,,NO_MAJOR_DATA_GAP_DETECTED,TRUE,FALSE,FALSE,score=yes; technical=yes; official_price=yes; staged=no; bucket=HIGH_TRUST_OFFICIAL_RANK_CANDIDATE
ANET,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,32.38,factor_pack,TIER_5_WEAK_OR_BLOCKED,TRUE,TECH_TIMING_WATCH_POSITIVE,TRUE,SUCCESS_LOCAL_SCAN,,NO_MAJOR_DATA_GAP_DETECTED,TRUE,FALSE,FALSE,score=yes; technical=yes; official_price=yes; staged=no; bucket=HIGH_TRUST_OFFICIAL_RANK_CANDIDATE
APG,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,75.0,factor_pack,TIER_0_DATA_NOT_READY,TRUE,TECH_TIMING_WATCH_POSITIVE,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,MERGE_CANDIDATE_FULL_HISTORY,NO_MAJOR_DATA_GAP_DETECTED,TRUE,FALSE,FALSE,score=yes; technical=yes; official_price=yes; staged=yes; bucket=HIGH_TRUST_OFFICIAL_RANK_CANDIDATE
APH,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,41.9,factor_pack,TIER_5_WEAK_OR_BLOCKED,TRUE,TECH_TIMING_WATCH_POSITIVE,TRUE,SUCCESS_LOCAL_SCAN,,NO_MAJOR_DATA_GAP_DETECTED,TRUE,FALSE,FALSE,score=yes; technical=yes; official_price=yes; staged=no; bucket=HIGH_TRUST_OFFICIAL_RANK_CANDIDATE
APLD,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,FALSE,,,TIER_0_DATA_NOT_READY,FALSE,,FALSE,SKIPPED_NO_LOCAL_DATA,HOLD_SUSPICIOUS_PRICE_DATA,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY|STAGED_BACKFILL_HOLD_OR_PARTIAL,FALSE,TRUE,FALSE,score=no; technical=no; official_price=no; staged=yes; bucket=LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH
APO,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,48.08,factor_pack,TIER_0_DATA_NOT_READY,TRUE,TECH_TIMING_NEUTRAL,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,MERGE_CANDIDATE_FULL_HISTORY,NO_MAJOR_DATA_GAP_DETECTED,TRUE,FALSE,FALSE,score=yes; technical=yes; official_price=yes; staged=yes; bucket=HIGH_TRUST_OFFICIAL_RANK_CANDIDATE
APP,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,19.23,factor_pack,TIER_0_DATA_NOT_READY,TRUE,TECH_TIMING_NEUTRAL,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,MERGE_CANDIDATE_FULL_HISTORY,NO_MAJOR_DATA_GAP_DETECTED,TRUE,FALSE,FALSE,score=yes; technical=yes; official_price=yes; staged=yes; bucket=HIGH_TRUST_OFFICIAL_RANK_CANDIDATE
ARGT,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,53.85,factor_pack,TIER_0_DATA_NOT_READY,TRUE,TECH_TIMING_NEUTRAL,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,MERGE_CANDIDATE_FULL_HISTORY,NO_MAJOR_DATA_GAP_DETECTED,TRUE,FALSE,FALSE,score=yes; technical=yes; official_price=yes; staged=yes; bucket=HIGH_TRUST_OFFICIAL_RANK_CANDIDATE
ARM,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,6.67,factor_pack,TIER_5_WEAK_OR_BLOCKED,TRUE,TECH_TIMING_NEUTRAL,TRUE,SUCCESS_LOCAL_SCAN,,NO_MAJOR_DATA_GAP_DETECTED,TRUE,FALSE,FALSE,score=yes; technical=yes; official_price=yes; staged=no; bucket=HIGH_TRUST_OFFICIAL_RANK_CANDIDATE
ASML,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,59.05,factor_pack,TIER_4_REVIEW_ONLY,TRUE,TECH_TIMING_NEUTRAL,TRUE,SUCCESS_LOCAL_SCAN,,NO_MAJOR_DATA_GAP_DETECTED,TRUE,FALSE,FALSE,score=yes; technical=yes; official_price=yes; staged=no; bucket=HIGH_TRUST_OFFICIAL_RANK_CANDIDATE
AVGO,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,26.67,factor_pack,TIER_5_WEAK_OR_BLOCKED,TRUE,TECH_TIMING_NEUTRAL,TRUE,SUCCESS_LOCAL_SCAN,,NO_MAJOR_DATA_GAP_DETECTED,TRUE,FALSE,FALSE,score=yes; technical=yes; official_price=yes; staged=no; bucket=HIGH_TRUST_OFFICIAL_RANK_CANDIDATE
AXON,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,3.85,factor_pack,TIER_0_DATA_NOT_READY,TRUE,TECH_TIMING_NEUTRAL,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,MERGE_CANDIDATE_FULL_HISTORY,NO_MAJOR_DATA_GAP_DETECTED,TRUE,FALSE,FALSE,score=yes; technical=yes; official_price=yes; staged=yes; bucket=HIGH_TRUST_OFFICIAL_RANK_CANDIDATE
BABA,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,46.15,factor_pack,TIER_0_DATA_NOT_READY,TRUE,TECH_TIMING_NEUTRAL,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,MERGE_CANDIDATE_FULL_HISTORY,NO_MAJOR_DATA_GAP_DETECTED,TRUE,FALSE,FALSE,score=yes; technical=yes; official_price=yes; staged=yes; bucket=HIGH_TRUST_OFFICIAL_RANK_CANDIDATE
BAC,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,78.85,factor_pack,TIER_0_DATA_NOT_READY,TRUE,TECH_TIMING_NEUTRAL,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,MERGE_CANDIDATE_FULL_HISTORY,NO_MAJOR_DATA_GAP_DETECTED,TRUE,FALSE,FALSE,score=yes; technical=yes; official_price=yes; staged=yes; bucket=HIGH_TRUST_OFFICIAL_RANK_CANDIDATE
BALL,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,67.31,factor_pack,TIER_0_DATA_NOT_READY,TRUE,TECH_TIMING_WATCH_POSITIVE,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,MERGE_CANDIDATE_FULL_HISTORY,NO_MAJOR_DATA_GAP_DETECTED,TRUE,FALSE,FALSE,score=yes; technical=yes; official_price=yes; staged=yes; bucket=HIGH_TRUST_OFFICIAL_RANK_CANDIDATE
BE,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,79.05,factor_pack,TIER_2_STRONG_WATCHLIST,TRUE,TECH_TIMING_NEUTRAL,TRUE,SUCCESS_LOCAL_SCAN,,NO_MAJOR_DATA_GAP_DETECTED,TRUE,FALSE,FALSE,score=yes; technical=yes; official_price=yes; staged=no; bucket=HIGH_TRUST_OFFICIAL_RANK_CANDIDATE
BIDU,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,88.46,factor_pack,TIER_0_DATA_NOT_READY,TRUE,TECH_TIMING_NEUTRAL,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,MERGE_CANDIDATE_FULL_HISTORY,NO_MAJOR_DATA_GAP_DETECTED,TRUE,FALSE,FALSE,score=yes; technical=yes; official_price=yes; staged=yes; bucket=HIGH_TRUST_OFFICIAL_RANK_CANDIDATE
BITF,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,63.46,factor_pack,TIER_0_DATA_NOT_READY,TRUE,TECH_TIMING_NEUTRAL,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,MERGE_CANDIDATE_FULL_HISTORY,NO_MAJOR_DATA_GAP_DETECTED,TRUE,FALSE,FALSE,score=yes; technical=yes; official_price=yes; staged=yes; bucket=HIGH_TRUST_OFFICIAL_RANK_CANDIDATE
BKNG,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,32.69,factor_pack,TIER_0_DATA_NOT_READY,TRUE,TECH_TIMING_WATCH_POSITIVE,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,MERGE_CANDIDATE_FULL_HISTORY,NO_MAJOR_DATA_GAP_DETECTED,TRUE,FALSE,FALSE,score=yes; technical=yes; official_price=yes; staged=yes; bucket=HIGH_TRUST_OFFICIAL_RANK_CANDIDATE
BLSH,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,FALSE,,,TIER_0_DATA_NOT_READY,FALSE,,FALSE,SKIPPED_NO_LOCAL_DATA,MERGE_CANDIDATE_PRICE_ONLY_PARTIAL_HISTORY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,FALSE,TRUE,FALSE,score=no; technical=no; official_price=no; staged=yes; bucket=LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH
BLTE,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,92.31,factor_pack,TIER_0_DATA_NOT_READY,TRUE,TECH_TIMING_WATCH_POSITIVE,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,MERGE_CANDIDATE_FULL_HISTORY,NO_MAJOR_DATA_GAP_DETECTED,TRUE,FALSE,FALSE,score=yes; technical=yes; official_price=yes; staged=yes; bucket=HIGH_TRUST_OFFICIAL_RANK_CANDIDATE
BN,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,61.54,factor_pack,TIER_0_DATA_NOT_READY,TRUE,TECH_TIMING_NEUTRAL,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,MERGE_CANDIDATE_FULL_HISTORY,NO_MAJOR_DATA_GAP_DETECTED,TRUE,FALSE,FALSE,score=yes; technical=yes; official_price=yes; staged=yes; bucket=HIGH_TRUST_OFFICIAL_RANK_CANDIDATE
BSX,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,11.54,factor_pack,TIER_0_DATA_NOT_READY,TRUE,TECH_TIMING_NEUTRAL,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,MERGE_CANDIDATE_FULL_HISTORY,NO_MAJOR_DATA_GAP_DETECTED,TRUE,FALSE,FALSE,score=yes; technical=yes; official_price=yes; staged=yes; bucket=HIGH_TRUST_OFFICIAL_RANK_CANDIDATE
BTDR,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,33.33,factor_pack,TIER_5_WEAK_OR_BLOCKED,TRUE,TECH_TIMING_NEUTRAL,TRUE,SUCCESS_LOCAL_SCAN,,NO_MAJOR_DATA_GAP_DETECTED,TRUE,FALSE,FALSE,score=yes; technical=yes; official_price=yes; staged=no; bucket=HIGH_TRUST_OFFICIAL_RANK_CANDIDATE
BW,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,FALSE,,,TIER_0_DATA_NOT_READY,FALSE,,FALSE,SKIPPED_NO_LOCAL_DATA,HOLD_SUSPICIOUS_PRICE_DATA,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY|STAGED_BACKFILL_HOLD_OR_PARTIAL,FALSE,TRUE,FALSE,score=no; technical=no; official_price=no; staged=yes; bucket=LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH
BYND,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,FALSE,,,TIER_0_DATA_NOT_READY,FALSE,,FALSE,SKIPPED_NO_LOCAL_DATA,HOLD_SUSPICIOUS_PRICE_DATA,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY|STAGED_BACKFILL_HOLD_OR_PARTIAL,FALSE,TRUE,FALSE,score=no; technical=no; official_price=no; staged=yes; bucket=LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH
CAI,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,FALSE,,,TIER_0_DATA_NOT_READY,FALSE,,FALSE,SKIPPED_NO_LOCAL_DATA,MERGE_CANDIDATE_PRICE_ONLY_PARTIAL_HISTORY,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,FALSE,TRUE,FALSE,score=no; technical=no; official_price=no; staged=yes; bucket=LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH
CAMT,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,82.86,factor_pack,TIER_2_STRONG_WATCHLIST,TRUE,TECH_TIMING_WATCH_POSITIVE,TRUE,SUCCESS_LOCAL_SCAN,,NO_MAJOR_DATA_GAP_DETECTED,TRUE,FALSE,FALSE,score=yes; technical=yes; official_price=yes; staged=no; bucket=HIGH_TRUST_OFFICIAL_RANK_CANDIDATE
CARR,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,14.29,factor_pack,TIER_5_WEAK_OR_BLOCKED,TRUE,TECH_TIMING_NEUTRAL,TRUE,SUCCESS_LOCAL_SCAN,,NO_MAJOR_DATA_GAP_DETECTED,TRUE,FALSE,FALSE,score=yes; technical=yes; official_price=yes; staged=no; bucket=HIGH_TRUST_OFFICIAL_RANK_CANDIDATE
CART,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,34.62,factor_pack,TIER_0_DATA_NOT_READY,TRUE,TECH_TIMING_NEUTRAL,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,MERGE_CANDIDATE_FULL_HISTORY,NO_MAJOR_DATA_GAP_DETECTED,TRUE,FALSE,FALSE,score=yes; technical=yes; official_price=yes; staged=yes; bucket=HIGH_TRUST_OFFICIAL_RANK_CANDIDATE
CDNS,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,69.23,factor_pack,TIER_0_DATA_NOT_READY,TRUE,TECH_TIMING_NEUTRAL,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,MERGE_CANDIDATE_FULL_HISTORY,NO_MAJOR_DATA_GAP_DETECTED,TRUE,FALSE,FALSE,score=yes; technical=yes; official_price=yes; staged=yes; bucket=HIGH_TRUST_OFFICIAL_RANK_CANDIDATE
CDTX,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,FALSE,,,TIER_0_DATA_NOT_READY,FALSE,,FALSE,SKIPPED_NO_LOCAL_DATA,HOLD_EMPTY_FETCH,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY|STAGED_BACKFILL_HOLD_OR_PARTIAL,FALSE,TRUE,FALSE,score=no; technical=no; official_price=no; staged=yes; bucket=LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH
CEG,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,39.05,factor_pack,TIER_5_WEAK_OR_BLOCKED,TRUE,TECH_TIMING_WATCH_POSITIVE,TRUE,SUCCESS_LOCAL_SCAN,,NO_MAJOR_DATA_GAP_DETECTED,TRUE,FALSE,FALSE,score=yes; technical=yes; official_price=yes; staged=no; bucket=HIGH_TRUST_OFFICIAL_RANK_CANDIDATE
CFLT,LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH,LOW,FALSE,,,TIER_0_DATA_NOT_READY,FALSE,,FALSE,SKIPPED_NO_LOCAL_DATA,HOLD_EMPTY_FETCH,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY|STAGED_BACKFILL_HOLD_OR_PARTIAL,FALSE,TRUE,FALSE,score=no; technical=no; official_price=no; staged=yes; bucket=LOW_TRUST_PRICE_ONLY_OR_STAGED_WATCH
