ticker,date,open,high,low,close,adjusted_close,volume,source_provider_placeholder,fetch_timestamp_placeholder,staged_backfill_batch_id,validation_status,apply_status
APP,YYYY-MM-DD,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,INTEGER_PLACEHOLDER,APPROVED_PROVIDER_OR_IMPORT_SOURCE,YYYY-MM-DDTHH:MM:SS,V18_21H_R1_BATCH1,SCHEMA_PREVIEW_ONLY_NO_PRICE_DATA,NOT_APPLIED_SCHEMA_PREVIEW_ONLY
ARGT,YYYY-MM-DD,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,INTEGER_PLACEHOLDER,APPROVED_PROVIDER_OR_IMPORT_SOURCE,YYYY-MM-DDTHH:MM:SS,V18_21H_R1_BATCH1,SCHEMA_PREVIEW_ONLY_NO_PRICE_DATA,NOT_APPLIED_SCHEMA_PREVIEW_ONLY
AXON,YYYY-MM-DD,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,INTEGER_PLACEHOLDER,APPROVED_PROVIDER_OR_IMPORT_SOURCE,YYYY-MM-DDTHH:MM:SS,V18_21H_R1_BATCH1,SCHEMA_PREVIEW_ONLY_NO_PRICE_DATA,NOT_APPLIED_SCHEMA_PREVIEW_ONLY
BABA,YYYY-MM-DD,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,INTEGER_PLACEHOLDER,APPROVED_PROVIDER_OR_IMPORT_SOURCE,YYYY-MM-DDTHH:MM:SS,V18_21H_R1_BATCH1,SCHEMA_PREVIEW_ONLY_NO_PRICE_DATA,NOT_APPLIED_SCHEMA_PREVIEW_ONLY
BAC,YYYY-MM-DD,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,INTEGER_PLACEHOLDER,APPROVED_PROVIDER_OR_IMPORT_SOURCE,YYYY-MM-DDTHH:MM:SS,V18_21H_R1_BATCH1,SCHEMA_PREVIEW_ONLY_NO_PRICE_DATA,NOT_APPLIED_SCHEMA_PREVIEW_ONLY
BALL,YYYY-MM-DD,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,INTEGER_PLACEHOLDER,APPROVED_PROVIDER_OR_IMPORT_SOURCE,YYYY-MM-DDTHH:MM:SS,V18_21H_R1_BATCH1,SCHEMA_PREVIEW_ONLY_NO_PRICE_DATA,NOT_APPLIED_SCHEMA_PREVIEW_ONLY
BIDU,YYYY-MM-DD,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,INTEGER_PLACEHOLDER,APPROVED_PROVIDER_OR_IMPORT_SOURCE,YYYY-MM-DDTHH:MM:SS,V18_21H_R1_BATCH1,SCHEMA_PREVIEW_ONLY_NO_PRICE_DATA,NOT_APPLIED_SCHEMA_PREVIEW_ONLY
BITF,YYYY-MM-DD,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,INTEGER_PLACEHOLDER,APPROVED_PROVIDER_OR_IMPORT_SOURCE,YYYY-MM-DDTHH:MM:SS,V18_21H_R1_BATCH1,SCHEMA_PREVIEW_ONLY_NO_PRICE_DATA,NOT_APPLIED_SCHEMA_PREVIEW_ONLY
BKNG,YYYY-MM-DD,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,INTEGER_PLACEHOLDER,APPROVED_PROVIDER_OR_IMPORT_SOURCE,YYYY-MM-DDTHH:MM:SS,V18_21H_R1_BATCH1,SCHEMA_PREVIEW_ONLY_NO_PRICE_DATA,NOT_APPLIED_SCHEMA_PREVIEW_ONLY
BLSH,YYYY-MM-DD,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,INTEGER_PLACEHOLDER,APPROVED_PROVIDER_OR_IMPORT_SOURCE,YYYY-MM-DDTHH:MM:SS,V18_21H_R1_BATCH1,SCHEMA_PREVIEW_ONLY_NO_PRICE_DATA,NOT_APPLIED_SCHEMA_PREVIEW_ONLY
