date,strategy,topn,hold_days,gross_ret,net_ret,name_count
2020-11-24,TECH_SCORE_TOP5_H3,5,3,0.05284172670593814,0.05084172670593814,5
2020-11-25,TECH_SCORE_TOP5_H3,5,3,0.016804630898709316,0.014804630898709316,5
2020-11-27,TECH_SCORE_TOP5_H3,5,3,-0.012912970753418972,-0.014912970753418972,5
2020-11-30,TECH_SCORE_TOP5_H3,5,3,-0.029136972950708828,-0.03113697295070883,5
2020-12-01,TECH_SCORE_TOP5_H3,5,3,-0.0033798722391881197,-0.00537987223918812,5
2020-12-02,TECH_SCORE_TOP5_H3,5,3,0.02077449757549408,0.018774497575494077,5
2020-12-03,TECH_SCORE_TOP5_H3,5,3,0.006668951333153395,0.004668951333153395,5
2020-12-04,TECH_SCORE_TOP5_H3,5,3,-0.008296658993717098,-0.010296658993717098,5
2020-12-07,TECH_SCORE_TOP5_H3,5,3,-0.009204190053145966,-0.011204190053145966,5
2020-12-08,TECH_SCORE_TOP5_H3,5,3,-0.008645714337526589,-0.010645714337526589,5
2020-12-09,TECH_SCORE_TOP5_H3,5,3,0.001180665632307476,-0.0008193343676925241,5
2020-12-10,TECH_SCORE_TOP5_H3,5,3,0.010578466210443227,0.008578466210443227,5
2020-12-11,TECH_SCORE_TOP5_H3,5,3,-0.0019181705700564767,-0.003918170570056476,5
2020-12-14,TECH_SCORE_TOP5_H3,5,3,0.008918673619994034,0.006918673619994034,5
2020-12-15,TECH_SCORE_TOP5_H3,5,3,0.00012381820139801826,-0.0018761817986019818,5
2020-12-16,TECH_SCORE_TOP5_H3,5,3,-0.006579243332047025,-0.008579243332047026,5
2020-12-17,TECH_SCORE_TOP5_H3,5,3,-0.005598164813950324,-0.007598164813950324,5
2020-12-18,TECH_SCORE_TOP5_H3,5,3,-0.012526643138309557,-0.014526643138309557,5
2020-12-21,TECH_SCORE_TOP5_H3,5,3,0.00136429030466938,-0.00063570969533062,5
2020-12-22,TECH_SCORE_TOP5_H3,5,3,0.017503662883522807,0.015503662883522807,5
2020-12-23,TECH_SCORE_TOP5_H3,5,3,0.009862869494440818,0.007862869494440818,5
2020-12-24,TECH_SCORE_TOP5_H3,5,3,0.04643627826212924,0.04443627826212924,5
2020-12-28,TECH_SCORE_TOP5_H3,5,3,0.06402009006763754,0.062020090067637534,5
2020-12-29,TECH_SCORE_TOP5_H3,5,3,0.09668108895698194,0.09468108895698193,5
2020-12-30,TECH_SCORE_TOP5_H3,5,3,0.028744003388460747,0.026744003388460745,5
2020-12-31,TECH_SCORE_TOP5_H3,5,3,0.010123045826528055,0.008123045826528055,5
2021-01-04,TECH_SCORE_TOP5_H3,5,3,0.03208501555123024,0.03008501555123024,5
2021-01-05,TECH_SCORE_TOP5_H3,5,3,0.010323450789585475,0.008323450789585475,5
2021-01-06,TECH_SCORE_TOP5_H3,5,3,0.035992765053363504,0.0339927650533635,5
2021-01-07,TECH_SCORE_TOP5_H3,5,3,0.0005117480395734342,-0.0014882519604265659,5
2021-01-08,TECH_SCORE_TOP5_H3,5,3,-7.444016392057495e-05,-0.002074440163920575,5
2021-01-11,TECH_SCORE_TOP5_H3,5,3,0.005848907325911834,0.0038489073259118343,5
2021-01-12,TECH_SCORE_TOP5_H3,5,3,0.016792784838514117,0.014792784838514117,5
2021-01-13,TECH_SCORE_TOP5_H3,5,3,0.010254100540786326,0.008254100540786326,5
2021-01-14,TECH_SCORE_TOP5_H3,5,3,0.03376566306434583,0.03176566306434583,5
2021-01-15,TECH_SCORE_TOP5_H3,5,3,0.04286019879770049,0.04086019879770049,5
2021-01-19,TECH_SCORE_TOP5_H3,5,3,0.03231305627235448,0.030313056272354477,5
2021-01-20,TECH_SCORE_TOP5_H3,5,3,0.019385418465401937,0.01738541846540194,5
2021-01-21,TECH_SCORE_TOP5_H3,5,3,0.005665062755917494,0.0036650627559174937,5
2021-01-22,TECH_SCORE_TOP5_H3,5,3,-0.00968888309522431,-0.01168888309522431,5
2021-01-25,TECH_SCORE_TOP5_H3,5,3,-0.013324629417753763,-0.015324629417753763,5
2021-01-26,TECH_SCORE_TOP5_H3,5,3,-0.01165536599888164,-0.01365536599888164,5
2021-01-27,TECH_SCORE_TOP5_H3,5,3,0.025061629515136397,0.0230616295151364,5
2021-01-28,TECH_SCORE_TOP5_H3,5,3,0.0032559947181603375,0.0012559947181603375,5
2021-01-29,TECH_SCORE_TOP5_H3,5,3,0.03595600892861399,0.03395600892861399,5
2021-02-01,TECH_SCORE_TOP5_H3,5,3,0.022086168626612435,0.020086168626612437,5
2021-02-02,TECH_SCORE_TOP5_H3,5,3,0.03431681242097415,0.03231681242097415,5
2021-02-03,TECH_SCORE_TOP5_H3,5,3,0.044784704991948664,0.04278470499194866,5
2021-02-04,TECH_SCORE_TOP5_H3,5,3,0.014691287913358674,0.012691287913358674,5
2021-02-05,TECH_SCORE_TOP5_H3,5,3,0.022293807989062907,0.020293807989062905,5
2021-02-08,TECH_SCORE_TOP5_H3,5,3,0.03946873869987007,0.037468738699870066,5
2021-02-09,TECH_SCORE_TOP5_H3,5,3,0.06969186257941203,0.06769186257941202,5
2021-02-10,TECH_SCORE_TOP5_H3,5,3,0.06675447248712234,0.06475447248712234,5
2021-02-11,TECH_SCORE_TOP5_H3,5,3,0.008926466975161173,0.006926466975161173,5
2021-02-12,TECH_SCORE_TOP5_H3,5,3,-0.023637342389915772,-0.025637342389915774,5
2021-02-16,TECH_SCORE_TOP5_H3,5,3,-0.021674265320872178,-0.023674265320872176,5
2021-02-17,TECH_SCORE_TOP5_H3,5,3,-0.015819019758121767,-0.017819019758121765,5
2021-02-18,TECH_SCORE_TOP5_H3,5,3,-0.026226399061161844,-0.028226399061161846,5
2021-02-19,TECH_SCORE_TOP5_H3,5,3,0.017580474447101247,0.015580474447101247,5
2021-02-22,TECH_SCORE_TOP5_H3,5,3,-0.03696915672280865,-0.03896915672280865,5
2021-02-23,TECH_SCORE_TOP5_H3,5,3,-0.004273812758436035,-0.0062738127584360355,5
2021-02-24,TECH_SCORE_TOP5_H3,5,3,-0.004630875992393424,-0.006630875992393424,5
2021-02-25,TECH_SCORE_TOP5_H3,5,3,0.02238064115974616,0.02038064115974616,5
2021-02-26,TECH_SCORE_TOP5_H3,5,3,-0.0071419426126999586,-0.009141942612699959,5
2021-03-01,TECH_SCORE_TOP5_H3,5,3,-0.08297488550306258,-0.08497488550306258,5
2021-03-02,TECH_SCORE_TOP5_H3,5,3,-0.026805106182661232,-0.02880510618266123,5
2021-03-03,TECH_SCORE_TOP5_H3,5,3,-0.05099054759284989,-0.05299054759284989,5
2021-03-04,TECH_SCORE_TOP5_H3,5,3,0.037056730099131706,0.035056730099131704,5
2021-03-05,TECH_SCORE_TOP5_H3,5,3,0.01822921952061358,0.016229219520613583,5
2021-03-08,TECH_SCORE_TOP5_H3,5,3,0.10026294171635422,0.09826294171635422,5
2021-03-09,TECH_SCORE_TOP5_H3,5,3,0.007726681362512133,0.005726681362512133,5
2021-03-10,TECH_SCORE_TOP5_H3,5,3,0.06656392176949195,0.06456392176949195,5
2021-03-11,TECH_SCORE_TOP5_H3,5,3,0.0005867699537173809,-0.0014132300462826191,5
2021-03-12,TECH_SCORE_TOP5_H3,5,3,0.03480521402612493,0.03280521402612493,5
2021-03-15,TECH_SCORE_TOP5_H3,5,3,-0.03362566567636993,-0.03562566567636993,5
2021-03-16,TECH_SCORE_TOP5_H3,5,3,-0.027019313827634894,-0.029019313827634896,5
2021-03-17,TECH_SCORE_TOP5_H3,5,3,-0.024856391339927474,-0.026856391339927475,5
2021-03-18,TECH_SCORE_TOP5_H3,5,3,0.0019714222260423632,-2.857777395763681e-05,5
2021-03-19,TECH_SCORE_TOP5_H3,5,3,-0.04023551040362525,-0.042235510403625255,5
2021-03-22,TECH_SCORE_TOP5_H3,5,3,-0.05392727751882935,-0.05592727751882935,5
2021-03-23,TECH_SCORE_TOP5_H3,5,3,0.04173987831505073,0.03973987831505073,5
2021-03-24,TECH_SCORE_TOP5_H3,5,3,0.025037113435133575,0.023037113435133573,5
2021-03-25,TECH_SCORE_TOP5_H3,5,3,0.025531538450700175,0.023531538450700176,5
2021-03-26,TECH_SCORE_TOP5_H3,5,3,0.005535542803570115,0.003535542803570115,5
2021-03-29,TECH_SCORE_TOP5_H3,5,3,0.07101447577531114,0.06901447577531114,5
2021-03-30,TECH_SCORE_TOP5_H3,5,3,0.085992625157479,0.083992625157479,5
2021-03-31,TECH_SCORE_TOP5_H3,5,3,0.05822010481309605,0.05622010481309605,5
2021-04-01,TECH_SCORE_TOP5_H3,5,3,-0.006787640044945165,-0.008787640044945165,5
2021-04-05,TECH_SCORE_TOP5_H3,5,3,0.031916376514652865,0.029916376514652863,5
2021-04-06,TECH_SCORE_TOP5_H3,5,3,-0.020135135760384792,-0.02213513576038479,5
2021-04-07,TECH_SCORE_TOP5_H3,5,3,0.008561273939403268,0.006561273939403268,5
2021-04-08,TECH_SCORE_TOP5_H3,5,3,0.0019377006447573563,-6.229935524264371e-05,5
2021-04-09,TECH_SCORE_TOP5_H3,5,3,-0.021217565343144073,-0.02321756534314407,5
2021-04-12,TECH_SCORE_TOP5_H3,5,3,-0.025880029308409425,-0.027880029308409424,5
2021-04-13,TECH_SCORE_TOP5_H3,5,3,0.0015514638604367415,-0.00044853613956325855,5
2021-04-14,TECH_SCORE_TOP5_H3,5,3,-0.040632276988001405,-0.04263227698800141,5
2021-04-15,TECH_SCORE_TOP5_H3,5,3,-0.04174769241651901,-0.04374769241651901,5
2021-04-16,TECH_SCORE_TOP5_H3,5,3,-0.0038460670025788346,-0.005846067002578835,5
2021-04-19,TECH_SCORE_TOP5_H3,5,3,0.03789399366363586,0.03589399366363586,5
2021-04-20,TECH_SCORE_TOP5_H3,5,3,0.08642977102163382,0.08442977102163382,5
2021-04-21,TECH_SCORE_TOP5_H3,5,3,0.06456539581045233,0.06256539581045233,5
2021-04-22,TECH_SCORE_TOP5_H3,5,3,0.021131674704888657,0.019131674704888656,5
2021-04-23,TECH_SCORE_TOP5_H3,5,3,0.00673551031602051,0.00473551031602051,5
2021-04-26,TECH_SCORE_TOP5_H3,5,3,-0.002846790805832411,-0.004846790805832411,5
2021-04-27,TECH_SCORE_TOP5_H3,5,3,-0.01736711730285978,-0.019367117302859782,5
2021-04-28,TECH_SCORE_TOP5_H3,5,3,-0.017689701680202785,-0.019689701680202787,5
2021-04-29,TECH_SCORE_TOP5_H3,5,3,-0.032401545194978135,-0.034401545194978136,5
2021-04-30,TECH_SCORE_TOP5_H3,5,3,-0.022837496603618557,-0.02483749660361856,5
2021-05-03,TECH_SCORE_TOP5_H3,5,3,-0.01796882836747584,-0.019968828367475842,5
2021-05-04,TECH_SCORE_TOP5_H3,5,3,0.02164262027314261,0.019642620273142612,5
2021-05-05,TECH_SCORE_TOP5_H3,5,3,-0.010786076975223513,-0.012786076975223513,5
2021-05-06,TECH_SCORE_TOP5_H3,5,3,-0.021066957362063453,-0.023066957362063455,5
2021-05-07,TECH_SCORE_TOP5_H3,5,3,-0.06261987781064175,-0.06461987781064175,5
2021-05-10,TECH_SCORE_TOP5_H3,5,3,-0.031599058138751544,-0.033599058138751546,5
2021-05-11,TECH_SCORE_TOP5_H3,5,3,-0.02134883519530926,-0.02334883519530926,5
2021-05-12,TECH_SCORE_TOP5_H3,5,3,0.03973702333500682,0.037737023335006815,5
2021-05-13,TECH_SCORE_TOP5_H3,5,3,0.05821364217780021,0.056213642177800206,5
2021-05-14,TECH_SCORE_TOP5_H3,5,3,0.03003110493209964,0.02803110493209964,5
2021-05-17,TECH_SCORE_TOP5_H3,5,3,0.059898648953021064,0.05789864895302106,5
2021-05-18,TECH_SCORE_TOP5_H3,5,3,0.0637989901951272,0.061798990195127204,5
2021-05-19,TECH_SCORE_TOP5_H3,5,3,0.04792676181330373,0.045926761813303726,5
2021-05-20,TECH_SCORE_TOP5_H3,5,3,0.022528739695219534,0.020528739695219532,5
2021-05-21,TECH_SCORE_TOP5_H3,5,3,0.008811460125698778,0.006811460125698778,5
2021-05-24,TECH_SCORE_TOP5_H3,5,3,0.03949462203820593,0.03749462203820593,5
2021-05-25,TECH_SCORE_TOP5_H3,5,3,0.018135450981235434,0.016135450981235436,5
2021-05-26,TECH_SCORE_TOP5_H3,5,3,0.010221077581558236,0.008221077581558236,5
2021-05-27,TECH_SCORE_TOP5_H3,5,3,0.02245107056934794,0.02045107056934794,5
2021-05-28,TECH_SCORE_TOP5_H3,5,3,0.024204769547609195,0.022204769547609193,5
2021-06-01,TECH_SCORE_TOP5_H3,5,3,0.0029123244105018877,0.0009123244105018876,5
2021-06-02,TECH_SCORE_TOP5_H3,5,3,-0.002761615632797354,-0.004761615632797354,5
2021-06-03,TECH_SCORE_TOP5_H3,5,3,0.012546967160721078,0.010546967160721078,5
2021-06-04,TECH_SCORE_TOP5_H3,5,3,0.003105423708669952,0.001105423708669952,5
2021-06-07,TECH_SCORE_TOP5_H3,5,3,0.010267536510903263,0.008267536510903263,5
2021-06-08,TECH_SCORE_TOP5_H3,5,3,0.024137038058661943,0.02213703805866194,5
2021-06-09,TECH_SCORE_TOP5_H3,5,3,-0.0015692944890838057,-0.0035692944890838058,5
2021-06-10,TECH_SCORE_TOP5_H3,5,3,0.0016257895205792129,-0.0003742104794207872,5
2021-06-11,TECH_SCORE_TOP5_H3,5,3,-0.008752299691619548,-0.010752299691619548,5
2021-06-14,TECH_SCORE_TOP5_H3,5,3,-0.025455353518160438,-0.02745535351816044,5
2021-06-15,TECH_SCORE_TOP5_H3,5,3,-0.06059276445240103,-0.06259276445240103,5
2021-06-16,TECH_SCORE_TOP5_H3,5,3,-0.010385232250671428,-0.012385232250671428,5
2021-06-17,TECH_SCORE_TOP5_H3,5,3,0.00396285747573979,0.0019628574757397897,5
2021-06-18,TECH_SCORE_TOP5_H3,5,3,0.03224760601070895,0.03024760601070895,5
2021-06-21,TECH_SCORE_TOP5_H3,5,3,0.021113567138921076,0.019113567138921074,5
2021-06-22,TECH_SCORE_TOP5_H3,5,3,0.02141630489722144,0.01941630489722144,5
2021-06-23,TECH_SCORE_TOP5_H3,5,3,0.03082302542560438,0.02882302542560438,5
2021-06-24,TECH_SCORE_TOP5_H3,5,3,0.009013983134998215,0.007013983134998215,5
2021-06-25,TECH_SCORE_TOP5_H3,5,3,0.02060648951457904,0.018606489514579043,5
2021-06-28,TECH_SCORE_TOP5_H3,5,3,0.002317761167189447,0.0003177611671894469,5
2021-06-29,TECH_SCORE_TOP5_H3,5,3,0.008866146189181467,0.006866146189181467,5
2021-06-30,TECH_SCORE_TOP5_H3,5,3,-0.018966753710528205,-0.020966753710528203,5
2021-07-01,TECH_SCORE_TOP5_H3,5,3,-0.006493191933520404,-0.008493191933520404,5
2021-07-02,TECH_SCORE_TOP5_H3,5,3,-0.016399911081172558,-0.01839991108117256,5
2021-07-06,TECH_SCORE_TOP5_H3,5,3,-0.002223466215476444,-0.004223466215476444,5
2021-07-07,TECH_SCORE_TOP5_H3,5,3,0.011653922586134957,0.009653922586134957,5
2021-07-08,TECH_SCORE_TOP5_H3,5,3,0.017663732487984564,0.015663732487984562,5
2021-07-09,TECH_SCORE_TOP5_H3,5,3,-0.03750359863982131,-0.039503598639821315,5
2021-07-12,TECH_SCORE_TOP5_H3,5,3,-0.061157734320385335,-0.06315773432038534,5
2021-07-13,TECH_SCORE_TOP5_H3,5,3,-0.06482510554986665,-0.06682510554986665,5
2021-07-14,TECH_SCORE_TOP5_H3,5,3,-0.030756422896466008,-0.032756422896466006,5
2021-07-15,TECH_SCORE_TOP5_H3,5,3,0.014093994000575849,0.012093994000575849,5
2021-07-16,TECH_SCORE_TOP5_H3,5,3,0.0805937985907482,0.07859379859074819,5
2021-07-19,TECH_SCORE_TOP5_H3,5,3,0.08128618896307054,0.07928618896307053,5
2021-07-20,TECH_SCORE_TOP5_H3,5,3,0.05938115938334545,0.05738115938334545,5
2021-07-21,TECH_SCORE_TOP5_H3,5,3,-0.008303960673311784,-0.010303960673311784,5
2021-07-22,TECH_SCORE_TOP5_H3,5,3,0.01341453308027265,0.01141453308027265,5
2021-07-23,TECH_SCORE_TOP5_H3,5,3,0.006066708842565838,0.004066708842565838,5
2021-07-26,TECH_SCORE_TOP5_H3,5,3,0.014086555118484223,0.012086555118484223,5
2021-07-27,TECH_SCORE_TOP5_H3,5,3,0.030468175982727264,0.028468175982727266,5
2021-07-28,TECH_SCORE_TOP5_H3,5,3,0.010533166795134986,0.008533166795134986,5
2021-07-29,TECH_SCORE_TOP5_H3,5,3,-0.003956891121960559,-0.0059568911219605595,5
2021-07-30,TECH_SCORE_TOP5_H3,5,3,0.0008207099736393664,-0.0011792900263606337,5
2021-08-02,TECH_SCORE_TOP5_H3,5,3,0.00908718493688918,0.007087184936889181,5
2021-08-03,TECH_SCORE_TOP5_H3,5,3,0.01010407292422535,0.00810407292422535,5
2021-08-04,TECH_SCORE_TOP5_H3,5,3,0.025669258080582447,0.02366925808058245,5
2021-08-05,TECH_SCORE_TOP5_H3,5,3,0.01020467148382751,0.00820467148382751,5
2021-08-06,TECH_SCORE_TOP5_H3,5,3,-0.010363697124797722,-0.012363697124797722,5
2021-08-09,TECH_SCORE_TOP5_H3,5,3,-0.020008352203399672,-0.022008352203399674,5
2021-08-10,TECH_SCORE_TOP5_H3,5,3,-0.011891234901334724,-0.013891234901334724,5
2021-08-11,TECH_SCORE_TOP5_H3,5,3,-0.015704125484461096,-0.017704125484461097,5
2021-08-12,TECH_SCORE_TOP5_H3,5,3,-0.015645108203351722,-0.017645108203351724,5
2021-08-13,TECH_SCORE_TOP5_H3,5,3,-0.02991003962413199,-0.03191003962413199,5
2021-08-16,TECH_SCORE_TOP5_H3,5,3,-0.004465223670469398,-0.006465223670469398,5
2021-08-17,TECH_SCORE_TOP5_H3,5,3,0.006330029078828914,0.004330029078828914,5
2021-08-18,TECH_SCORE_TOP5_H3,5,3,0.024244517833620093,0.022244517833620095,5
2021-08-19,TECH_SCORE_TOP5_H3,5,3,0.04185301831702533,0.03985301831702533,5
2021-08-20,TECH_SCORE_TOP5_H3,5,3,0.04900506431747496,0.047005064317474955,5
2021-08-23,TECH_SCORE_TOP5_H3,5,3,0.017594480181535355,0.015594480181535355,5
2021-08-24,TECH_SCORE_TOP5_H3,5,3,0.015467852364241886,0.013467852364241886,5
2021-08-25,TECH_SCORE_TOP5_H3,5,3,-0.0015752982316729947,-0.0035752982316729948,5
2021-08-26,TECH_SCORE_TOP5_H3,5,3,0.014320051396146494,0.012320051396146494,5
2021-08-27,TECH_SCORE_TOP5_H3,5,3,0.028246803736393034,0.026246803736393036,5
2021-08-30,TECH_SCORE_TOP5_H3,5,3,0.0001622767047299245,-0.0018377232952700756,5
2021-08-31,TECH_SCORE_TOP5_H3,5,3,0.0035212451555141078,0.0015212451555141077,5
2021-09-01,TECH_SCORE_TOP5_H3,5,3,0.006004569193062359,0.004004569193062359,5
2021-09-02,TECH_SCORE_TOP5_H3,5,3,-0.025035371609555247,-0.02703537160955525,5
2021-09-03,TECH_SCORE_TOP5_H3,5,3,-0.021909941923200327,-0.023909941923200326,5
2021-09-07,TECH_SCORE_TOP5_H3,5,3,-0.014141532142724334,-0.016141532142724332,5
2021-09-08,TECH_SCORE_TOP5_H3,5,3,-0.003963692558978926,-0.005963692558978926,5
2021-09-09,TECH_SCORE_TOP5_H3,5,3,-0.03234120259810262,-0.034341202598102624,5
2021-09-10,TECH_SCORE_TOP5_H3,5,3,-0.00929343324291838,-0.01129343324291838,5
2021-09-13,TECH_SCORE_TOP5_H3,5,3,-0.014326704358490061,-0.01632670435849006,5
2021-09-14,TECH_SCORE_TOP5_H3,5,3,-0.00039175527923671625,-0.0023917552792367164,5
2021-09-15,TECH_SCORE_TOP5_H3,5,3,-0.02376244840537862,-0.02576244840537862,5
2021-09-16,TECH_SCORE_TOP5_H3,5,3,-0.027687851188253565,-0.029687851188253567,5
2021-09-17,TECH_SCORE_TOP5_H3,5,3,-0.009643686393655315,-0.011643686393655315,5
2021-09-20,TECH_SCORE_TOP5_H3,5,3,0.021950326177083368,0.019950326177083366,5
2021-09-21,TECH_SCORE_TOP5_H3,5,3,0.02498399831887288,0.022983998318872878,5
2021-09-22,TECH_SCORE_TOP5_H3,5,3,0.006618963803053335,0.004618963803053335,5
2021-09-23,TECH_SCORE_TOP5_H3,5,3,-0.021009743739052976,-0.023009743739052978,5
2021-09-24,TECH_SCORE_TOP5_H3,5,3,-0.0312993929678085,-0.033299392967808504,5
2021-09-27,TECH_SCORE_TOP5_H3,5,3,-0.043646840090333525,-0.045646840090333526,5
2021-09-28,TECH_SCORE_TOP5_H3,5,3,-0.014785768089789953,-0.016785768089789953,5
2021-09-29,TECH_SCORE_TOP5_H3,5,3,-0.019507330159966287,-0.02150733015996629,5
2021-09-30,TECH_SCORE_TOP5_H3,5,3,0.0017801021453848654,-0.00021989785461513467,5
2021-10-01,TECH_SCORE_TOP5_H3,5,3,0.005278602182346525,0.0032786021823465253,5
2021-10-04,TECH_SCORE_TOP5_H3,5,3,0.005300897779909985,0.0033008977799099852,5
2021-10-05,TECH_SCORE_TOP5_H3,5,3,0.01176626692897893,0.00976626692897893,5
2021-10-06,TECH_SCORE_TOP5_H3,5,3,-0.0014400918202812196,-0.00344009182028122,5
2021-10-07,TECH_SCORE_TOP5_H3,5,3,-0.016735637475120614,-0.018735637475120616,5
2021-10-08,TECH_SCORE_TOP5_H3,5,3,-0.0677913751727169,-0.0697913751727169,5
2021-10-11,TECH_SCORE_TOP5_H3,5,3,0.022259197929539898,0.020259197929539896,5
2021-10-12,TECH_SCORE_TOP5_H3,5,3,0.06819056660909939,0.06619056660909939,5
2021-10-13,TECH_SCORE_TOP5_H3,5,3,0.109201518559321,0.107201518559321,5
2021-10-14,TECH_SCORE_TOP5_H3,5,3,0.05084570960246859,0.04884570960246859,5
2021-10-15,TECH_SCORE_TOP5_H3,5,3,0.08472013572228447,0.08272013572228447,5
2021-10-18,TECH_SCORE_TOP5_H3,5,3,0.04181079734541284,0.03981079734541284,5
2021-10-19,TECH_SCORE_TOP5_H3,5,3,0.016620229658488573,0.014620229658488573,5
2021-10-20,TECH_SCORE_TOP5_H3,5,3,0.0010390605198851376,-0.0009609394801148624,5
2021-10-21,TECH_SCORE_TOP5_H3,5,3,-0.015521835964032338,-0.01752183596403234,5
2021-10-22,TECH_SCORE_TOP5_H3,5,3,-0.008602477330528125,-0.010602477330528125,5
2021-10-25,TECH_SCORE_TOP5_H3,5,3,0.004838392269066882,0.002838392269066882,5
2021-10-26,TECH_SCORE_TOP5_H3,5,3,0.042570888923538996,0.040570888923538995,5
2021-10-27,TECH_SCORE_TOP5_H3,5,3,0.05673830058437228,0.054738300584372276,5
2021-10-28,TECH_SCORE_TOP5_H3,5,3,0.05293308725181558,0.05093308725181558,5
2021-10-29,TECH_SCORE_TOP5_H3,5,3,0.03870087082837133,0.036700870828371326,5
2021-11-01,TECH_SCORE_TOP5_H3,5,3,0.007197916771195567,0.005197916771195567,5
2021-11-02,TECH_SCORE_TOP5_H3,5,3,0.027388202778103964,0.025388202778103962,5
2021-11-03,TECH_SCORE_TOP5_H3,5,3,0.016922765635744776,0.014922765635744776,5
