script_path,script_type,matched_terms,likely_role,proxy_requirement_detected,exact_reference_lines_or_short_snippets,confidence
D:\us-tech-quant\scripts\v18\run_v18_21C_R2_forward_match_key_quality_plan.ps1,technical,technical_timing,path_or_report_consumer,NONE,"L19: Write-Host ""TECHNICAL_TIMING_MODIFIED: FALSE""",LOW
D:\us-tech-quant\scripts\v18\run_v18_21C_R2_stable_snapshot.ps1,technical,technical_timing,path_or_report_consumer,NONE,"L19: Write-Host ""TECHNICAL_TIMING_MODIFIED: FALSE""",LOW
D:\us-tech-quant\scripts\v18\run_v18_21D_forward_tracker_link_key_upgrade_plan.ps1,technical,technical_timing,path_or_report_consumer,NONE,"L23: Write-Host ""TECHNICAL_TIMING_MODIFIED: FALSE""",LOW
D:\us-tech-quant\scripts\v18\run_v18_21D_R1_controlled_forward_tracker_link_key_application.ps1,technical,technical_timing,path_or_report_consumer,NONE,"L25: Write-Host ""TECHNICAL_TIMING_MODIFIED: FALSE""",LOW
D:\us-tech-quant\scripts\v18\run_v18_21D_R1_stable_snapshot.ps1,technical,technical_timing,path_or_report_consumer,NONE,"L26: Write-Host ""TECHNICAL_TIMING_MODIFIED: FALSE""",LOW
D:\us-tech-quant\scripts\v18\run_v18_21D_stable_snapshot.ps1,technical,technical_timing,path_or_report_consumer,NONE,"L23: Write-Host ""TECHNICAL_TIMING_MODIFIED: FALSE""",LOW
D:\us-tech-quant\scripts\v18\run_v18_21F_stable_snapshot.ps1,technical,technical_timing,path_or_report_consumer,NONE,"L25: Write-Host ""TECHNICAL_TIMING_MODIFIED: FALSE""",LOW
D:\us-tech-quant\scripts\v18\run_v18_21F_unified_research_chain_read_center.ps1,technical,technical_timing,path_or_report_consumer,NONE,"L25: Write-Host ""TECHNICAL_TIMING_MODIFIED: FALSE""",LOW
D:\us-tech-quant\scripts\v18\run_v18_21G_controlled_forward_outcome_filler_design.ps1,technical,technical_timing,path_or_report_consumer,NONE,"L27: Write-Host ""TECHNICAL_TIMING_MODIFIED: FALSE""",LOW
D:\us-tech-quant\scripts\v18\run_v18_21G_stable_snapshot.ps1,technical,technical_timing,path_or_report_consumer,NONE,"L30: Write-Host ""TECHNICAL_TIMING_MODIFIED: FALSE""",LOW
D:\us-tech-quant\scripts\v18\run_v18_21H_full_history_backfill_design.ps1,technical,technical_timing,path_or_report_consumer,NONE,"L28: Write-Host ""TECHNICAL_TIMING_MODIFIED: FALSE""",LOW
D:\us-tech-quant\scripts\v18\run_v18_21H_R1_controlled_staged_backfill_batch1_design.ps1,technical,technical_timing,path_or_report_consumer,NONE,"L31: Write-Host ""TECHNICAL_TIMING_MODIFIED: FALSE""",LOW
D:\us-tech-quant\scripts\v18\run_v18_21H_R1_stable_snapshot.ps1,technical,technical_timing,path_or_report_consumer,NONE,"L31: Write-Host ""TECHNICAL_TIMING_MODIFIED: FALSE""",LOW
D:\us-tech-quant\scripts\v18\run_v18_21H_stable_snapshot.ps1,technical,technical_timing,path_or_report_consumer,NONE,"L28: Write-Host ""TECHNICAL_TIMING_MODIFIED: FALSE""",LOW
D:\us-tech-quant\scripts\v18\run_v18_21I_stable_snapshot.ps1,technical,technical_timing,path_or_report_consumer,NONE,"L31: Write-Host ""TECHNICAL_TIMING_MODIFIED: FALSE""",LOW
D:\us-tech-quant\scripts\v18\run_v18_21I_unified_backtest_research_design.ps1,technical,technical_timing,path_or_report_consumer,NONE,"L34: Write-Host ""TECHNICAL_TIMING_MODIFIED: FALSE""",LOW
D:\us-tech-quant\scripts\v18\run_v18_22A_research_command_center.ps1,technical,technical_timing,path_or_report_consumer,NONE,"L35: Write-Host ""TECHNICAL_TIMING_MODIFIED: FALSE""",LOW
D:\us-tech-quant\scripts\v18\run_v18_22A_stable_snapshot.ps1,technical,technical_timing,path_or_report_consumer,NONE,"L35: Write-Host ""TECHNICAL_TIMING_MODIFIED: FALSE""",LOW
D:\us-tech-quant\scripts\v18\run_v18_22B_daily_research_command_center_wrapper.ps1,technical,technical_timing,path_or_report_consumer,NONE,"L38: Write-Host ""TECHNICAL_TIMING_MODIFIED: FALSE""",LOW
D:\us-tech-quant\scripts\v18\run_v18_22B_stable_snapshot.ps1,technical,technical_timing,path_or_report_consumer,NONE,"L37: Write-Host ""TECHNICAL_TIMING_MODIFIED: FALSE""",LOW
D:\us-tech-quant\scripts\v18\run_v18_22C_research_packet_writer.ps1,technical,technical_timing,path_or_report_consumer,NONE,"L38: Write-Host ""TECHNICAL_TIMING_MODIFIED: FALSE""",LOW
D:\us-tech-quant\scripts\v18\run_v18_22C_stable_snapshot.ps1,technical,technical_timing,path_or_report_consumer,NONE,"L36: Write-Host ""TECHNICAL_TIMING_MODIFIED: FALSE""",LOW
D:\us-tech-quant\scripts\v18\run_v18_23C_R2_official_price_integration_full_history.ps1,technical,factor_pack;technical_timing,path_or_report_consumer,NONE,"L14: Write-Host ""FACTOR_PACK_MODIFIED: FALSE"" | L15: Write-Host ""TECHNICAL_TIMING_MODIFIED: FALSE""",LOW
D:\us-tech-quant\scripts\v18\run_v18_23C_R3_official_cache_rolling_ledger_retest.ps1,technical,factor_pack;technical_timing,path_or_report_consumer,NONE,"L15: Write-Host ""FACTOR_PACK_MODIFIED: FALSE"" | L16: Write-Host ""TECHNICAL_TIMING_MODIFIED: FALSE""",LOW
D:\us-tech-quant\scripts\v18\run_v18_23C_R4_controlled_staged_backfill_batch2.ps1,technical,factor_pack;technical_timing,path_or_report_consumer,NONE,"L15: Write-Host ""FACTOR_PACK_MODIFIED: FALSE"" | L16: Write-Host ""TECHNICAL_TIMING_MODIFIED: FALSE""",LOW
D:\us-tech-quant\scripts\v18\run_v18_23C_R6_batch2_official_price_integration_full_history.ps1,technical,factor_pack;technical_timing,path_or_report_consumer,NONE,"L14: Write-Host ""FACTOR_PACK_MODIFIED: FALSE"" | L15: Write-Host ""TECHNICAL_TIMING_MODIFIED: FALSE""",LOW
D:\us-tech-quant\scripts\v18\run_v18_24A_dynamic_score_tier_migration_audit.ps1,technical,factor_pack;technical_timing,path_or_report_consumer,NONE,"L14: Write-Host ""FACTOR_PACK_MODIFIED: FALSE"" | L15: Write-Host ""TECHNICAL_TIMING_MODIFIED: FALSE""",LOW
D:\us-tech-quant\scripts\v18\run_v18_24B_stable_snapshot.ps1,technical,factor_pack;technical_timing,path_or_report_consumer,NONE,"L14: Write-Host ""FACTOR_PACK_MODIFIED: FALSE"" | L15: Write-Host ""TECHNICAL_TIMING_MODIFIED: FALSE""",LOW
D:\us-tech-quant\scripts\v18\run_v18_24B_tier_migration_operator_homepage.ps1,technical,factor_pack;technical_timing,path_or_report_consumer,NONE,"L14: Write-Host ""FACTOR_PACK_MODIFIED: FALSE"" | L15: Write-Host ""TECHNICAL_TIMING_MODIFIED: FALSE""",LOW
D:\us-tech-quant\scripts\v18\run_v18_25A_R5_targeted_technical_timing_refresh_dryrun.ps1,technical,technical_timing,technical_wrapper_or_report,NONE,"L13: $scriptPath = Join-Path $rootPath ""scripts\v18\v18_25A_R5_targeted_technical_timing_refresh_dryrun.py"" | L18: Write-Host ""MODE: READ_ONLY_TARGETED_TECHNICAL_TIMING_REFRESH_DRYRUN""",LOW
D:\us-tech-quant\scripts\v18\run_v18_25A_R6_market_proxy_source_trace_policy_audit.ps1,unknown,market_proxy,factor_wrapper_or_report,NONE,"L13: $scriptPath = Join-Path $rootPath ""scripts\v18\v18_25A_R6_market_proxy_source_trace_policy_audit.py"" | L18: Write-Host ""MODE: READ_ONLY_MARKET_PROXY_SOURCE_TRACE_AND_POLICY_AUDIT""",LOW
D:\us-tech-quant\scripts\v18\run_v18_3D_factor_pack_shadow_extension.ps1,factor,factor_pack,factor_wrapper_or_report,NONE,"L5: $PyScript = Join-Path $Root ""scripts\v18\v18_3D_factor_pack_shadow_extension.py"" | L6: $ReadFirst = Join-Path $Root ""outputs\v18\factor_pack\V18_3D_READ_FIRST.txt""",LOW
D:\us-tech-quant\scripts\v18\run_v18_3D_R1_official_overlap_fix.ps1,factor,factor_pack,path_or_report_consumer,NONE,"L5: $UpstreamPs = Join-Path $Root ""scripts\v18\run_v18_3D_factor_pack_shadow_extension.ps1""",LOW
D:\us-tech-quant\scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1,factor,factor_current_csv;factor_pack,factor_wrapper_or_report,NONE,"L5: $OutDir = Join-Path $Root ""outputs\v18\factor_pack"" | L15: $R1Top30 = Join-Path $OutDir ""V18_3D_R1_FACTOR_PACK_TOP30.md"" | L16: $R1OverlapMd = Join-Path $OutDir ""V18_3D_R1_FACTOR_PACK_OFFICIAL_OVERLAP.md"" | L18: $R1RankingCsv = Join-Path $OutDir ""V18_3D_RAW105_FACTOR_PACK_RANKING.csv""",LOW
D:\us-tech-quant\scripts\v18\run_v18_3E_daily_cockpit_wrapper.ps1,factor,factor_pack,path_or_report_consumer,NONE,"L73: (Join-Path $Root ""scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1"") | L78: $PackLog = Join-Path $OpsDir (""V18_3E_R2_step3_v18_3D_R2_factor_pack_"" + $Stamp + "".log"") | L105: (Join-Path $Root ""outputs\v18\factor_pack\V18_3D_R2_READ_FIRST.txt""), | L106: (Join-Path $Root ""outputs\v18\factor_pack\V18_CURRENT_FACTOR_PACK_OFFICIAL_OVERLAP.md""),",LOW
D:\us-tech-quant\scripts\v18\run_v18_4A_R1_daily_integrated_wrapper.ps1,factor,factor_pack,path_or_report_consumer,NONE,"L58: $PackOverlap = GetKey $TrackerText ""FACTOR_PACK_OVERLAP_NAMES"" | L99: (""FACTOR_PACK_OVERLAP_NAMES: "" + $PackOverlap),",LOW
D:\us-tech-quant\scripts\v18\run_v18_4B_R1_final_daily_wrapper.ps1,factor,factor_pack,path_or_report_consumer,NONE,"L63: $FactorPackOverlap = GetKey $AllText ""FACTOR_PACK_OVERLAP_NAMES"" | L108: (""FACTOR_PACK_OVERLAP_NAMES: "" + $FactorPackOverlap),",LOW
D:\us-tech-quant\scripts\v18\run_v18_4C_R2_stable_snapshot.ps1,factor,factor_pack,path_or_report_consumer,NONE,"L103: (Join-Path $Root ""outputs\v18\factor_pack""),",LOW
D:\us-tech-quant\scripts\v18\run_v18_4D_factor_pack_audit.ps1,factor,factor_pack,factor_wrapper_or_report,NONE,"L55: expected_role = ""shadow_factor_pack"" | L62: expected_role = ""shadow_factor_pack"" | L69: expected_role = ""shadow_factor_pack"" | L76: expected_role = ""shadow_factor_pack""",LOW
D:\us-tech-quant\scripts\v18\run_v18_4E_factor_output_forward_tracking_audit.ps1,factor,factor_pack,factor_wrapper_or_report,NONE,"L16: $FactorAuditScript = Join-Path $Root ""scripts\v18\run_v18_4D_factor_pack_audit.ps1"" | L318: $pathLower -like ""*factor_pack*"" -or | L371: if ($lower -like ""*factor_pack*"" -or $lower -like ""*factor_shadow*"" -or $lower -like ""*top*"" -or $lower -like ""*rank*"") { | L428: (Join-Path $Root ""outputs\v18\factor_pack""),",LOW
D:\us-tech-quant\scripts\v18\run_v18_4G_R1_final_daily_factor_audit_wrapper.ps1,factor,factor_pack,factor_wrapper_or_report,NONE,"L19: $V18_4D = Join-Path $V18 ""run_v18_4D_factor_pack_audit.ps1"" | L60: $log = Join-Path $LogDir ""step2_v18_4D_factor_pack_audit.log"" | L79: $FactorAuditMd = Join-Path $FactorAuditDir ""V18_4D_CURRENT_FACTOR_PACK_AUDIT.md"" | L196: $Read += ""FACTOR_PACK_AUDIT: $FactorAuditMd""",LOW
D:\us-tech-quant\scripts\v18\run_v18_4G_R2_stable_snapshot.ps1,factor,factor_pack,path_or_report_consumer,NONE,"L103: $ExtraCode += (Join-Path $Root ""scripts\v18\run_v18_4D_factor_pack_audit.ps1"") | L143: $OutputDirs += (Join-Path $Root ""outputs\v18\factor_pack"") | L181: $Critical += (Join-Path $Root ""scripts\v18\run_v18_4D_factor_pack_audit.ps1"") | L222: $ReadFiles += (Join-Path $Root ""outputs\v18\factor_audit\V18_4D_CURRENT_FACTOR_PACK_AUDIT.md"")",LOW
D:\us-tech-quant\scripts\v18\run_v18_4J_read_center_cleanup.ps1,factor,factor_pack,path_or_report_consumer,NONE,"L98: $FactorOverlap = Get-KV $OfficialText ""FACTOR_PACK_OVERLAP_NAMES"" | L150: $Lines += ""- FACTOR_PACK_OVERLAP_NAMES: $FactorOverlap""",LOW
D:\us-tech-quant\scripts\v18\run_v18_4K_R2_safe_delete_cleanup.ps1,factor,factor_pack,path_or_report_consumer,NONE,"L29: ""outputs\v18\factor_pack"",",LOW
D:\us-tech-quant\scripts\v18\run_v18_4K_workspace_cleanup.ps1,factor,factor_pack,path_or_report_consumer,NONE,"L38: $MustKeep += ""outputs\v18\factor_pack""",LOW
D:\us-tech-quant\scripts\v18\run_v18_5A_runtime_decoupling_audit.ps1,factor,factor_pack,path_or_report_consumer,NONE,"L34: ""V18_CURRENT_RAW105_FACTOR_PACK_RANKING"", | L35: ""V18_3D_RAW105_FACTOR_PACK_RANKING"",",LOW
D:\us-tech-quant\scripts\v18\run_v18_6A_technical_timing_shadow.ps1,technical,technical_timing,technical_wrapper_or_report,NONE,"L15: $py = Join-Path $Root ""scripts\v18\v18_6A_technical_timing_shadow.py""",LOW
D:\us-tech-quant\scripts\v18\run_v18_6B_R1_technical_timing_diagnostic_patch.ps1,technical,technical_timing,technical_wrapper_or_report,NONE,"L19: $py = Join-Path $Root ""scripts\v18\v18_6B_R1_technical_timing_diagnostic_patch.py""",LOW
D:\us-tech-quant\scripts\v18\run_v18_6B_technical_timing_backtest.ps1,technical,technical_timing,technical_wrapper_or_report,NONE,"L21: $py = Join-Path $Root ""scripts\v18\v18_6B_technical_timing_backtest.py""",LOW
D:\us-tech-quant\scripts\v18\run_v18_6C_R1_technical_timing_forward_tracker_freshness_guard.ps1,technical,technical_timing,technical_wrapper_or_report,NONE,"L20: $tech = Join-Path $Root ""scripts\v18\run_v18_6A_technical_timing_shadow.ps1"" | L30: $py = Join-Path $Root ""scripts\v18\v18_6C_R1_technical_timing_forward_tracker_freshness_guard.py""",LOW
D:\us-tech-quant\scripts\v18\run_v18_6C_technical_timing_forward_tracker.ps1,technical,technical_timing,technical_wrapper_or_report,NONE,"L16: $tech = Join-Path $Root ""scripts\v18\run_v18_6A_technical_timing_shadow.ps1"" | L25: $py = Join-Path $Root ""scripts\v18\v18_6C_technical_timing_forward_tracker.py""",LOW
D:\us-tech-quant\scripts\v18\run_v18_6D_technical_timing_read_center.ps1,technical,technical_timing,technical_wrapper_or_report,NONE,"L16: $freshGuard = Join-Path $Root ""scripts\v18\run_v18_6C_R1_technical_timing_forward_tracker_freshness_guard.ps1"" | L26: $py = Join-Path $Root ""scripts\v18\v18_6D_technical_timing_read_center.py""",LOW
D:\us-tech-quant\scripts\v18\run_v18_6E_final_read_center_with_technical.ps1,technical,technical_timing,technical_wrapper_or_report,NONE,"L29: $tech = Join-Path $Root ""scripts\v18\run_v18_6D_technical_timing_read_center.ps1""",LOW
D:\us-tech-quant\scripts\v18\run_v18_6E_R2_stable_snapshot.ps1,technical,benchmark;bollinger;kdj;rsi;technical_timing;vix,path_or_report_consumer,OPTIONAL_BENCHMARK_CONTEXT,"L85: ""outputs\v18\technical_timing"", | L86: ""outputs\v18\technical_timing_backtest"", | L87: ""outputs\v18\technical_timing_forward"", | L88: ""outputs\v18\technical_timing_read_center"",",MEDIUM
D:\us-tech-quant\scripts\v18\run_v18_6F_official_daily_with_technical.ps1,technical,technical_timing,technical_wrapper_or_report,NONE,"L18: $techReadCenter = Join-Path $Root ""scripts\v18\run_v18_6D_technical_timing_read_center.ps1""",LOW
D:\us-tech-quant\scripts\v18\run_v18_6F_R2_stable_snapshot.ps1,technical,benchmark;bollinger;factor_pack;kdj;rsi;technical_timing;vix,path_or_report_consumer,OPTIONAL_BENCHMARK_CONTEXT,"L88: ""outputs\v18\factor_pack"", | L89: ""outputs\v18\technical_timing"", | L90: ""outputs\v18\technical_timing_backtest"", | L91: ""outputs\v18\technical_timing_forward"",",MEDIUM
D:\us-tech-quant\scripts\v18\run_v18_7A_full_speed_profile.ps1,technical,technical_timing,path_or_report_consumer,NONE,"L147: -StepName ""V18.6A_TECHNICAL_TIMING_SHADOW_REFRESH"" ` | L148: -ScriptPath (Join-Path $ScriptDir ""run_v18_6A_technical_timing_shadow.ps1"") | L153: -ScriptPath (Join-Path $ScriptDir ""run_v18_6C_R1_technical_timing_forward_tracker_freshness_guard.ps1"") | L157: -StepName ""V18.6D_TECHNICAL_TIMING_READ_CENTER_FROM_CURRENT"" `",LOW
D:\us-tech-quant\scripts\v18\run_v18_7B_main_chain_audit_dedup_optimizer.ps1,factor,factor_pack,path_or_report_consumer,NONE,"L128: $V18_4D = Join-Path $ScriptDir ""run_v18_4D_factor_pack_audit.ps1"" | L157: -StepName ""V18.4D_FACTOR_PACK_AUDIT_REUSE_RUNTIME"" `",LOW
D:\us-tech-quant\scripts\v18\run_v18_7B_main_chain_linear_optimizer.ps1,technical,factor_pack;rsi,path_or_report_consumer,NONE,"L109: $V18_4D = Join-Path $ScriptDir ""run_v18_4D_factor_pack_audit.ps1"" | L120: Invoke-Step -StepOrder 3 -StepName ""V18.4D_FACTOR_PACK_AUDIT_REUSE_RUNTIME"" -ScriptPath $V18_4D -ArgList @(""-SkipRuntimeRefresh"") | L204: $Md.Add(""- It prevents V18.4J -> V18.4I -> V18.4G from recursively rerunning the full upstream stack."") | L206: $Md.Add(""- V18.4D and V18.4E still run normally in this simplified version."")",LOW
D:\us-tech-quant\scripts\v18\run_v18_7C_factor_output_forward_tracking_audit_fast.ps1,factor,factor_pack,factor_wrapper_or_report,NONE,"L187: (Join-Path $Root ""outputs\v18\factor_pack""), | L293: $pathLower -like ""*factor_pack*"" -or | L349: if ($lower -like ""*factor_pack*"" -or $lower -like ""*factor_shadow*"" -or $lower -like ""*top*"" -or $lower -like ""*rank*"") { | L405: (Join-Path $Root ""outputs\v18\factor_pack""),",LOW
D:\us-tech-quant\scripts\v18\run_v18_7D_official_daily_fast_main_with_technical.ps1,technical,regime;technical_timing;vix;vix_regime,technical_wrapper_or_report,OPTIONAL_BENCHMARK_CONTEXT,"L107: $TechA = Join-Path $ScriptDir ""run_v18_6A_technical_timing_shadow.ps1"" | L108: $TechC = Join-Path $ScriptDir ""run_v18_6C_R1_technical_timing_forward_tracker_freshness_guard.ps1"" | L109: $TechD = Join-Path $ScriptDir ""run_v18_6D_technical_timing_read_center.ps1"" | L113: Invoke-Step -StepOrder 2 -StepName ""V18.6A_TECHNICAL_TIMING_REFRESH"" -ScriptPath $TechA",MEDIUM
D:\us-tech-quant\scripts\v18\run_v18_8C_official_daily_fast_with_simulation.ps1,risk,regime;vix;vix_regime,path_or_report_consumer,OPTIONAL_BENCHMARK_CONTEXT,"L157: $VixRegime = Extract-Field -Text $AllStatusText -Field ""VIX_REGIME"" | L182: VixRegime = $VixRegime | L200: $Report += ('- VIX_REGIME: `{0}`' -f $VixRegime) | L251: $RF += ('VIX_REGIME: {0}' -f $VixRegime)",MEDIUM
D:\us-tech-quant\scripts\v18\run_v18_8E_R1_stable_snapshot.ps1,technical,factor_pack;technical_timing,path_or_report_consumer,NONE,"L37: ""outputs\v18\factor_pack"", | L38: ""outputs\v18\technical_timing"", | L39: ""outputs\v18\technical_timing_read_center"", | L40: ""outputs\v18\technical_timing_backtest"",",LOW
D:\us-tech-quant\scripts\v18\run_v18_8E_R2_stable_snapshot.ps1,technical,factor_pack;technical_timing,path_or_report_consumer,NONE,"L37: ""outputs\v18\factor_pack"", | L38: ""outputs\v18\technical_timing"", | L39: ""outputs\v18\technical_timing_read_center"", | L40: ""outputs\v18\technical_timing_backtest"",",LOW
D:\us-tech-quant\scripts\v18\run_v18_8E_R3_stable_snapshot.ps1,technical,factor_pack;technical_timing,path_or_report_consumer,NONE,"L37: ""outputs\v18\factor_pack"", | L38: ""outputs\v18\technical_timing"", | L39: ""outputs\v18\technical_timing_read_center"", | L40: ""outputs\v18\technical_timing_backtest"",",LOW
D:\us-tech-quant\scripts\v18\run_v18_9C_official_daily_with_sim_validation.ps1,risk,regime;vix;vix_regime,path_or_report_consumer,OPTIONAL_BENCHMARK_CONTEXT,"L216: $VixRegime = Extract-Field -Text $AllText -Field ""VIX_REGIME"" | L255: VixRegime = $VixRegime | L282: $Report += ('- VIX_REGIME: `{0}`' -f $VixRegime) | L355: $RF += ('VIX_REGIME: {0}' -f $VixRegime)",MEDIUM
D:\us-tech-quant\scripts\v18\run_v18_current_shadow_research_daily.ps1,risk,regime;vix;vix_regime,path_or_report_consumer,OPTIONAL_BENCHMARK_CONTEXT,"L105: $VixRegime = Get-ReadFirstValue $SourceReadFirst ""VIX_REGIME:"" | L146: ""VIX_REGIME:"", | L147: $VixRegime, | L201: ""- VIX_REGIME: "" + $VixRegime,",MEDIUM
D:\us-tech-quant\scripts\v18\v18_10A_factor_registry_coverage_audit.py,technical,bb;benchmark;bollinger;factor_pack;kdj;overheat_penalty;qqq;regime;rsi;technical_timing;vix;vix_regime,path_or_report_consumer,OPTIONAL_BENCHMARK_CONTEXT,"L60: root / ""state/v18/V18_6C_CURRENT_TECHNICAL_TIMING_FORWARD_TRACKER.csv"", | L61: root / ""outputs/v18/technical_timing_forward/V18_6C_R1_CURRENT_STALE_PRICE_AUDIT.csv"", | L70: ""outputs/v18/technical_timing/*.csv"", | L71: ""outputs/v18/technical_timing_forward/*.csv"",",MEDIUM
D:\us-tech-quant\scripts\v18\v18_10A_R2_factor_daily_capture_patch.py,technical,benchmark;qqq;rsi,path_or_report_consumer,OPTIONAL_BENCHMARK_CONTEXT,"L130: def detect_existing_benchmark_cols(fields: List[str]) -> Dict[int, Optional[str]]: | L132: 20: find_col(fields, [""benchmark_return_20d"", ""bench_return_20d"", ""benchmark_ret_20d"", ""qqq_return_20d"", ""qqq_ret_20d""]), | L133: 60: find_col(fields, [""benchmark_return_60d"", ""bench_return_60d"", ""benchmark_ret_60d"", ""qqq_return_60d"", ""qqq_ret_60d""]), | L134: 120: find_col(fields, [""benchmark_return_120d"", ""bench_return_120d"", ""benchmark_ret_120d"", ""qqq_return_120d"", ""qqq_ret_120d""]),",MEDIUM
D:\us-tech-quant\scripts\v18\v18_10B_factor_effectiveness_backtest.py,factor,overheat_penalty,path_or_report_consumer,NONE,"L290: if nc.endswith(""_score"") or nc in (""execution_fit"", ""relative_strength_score"", ""volatility_penalty"", ""overheat_penalty""):",LOW
D:\us-tech-quant\scripts\v18\v18_10C_weight_research_engine.py,unknown,overheat_penalty,path_or_report_consumer,NONE,"L250: ""overheat_penalty"", | L278: ""overheat_penalty"", | L311: ""overheat_penalty"": 0.18, | L324: ""overheat_penalty"": 0.06,",LOW
D:\us-tech-quant\scripts\v18\v18_11F_R1_stable_snapshot.py,technical,technical_timing,path_or_report_consumer,NONE,"L366: root / ""state/v18/V18_6C_CURRENT_TECHNICAL_TIMING_FORWARD_TRACKER.csv"",",LOW
D:\us-tech-quant\scripts\v18\v18_12A_sell_timing_shadow_engine.py,technical,bb;kdj;rsi,path_or_report_consumer,NONE,"L432: elif any(label in technical_blob for label in (""OVERHEAT_UNCLASSIFIED"", ""BB_ABOVE_UPPER"", ""RSI_OVERHEAT"", ""KDJ_OVERHEAT"")):",LOW
D:\us-tech-quant\scripts\v18\v18_12B_sell_timing_technical_label_integration.py,technical,bb;technical_timing;vix,path_or_report_consumer,NONE,"L64: ""bb_squeeze_flag"", | L110: ""BB_SQUEEZE"", | L195: root / ""outputs/v18/technical_timing"", | L234: if ""BB_SQUEEZE"" in blob or ""SQUEEZE"" in blob:",LOW
D:\us-tech-quant\scripts\v18\v18_12D_exit_signal_forward_validation.py,technical,rsi;technical_timing,path_or_report_consumer,NONE,"L6: future horizons. The module maintains a persistent tracker, copies it to | L170: root / ""outputs/v18/technical_timing"",",LOW
D:\us-tech-quant\scripts\v18\v18_12D_R1_stable_snapshot.py,technical,rsi,path_or_report_consumer,NONE,"L333: Copies the V18.12D validation engine, wrapper, READ_FIRST, report, validation CSV, input audit CSV, and persistent/output tracker files. | L484: The snapshot contains only V18.12D exit signal forward validation files, generated V18.12D outputs, persistent/output trackers, README, manifest, validation checks, and restore too",LOW
D:\us-tech-quant\scripts\v18\v18_12G_sell_timing_cleanup_audit.py,technical,rsi,path_or_report_consumer,NONE,"L23: ""version_key"", | L34: VERSION_KEYS = [ | L107: version_key: str, | L119: ""version_key"": version_key,",LOW
