ticker,rank,primary_theme_before,primary_theme_after,company_name_before,company_name_after,manual_review_required_before,manual_review_required_after,updated,update_reason
RVMD,17,HEALTHCARE,HEALTHCARE,Revolution Medicines Inc.,Revolution Medicines Inc.,FALSE,FALSE,TRUE,notes
XYZ,18,FINTECH,FINTECH,Block Inc.,Block Inc.,FALSE,FALSE,TRUE,notes
WULF,19,CRYPTO_BETA,CRYPTO_BETA,TeraWulf Inc.,TeraWulf Inc.,FALSE,FALSE,TRUE,notes
QSR,20,CONSUMER,CONSUMER,Restaurant Brands International Inc.,Restaurant Brands International Inc.,FALSE,FALSE,TRUE,notes
XENE,21,HEALTHCARE,HEALTHCARE,Xenon Pharmaceuticals Inc.,Xenon Pharmaceuticals Inc.,FALSE,FALSE,TRUE,notes
TWST,22,HEALTHCARE,HEALTHCARE,Twist Bioscience Corporation,Twist Bioscience Corporation,FALSE,FALSE,TRUE,notes
RIOT,23,CRYPTO_BETA,CRYPTO_BETA,Riot Platforms Inc.,Riot Platforms Inc.,FALSE,FALSE,TRUE,notes
ROKU,24,INTERNET_PLATFORM,INTERNET_PLATFORM,Roku Inc.,Roku Inc.,FALSE,FALSE,TRUE,notes
UNH,25,HEALTHCARE,HEALTHCARE,UnitedHealth Group Incorporated,UnitedHealth Group Incorporated,FALSE,FALSE,TRUE,notes
VIST,26,ENERGY,ENERGY,Vista Energy S.A.B. de C.V.,Vista Energy S.A.B. de C.V.,FALSE,FALSE,TRUE,notes
DBVT,27,HEALTHCARE,HEALTHCARE,DBV Technologies S.A.,DBV Technologies S.A.,FALSE,FALSE,TRUE,notes
XPO,28,TRANSPORTATION,TRANSPORTATION,XPO Inc.,XPO Inc.,FALSE,FALSE,TRUE,notes
WLK,29,INDUSTRIAL,INDUSTRIAL,Westlake Corporation,Westlake Corporation,FALSE,FALSE,TRUE,notes
PTON,30,CONSUMER,CONSUMER,Peloton Interactive Inc.,Peloton Interactive Inc.,FALSE,FALSE,TRUE,notes
PCT,31,INDUSTRIAL,INDUSTRIAL,PureCycle Technologies Inc.,PureCycle Technologies Inc.,FALSE,FALSE,TRUE,notes
UPST,32,FINTECH,FINTECH,Upstart Holdings Inc.,Upstart Holdings Inc.,FALSE,FALSE,TRUE,notes
CVNA,33,ECOMMERCE,ECOMMERCE,Carvana Co.,Carvana Co.,FALSE,FALSE,TRUE,notes
BLTE,34,UNKNOWN,UNKNOWN,,,TRUE,TRUE,FALSE,
BYND,35,CONSUMER,CONSUMER,Beyond Meat Inc.,Beyond Meat Inc.,FALSE,FALSE,TRUE,notes
RNG,36,SOFTWARE,SOFTWARE,RingCentral Inc.,RingCentral Inc.,FALSE,FALSE,TRUE,notes
PTGX,37,HEALTHCARE,HEALTHCARE,Protagonist Therapeutics Inc.,Protagonist Therapeutics Inc.,FALSE,FALSE,TRUE,notes
USFD,38,CONSUMER,CONSUMER,US Foods Holding Corp.,US Foods Holding Corp.,FALSE,FALSE,TRUE,notes
SFIX,39,ECOMMERCE,ECOMMERCE,Stitch Fix Inc.,Stitch Fix Inc.,FALSE,FALSE,TRUE,notes
WAB,40,TRANSPORTATION,TRANSPORTATION,Westinghouse Air Brake Technologies Corporation,Westinghouse Air Brake Technologies Corporation,FALSE,FALSE,TRUE,notes
SNPS,41,SOFTWARE,SOFTWARE,Synopsys Inc.,Synopsys Inc.,FALSE,FALSE,TRUE,notes
VMC,42,INDUSTRIAL,INDUSTRIAL,Vulcan Materials Company,Vulcan Materials Company,FALSE,FALSE,TRUE,notes
PYPL,43,FINTECH,FINTECH,PayPal Holdings Inc.,PayPal Holdings Inc.,FALSE,FALSE,TRUE,notes
SHW,44,CONSUMER,CONSUMER,Sherwin-Williams Company,Sherwin-Williams Company,FALSE,FALSE,TRUE,notes
RDDT,45,INTERNET_PLATFORM,INTERNET_PLATFORM,Reddit Inc.,Reddit Inc.,FALSE,FALSE,TRUE,notes
TEVA,46,UNKNOWN,UNKNOWN,,,TRUE,TRUE,FALSE,
SFM,47,CONSUMER,CONSUMER,Sprouts Farmers Market Inc.,Sprouts Farmers Market Inc.,FALSE,FALSE,TRUE,notes
WWD,48,INDUSTRIAL,INDUSTRIAL,Woodward Inc.,Woodward Inc.,FALSE,FALSE,TRUE,notes
ECL,49,INDUSTRIAL,INDUSTRIAL,Ecolab Inc.,Ecolab Inc.,FALSE,FALSE,TRUE,notes
UBER,50,TRANSPORTATION,TRANSPORTATION,Uber Technologies Inc.,Uber Technologies Inc.,FALSE,FALSE,TRUE,notes
PINS,51,INTERNET_PLATFORM,INTERNET_PLATFORM,Pinterest Inc.,Pinterest Inc.,FALSE,FALSE,TRUE,notes
VEEV,52,SOFTWARE,SOFTWARE,Veeva Systems Inc.,Veeva Systems Inc.,FALSE,FALSE,TRUE,notes
COGT,53,UNKNOWN,UNKNOWN,,,TRUE,TRUE,FALSE,
PCOR,54,SOFTWARE,SOFTWARE,Procore Technologies Inc.,Procore Technologies Inc.,FALSE,FALSE,TRUE,notes
QS,55,ENERGY,ENERGY,QuantumScape Corporation,QuantumScape Corporation,FALSE,FALSE,TRUE,notes
PI,56,SEMICONDUCTOR,SEMICONDUCTOR,Impinj Inc.,Impinj Inc.,FALSE,FALSE,TRUE,notes
NVAX,57,HEALTHCARE,HEALTHCARE,Novavax Inc.,Novavax Inc.,FALSE,FALSE,TRUE,notes
TTD,58,SOFTWARE,SOFTWARE,The Trade Desk Inc.,The Trade Desk Inc.,FALSE,FALSE,TRUE,notes
YPF,59,ENERGY,ENERGY,YPF Sociedad Anonima,YPF Sociedad Anonima,FALSE,FALSE,TRUE,notes
PDD,60,ECOMMERCE,ECOMMERCE,PDD Holdings Inc.,PDD Holdings Inc.,FALSE,FALSE,TRUE,notes
PFGC,61,CONSUMER,CONSUMER,Performance Food Group Company,Performance Food Group Company,FALSE,FALSE,TRUE,notes
ZG,62,INTERNET_PLATFORM,INTERNET_PLATFORM,Zillow Group Inc.,Zillow Group Inc.,FALSE,FALSE,TRUE,notes
RSP,63,UNKNOWN,UNKNOWN,,,TRUE,TRUE,FALSE,
Z,64,INTERNET_PLATFORM,INTERNET_PLATFORM,Zillow Group Inc.,Zillow Group Inc.,FALSE,FALSE,TRUE,notes
FCNCA,65,FINTECH,FINTECH,First Citizens BancShares Inc.,First Citizens BancShares Inc.,FALSE,FALSE,TRUE,notes
AMC,66,CONSUMER,CONSUMER,AMC Entertainment Holdings Inc.,AMC Entertainment Holdings Inc.,FALSE,FALSE,TRUE,notes
V,67,FINTECH,FINTECH,Visa Inc.,Visa Inc.,FALSE,FALSE,TRUE,notes
TIGR,68,FINTECH,FINTECH,UP Fintech Holding Limited,UP Fintech Holding Limited,FALSE,FALSE,TRUE,notes
XLF,69,FINTECH,FINTECH,Financial Select Sector SPDR Fund,Financial Select Sector SPDR Fund,FALSE,FALSE,TRUE,notes
SCCO,70,INDUSTRIAL,INDUSTRIAL,Southern Copper Corporation,Southern Copper Corporation,FALSE,FALSE,TRUE,notes
INSM,71,UNKNOWN,UNKNOWN,,,TRUE,TRUE,FALSE,
TTWO,72,CONSUMER,CONSUMER,Take-Two Interactive Software Inc.,Take-Two Interactive Software Inc.,FALSE,FALSE,TRUE,notes
SCHW,73,FINTECH,FINTECH,Charles Schwab Corporation,Charles Schwab Corporation,FALSE,FALSE,TRUE,notes
SHOP,74,ECOMMERCE,ECOMMERCE,Shopify Inc.,Shopify Inc.,FALSE,FALSE,TRUE,notes
TLN,75,POWER_INFRASTRUCTURE,POWER_INFRASTRUCTURE,Talen Energy Corporation,Talen Energy Corporation,FALSE,FALSE,TRUE,notes
HUBB,76,POWER_INFRASTRUCTURE,POWER_INFRASTRUCTURE,Hubbell Incorporated,Hubbell Incorporated,FALSE,FALSE,TRUE,notes
RTX,77,INDUSTRIAL,INDUSTRIAL,RTX Corporation,RTX Corporation,FALSE,FALSE,TRUE,notes
TEAM,78,SOFTWARE,SOFTWARE,Atlassian Corporation,Atlassian Corporation,FALSE,FALSE,TRUE,notes
PM,79,DEFENSIVE,DEFENSIVE,Philip Morris International Inc.,Philip Morris International Inc.,FALSE,FALSE,TRUE,notes
WVE,80,UNKNOWN,UNKNOWN,,,TRUE,TRUE,FALSE,
RKT,81,FINTECH,FINTECH,Rocket Companies Inc.,Rocket Companies Inc.,FALSE,FALSE,TRUE,notes
WHR,82,CONSUMER,CONSUMER,Whirlpool Corporation,Whirlpool Corporation,FALSE,FALSE,TRUE,notes
UAL,83,TRANSPORTATION,TRANSPORTATION,United Airlines Holdings Inc.,United Airlines Holdings Inc.,FALSE,FALSE,TRUE,notes
PSIX,84,UNKNOWN,UNKNOWN,,,TRUE,TRUE,FALSE,
PATH,85,SOFTWARE,SOFTWARE,UiPath Inc.,UiPath Inc.,FALSE,FALSE,TRUE,notes
HOOD,86,FINTECH,FINTECH,Robinhood Markets Inc.,Robinhood Markets Inc.,FALSE,FALSE,TRUE,notes
PGNY,87,HEALTHCARE,HEALTHCARE,Progyny Inc.,Progyny Inc.,FALSE,FALSE,TRUE,notes
WDAY,88,SOFTWARE,SOFTWARE,Workday Inc.,Workday Inc.,FALSE,FALSE,TRUE,notes
SE,89,INTERNET_PLATFORM,INTERNET_PLATFORM,Sea Limited,Sea Limited,FALSE,FALSE,TRUE,notes
OKTA,90,CYBERSECURITY,CYBERSECURITY,Okta Inc.,Okta Inc.,FALSE,FALSE,TRUE,notes
RERE,91,UNKNOWN,UNKNOWN,,,TRUE,TRUE,FALSE,
RH,92,CONSUMER,CONSUMER,RH,RH,FALSE,FALSE,TRUE,notes
WING,93,CONSUMER,CONSUMER,Wingstop Inc.,Wingstop Inc.,FALSE,FALSE,TRUE,notes
OPCH,94,HEALTHCARE,HEALTHCARE,Option Care Health Inc.,Option Care Health Inc.,FALSE,FALSE,TRUE,notes
STG,95,UNKNOWN,UNKNOWN,,,TRUE,TRUE,FALSE,
RBLX,96,UNKNOWN,UNKNOWN,,,TRUE,TRUE,FALSE,
SPOT,97,INTERNET_PLATFORM,INTERNET_PLATFORM,Spotify Technology S.A.,Spotify Technology S.A.,FALSE,FALSE,TRUE,notes
OLMA,98,UNKNOWN,UNKNOWN,,,TRUE,TRUE,FALSE,
VST,99,POWER_INFRASTRUCTURE,POWER_INFRASTRUCTURE,Vistra Corp.,Vistra Corp.,FALSE,FALSE,TRUE,notes
ETR,100,DEFENSIVE,DEFENSIVE,Entergy Corporation,Entergy Corporation,FALSE,FALSE,TRUE,notes
APH,101,ELECTRONICS_SUPPLY_CHAIN,ELECTRONICS_SUPPLY_CHAIN,Amphenol Corporation,Amphenol Corporation,FALSE,FALSE,TRUE,notes
META,102,INTERNET_PLATFORM,INTERNET_PLATFORM,Meta Platforms Inc.,Meta Platforms Inc.,FALSE,FALSE,TRUE,notes
ACM,103,INDUSTRIAL,INDUSTRIAL,AECOM,AECOM,FALSE,FALSE,TRUE,notes
BALL,104,CONSUMER,CONSUMER,Ball Corporation,Ball Corporation,FALSE,FALSE,TRUE,notes
SPY,105,DEFENSIVE,DEFENSIVE,SPDR S&P 500 ETF Trust,SPDR S&P 500 ETF Trust,FALSE,FALSE,TRUE,notes
NU,106,FINTECH,FINTECH,Nu Holdings Ltd.,Nu Holdings Ltd.,FALSE,FALSE,TRUE,notes
MSFT,107,SOFTWARE,SOFTWARE,Microsoft Corporation,Microsoft Corporation,FALSE,FALSE,TRUE,notes
MCK,108,HEALTHCARE,HEALTHCARE,McKesson Corporation,McKesson Corporation,FALSE,FALSE,TRUE,notes
ETN,109,POWER_INFRASTRUCTURE,POWER_INFRASTRUCTURE,Eaton Corporation plc,Eaton Corporation plc,FALSE,FALSE,TRUE,notes
TSLA,110,CONSUMER,CONSUMER,Tesla Inc.,Tesla Inc.,FALSE,FALSE,TRUE,notes
MKSI,111,SEMICONDUCTOR_EQUIPMENT,SEMICONDUCTOR_EQUIPMENT,MKS Instruments Inc.,MKS Instruments Inc.,FALSE,FALSE,TRUE,notes
ARGT,112,UNKNOWN,UNKNOWN,,,TRUE,TRUE,FALSE,
APG,113,UNKNOWN,UNKNOWN,,,TRUE,TRUE,FALSE,
QQQ,114,SOFTWARE,SOFTWARE,Invesco QQQ Trust,Invesco QQQ Trust,FALSE,FALSE,TRUE,notes
ASML,115,SEMICONDUCTOR_EQUIPMENT,SEMICONDUCTOR_EQUIPMENT,ASML Holding N.V.,ASML Holding N.V.,FALSE,FALSE,TRUE,notes
BAC,116,FINTECH,FINTECH,Bank of America Corporation,Bank of America Corporation,FALSE,FALSE,TRUE,notes
NI,117,DEFENSIVE,DEFENSIVE,NiSource Inc.,NiSource Inc.,FALSE,FALSE,TRUE,notes
LYFT,118,TRANSPORTATION,TRANSPORTATION,Lyft Inc.,Lyft Inc.,FALSE,FALSE,TRUE,notes
CEG,119,POWER_INFRASTRUCTURE,POWER_INFRASTRUCTURE,Constellation Energy Corporation,Constellation Energy Corporation,FALSE,FALSE,TRUE,notes
MPLX,120,ENERGY,ENERGY,MPLX LP,MPLX LP,FALSE,FALSE,TRUE,notes
IGV,121,SOFTWARE,SOFTWARE,iShares Expanded Tech-Software Sector ETF,iShares Expanded Tech-Software Sector ETF,FALSE,FALSE,TRUE,notes
ENTG,122,SEMICONDUCTOR_EQUIPMENT,SEMICONDUCTOR_EQUIPMENT,Entegris Inc.,Entegris Inc.,FALSE,FALSE,TRUE,notes
XLK,123,SOFTWARE,SOFTWARE,Technology Select Sector SPDR Fund,Technology Select Sector SPDR Fund,FALSE,FALSE,TRUE,notes
BKNG,124,INTERNET_PLATFORM,INTERNET_PLATFORM,Booking Holdings Inc.,Booking Holdings Inc.,FALSE,FALSE,TRUE,notes
CRM,125,SOFTWARE,SOFTWARE,Salesforce Inc.,Salesforce Inc.,FALSE,FALSE,TRUE,notes
PLTR,126,SOFTWARE,SOFTWARE,Palantir Technologies Inc.,Palantir Technologies Inc.,FALSE,FALSE,TRUE,notes
LPLA,127,FINTECH,FINTECH,LPL Financial Holdings Inc.,LPL Financial Holdings Inc.,FALSE,FALSE,TRUE,notes
IYW,128,SOFTWARE,SOFTWARE,iShares U.S. Technology ETF,iShares U.S. Technology ETF,FALSE,FALSE,TRUE,notes
OC,129,INDUSTRIAL,INDUSTRIAL,Owens Corning,Owens Corning,FALSE,FALSE,TRUE,notes
TSM,130,SEMICONDUCTOR,SEMICONDUCTOR,Taiwan Semiconductor Manufacturing Company Limited,Taiwan Semiconductor Manufacturing Company Limited,FALSE,FALSE,TRUE,notes
AMAT,131,SEMICONDUCTOR_EQUIPMENT,SEMICONDUCTOR_EQUIPMENT,Applied Materials Inc.,Applied Materials Inc.,FALSE,FALSE,TRUE,notes
D,132,DEFENSIVE,DEFENSIVE,Dominion Energy Inc.,Dominion Energy Inc.,FALSE,FALSE,TRUE,notes
CARR,133,INDUSTRIAL,INDUSTRIAL,Carrier Global Corporation,Carrier Global Corporation,FALSE,FALSE,TRUE,notes
KEYS,134,SEMICONDUCTOR_EQUIPMENT,SEMICONDUCTOR_EQUIPMENT,Keysight Technologies Inc.,Keysight Technologies Inc.,FALSE,FALSE,TRUE,notes
AMZN,135,ECOMMERCE,ECOMMERCE,Amazon.com Inc.,Amazon.com Inc.,FALSE,FALSE,TRUE,notes
CMG,136,CONSUMER,CONSUMER,Chipotle Mexican Grill Inc.,Chipotle Mexican Grill Inc.,FALSE,FALSE,TRUE,notes
LRCX,137,SEMICONDUCTOR_EQUIPMENT,SEMICONDUCTOR_EQUIPMENT,Lam Research Corporation,Lam Research Corporation,FALSE,FALSE,TRUE,notes
MA,138,FINTECH,FINTECH,Mastercard Incorporated,Mastercard Incorporated,FALSE,FALSE,TRUE,notes
MOD,139,POWER_INFRASTRUCTURE,POWER_INFRASTRUCTURE,Modine Manufacturing Company,Modine Manufacturing Company,FALSE,FALSE,TRUE,notes
BSX,140,HEALTHCARE,HEALTHCARE,Boston Scientific Corporation,Boston Scientific Corporation,FALSE,FALSE,TRUE,notes
AAPL,141,CONSUMER,CONSUMER,Apple Inc.,Apple Inc.,FALSE,FALSE,TRUE,notes
KLAC,142,SEMICONDUCTOR_EQUIPMENT,SEMICONDUCTOR_EQUIPMENT,KLA Corporation,KLA Corporation,FALSE,FALSE,TRUE,notes
SMH,143,SEMICONDUCTOR,SEMICONDUCTOR,VanEck Semiconductor ETF,VanEck Semiconductor ETF,FALSE,FALSE,TRUE,notes
MPWR,144,SEMICONDUCTOR,SEMICONDUCTOR,Monolithic Power Systems Inc.,Monolithic Power Systems Inc.,FALSE,FALSE,TRUE,notes
JBL,145,ELECTRONICS_SUPPLY_CHAIN,ELECTRONICS_SUPPLY_CHAIN,Jabil Inc.,Jabil Inc.,FALSE,FALSE,TRUE,notes
NTAP,146,DATA_INFRASTRUCTURE,DATA_INFRASTRUCTURE,NetApp Inc.,NetApp Inc.,FALSE,FALSE,TRUE,notes
FIX,147,POWER_INFRASTRUCTURE,POWER_INFRASTRUCTURE,Comfort Systems USA Inc.,Comfort Systems USA Inc.,FALSE,FALSE,TRUE,notes
NFLX,148,INTERNET_PLATFORM,INTERNET_PLATFORM,Netflix Inc.,Netflix Inc.,FALSE,FALSE,TRUE,notes
CAMT,149,SEMICONDUCTOR_EQUIPMENT,SEMICONDUCTOR_EQUIPMENT,Camtek Ltd.,Camtek Ltd.,FALSE,FALSE,TRUE,notes
FLR,150,INDUSTRIAL,INDUSTRIAL,Fluor Corporation,Fluor Corporation,FALSE,FALSE,TRUE,notes
NVDA,151,AI_INFRASTRUCTURE,AI_INFRASTRUCTURE,NVIDIA Corporation,NVIDIA Corporation,FALSE,FALSE,TRUE,notes
ANET,152,DATA_INFRASTRUCTURE,DATA_INFRASTRUCTURE,Arista Networks Inc.,Arista Networks Inc.,FALSE,FALSE,TRUE,notes
AVGO,153,SEMICONDUCTOR,SEMICONDUCTOR,Broadcom Inc.,Broadcom Inc.,FALSE,FALSE,TRUE,notes
NRG,154,POWER_INFRASTRUCTURE,POWER_INFRASTRUCTURE,NRG Energy Inc.,NRG Energy Inc.,FALSE,FALSE,TRUE,notes
AEIS,155,SEMICONDUCTOR_EQUIPMENT,SEMICONDUCTOR_EQUIPMENT,Advanced Energy Industries Inc.,Advanced Energy Industries Inc.,FALSE,FALSE,TRUE,notes
BN,156,FINTECH,FINTECH,Brookfield Corporation,Brookfield Corporation,FALSE,FALSE,TRUE,notes
CLH,157,INDUSTRIAL,INDUSTRIAL,Clean Harbors Inc.,Clean Harbors Inc.,FALSE,FALSE,TRUE,notes
SOXX,158,SEMICONDUCTOR,SEMICONDUCTOR,iShares Semiconductor ETF,iShares Semiconductor ETF,FALSE,FALSE,TRUE,notes
GEV,159,POWER_INFRASTRUCTURE,POWER_INFRASTRUCTURE,GE Vernova Inc.,GE Vernova Inc.,FALSE,FALSE,TRUE,notes
CHPT,160,POWER_INFRASTRUCTURE,POWER_INFRASTRUCTURE,ChargePoint Holdings Inc.,ChargePoint Holdings Inc.,FALSE,FALSE,TRUE,notes
LYB,161,INDUSTRIAL,INDUSTRIAL,LyondellBasell Industries N.V.,LyondellBasell Industries N.V.,FALSE,FALSE,TRUE,notes
TER,162,SEMICONDUCTOR_EQUIPMENT,SEMICONDUCTOR_EQUIPMENT,Teradyne Inc.,Teradyne Inc.,FALSE,FALSE,TRUE,notes
FORM,163,SEMICONDUCTOR_EQUIPMENT,SEMICONDUCTOR_EQUIPMENT,FormFactor Inc.,FormFactor Inc.,FALSE,FALSE,TRUE,notes
APO,164,FINTECH,FINTECH,Apollo Global Management Inc.,Apollo Global Management Inc.,FALSE,FALSE,TRUE,notes
KLIC,165,SEMICONDUCTOR_EQUIPMENT,SEMICONDUCTOR_EQUIPMENT,Kulicke and Soffa Industries Inc.,Kulicke and Soffa Industries Inc.,FALSE,FALSE,TRUE,notes
AA,166,INDUSTRIAL,INDUSTRIAL,Alcoa Corporation,Alcoa Corporation,FALSE,FALSE,TRUE,notes
MCHP,167,SEMICONDUCTOR,SEMICONDUCTOR,Microchip Technology Inc.,Microchip Technology Inc.,FALSE,FALSE,TRUE,notes
ADBE,168,SOFTWARE,SOFTWARE,Adobe Inc.,Adobe Inc.,FALSE,FALSE,TRUE,notes
BABA,169,ECOMMERCE,ECOMMERCE,Alibaba Group Holding Limited,Alibaba Group Holding Limited,FALSE,FALSE,TRUE,notes
CRWV,170,AI_INFRASTRUCTURE,AI_INFRASTRUCTURE,CoreWeave Inc.,CoreWeave Inc.,FALSE,FALSE,TRUE,notes
CLS,171,AI_INFRASTRUCTURE,AI_INFRASTRUCTURE,Celestica Inc.,Celestica Inc.,FALSE,FALSE,TRUE,notes
COHU,172,SEMICONDUCTOR_EQUIPMENT,SEMICONDUCTOR_EQUIPMENT,Cohu Inc.,Cohu Inc.,FALSE,FALSE,TRUE,notes
GOOGL,173,INTERNET_PLATFORM,INTERNET_PLATFORM,Alphabet Inc.,Alphabet Inc.,FALSE,FALSE,TRUE,notes
ORCL,174,SOFTWARE,SOFTWARE,Oracle Corporation,Oracle Corporation,FALSE,FALSE,TRUE,notes
SNOW,175,SOFTWARE,SOFTWARE,Snowflake Inc.,Snowflake Inc.,FALSE,FALSE,TRUE,notes
CHRW,176,TRANSPORTATION,TRANSPORTATION,C.H. Robinson Worldwide Inc.,C.H. Robinson Worldwide Inc.,FALSE,FALSE,TRUE,notes
MELI,177,ECOMMERCE,ECOMMERCE,MercadoLibre Inc.,MercadoLibre Inc.,FALSE,FALSE,TRUE,notes
AMKR,178,SEMICONDUCTOR,SEMICONDUCTOR,Amkor Technology Inc.,Amkor Technology Inc.,FALSE,FALSE,TRUE,notes
NVT,179,POWER_INFRASTRUCTURE,POWER_INFRASTRUCTURE,nVent Electric plc,nVent Electric plc,FALSE,FALSE,TRUE,notes
ICHR,180,SEMICONDUCTOR_EQUIPMENT,SEMICONDUCTOR_EQUIPMENT,Ichor Holdings Ltd.,Ichor Holdings Ltd.,FALSE,FALSE,TRUE,notes
ADSK,181,SOFTWARE,SOFTWARE,Autodesk Inc.,Autodesk Inc.,FALSE,FALSE,TRUE,notes
ADMA,182,HEALTHCARE,HEALTHCARE,ADMA Biologics Inc.,ADMA Biologics Inc.,FALSE,FALSE,TRUE,notes
HPE,183,AI_INFRASTRUCTURE,AI_INFRASTRUCTURE,Hewlett Packard Enterprise Co.,Hewlett Packard Enterprise Co.,FALSE,FALSE,TRUE,notes
PSTG,184,DATA_INFRASTRUCTURE,DATA_INFRASTRUCTURE,Pure Storage Inc.,Pure Storage Inc.,FALSE,FALSE,TRUE,notes
TQQQ,185,SOFTWARE,SOFTWARE,ProShares UltraPro QQQ,ProShares UltraPro QQQ,FALSE,FALSE,TRUE,notes
ABR,186,OTHER,OTHER,Arbor Realty Trust Inc.,Arbor Realty Trust Inc.,FALSE,FALSE,TRUE,notes
CDNS,187,SOFTWARE,SOFTWARE,Cadence Design Systems Inc.,Cadence Design Systems Inc.,FALSE,FALSE,TRUE,notes
CRDO,188,AI_INFRASTRUCTURE,AI_INFRASTRUCTURE,Credo Technology Group Holding Ltd.,Credo Technology Group Holding Ltd.,FALSE,FALSE,TRUE,notes
NOW,189,SOFTWARE,SOFTWARE,ServiceNow Inc.,ServiceNow Inc.,FALSE,FALSE,TRUE,notes
NUVB,190,HEALTHCARE,HEALTHCARE,Nuvation Bio Inc.,Nuvation Bio Inc.,FALSE,FALSE,TRUE,notes
VRT,191,AI_INFRASTRUCTURE,AI_INFRASTRUCTURE,Vertiv Holdings Co.,Vertiv Holdings Co.,FALSE,FALSE,TRUE,notes
WDC,192,DATA_INFRASTRUCTURE,DATA_INFRASTRUCTURE,Western Digital Corporation,Western Digital Corporation,FALSE,FALSE,TRUE,notes
GLW,193,ELECTRONICS_SUPPLY_CHAIN,ELECTRONICS_SUPPLY_CHAIN,Corning Incorporated,Corning Incorporated,FALSE,FALSE,TRUE,notes
AXON,194,SOFTWARE,SOFTWARE,Axon Enterprise Inc.,Axon Enterprise Inc.,FALSE,FALSE,TRUE,notes
POWL,195,POWER_INFRASTRUCTURE,POWER_INFRASTRUCTURE,Powell Industries Inc.,Powell Industries Inc.,FALSE,FALSE,TRUE,notes
LITE,196,DATA_INFRASTRUCTURE,DATA_INFRASTRUCTURE,Lumentum Holdings Inc.,Lumentum Holdings Inc.,FALSE,FALSE,TRUE,notes
GNRC,197,POWER_INFRASTRUCTURE,POWER_INFRASTRUCTURE,Generac Holdings Inc.,Generac Holdings Inc.,FALSE,FALSE,TRUE,notes
PWR,198,POWER_INFRASTRUCTURE,POWER_INFRASTRUCTURE,Quanta Services Inc.,Quanta Services Inc.,FALSE,FALSE,TRUE,notes
ACMR,199,SEMICONDUCTOR_EQUIPMENT,SEMICONDUCTOR_EQUIPMENT,ACM Research Inc.,ACM Research Inc.,FALSE,FALSE,TRUE,notes
MTZ,200,POWER_INFRASTRUCTURE,POWER_INFRASTRUCTURE,MasTec Inc.,MasTec Inc.,FALSE,FALSE,TRUE,notes
NET,201,CYBERSECURITY,CYBERSECURITY,Cloudflare Inc.,Cloudflare Inc.,FALSE,FALSE,TRUE,notes
NTRA,202,HEALTHCARE,HEALTHCARE,Natera Inc.,Natera Inc.,FALSE,FALSE,TRUE,notes
CIEN,203,DATA_INFRASTRUCTURE,DATA_INFRASTRUCTURE,Ciena Corporation,Ciena Corporation,FALSE,FALSE,TRUE,notes
