"RelPath","Category","GroupKey","RankNewestFirst","KeepCount","Decision","Status","SizeBytes","LastWriteTime","Sha256"
"outputs\v18\ops\V18_3D_official_v17_8D_20260513_195703.log","OUTPUTS_V18_LOG","outputs\v18\ops\V18_3D_official_v17_8D_TIMESTAMP.log","2","10","KEEP_RETENTION_LATEST","KEPT","548","2026/5/13 19:57:06",""
"outputs\v18\ops\V18_3D_R2_upstream_R1_run.log","OUTPUTS_V18_LOG","outputs\v18\ops\V18_3D_R2_upstream_R1_run.log","1","10","KEEP_RETENTION_LATEST","KEPT","4327","2026/5/15 23:56:17",""
"outputs\v18\ops\V18_3E_R1_step1_v17_8D_official_20260514_150055.log","OUTPUTS_V18_LOG","outputs\v18\ops\V18_3E_R1_step1_v17_8D_official_TIMESTAMP.log","1","10","KEEP_RETENTION_LATEST","KEPT","1557","2026/5/14 15:02:58",""
"outputs\v18\ops\V18_3E_R1_step2_v18_3C_shadow_20260514_150055.log","OUTPUTS_V18_LOG","outputs\v18\ops\V18_3E_R1_step2_v18_3C_shadow_TIMESTAMP.log","1","10","KEEP_RETENTION_LATEST","KEPT","3216","2026/5/14 15:03:03",""
"outputs\v18\ops\V18_3E_R1_step3_v18_3D_R2_factor_pack_20260514_150055.log","OUTPUTS_V18_LOG","outputs\v18\ops\V18_3E_R1_step3_v18_3D_R2_factor_pack_TIMESTAMP.log","1","10","KEEP_RETENTION_LATEST","KEPT","2297","2026/5/14 15:03:07",""
"outputs\v18\ops\V18_3E_R2_step1_v17_8D_official_20260515_235408.log","OUTPUTS_V18_LOG","outputs\v18\ops\V18_3E_R2_step1_v17_8D_official_TIMESTAMP.log","1","10","KEEP_RETENTION_LATEST","KEPT","1557","2026/5/15 23:56:04",""
"outputs\v18\ops\V18_3E_R2_step1_v17_8D_official_20260515_233838.log","OUTPUTS_V18_LOG","outputs\v18\ops\V18_3E_R2_step1_v17_8D_official_TIMESTAMP.log","2","10","KEEP_RETENTION_LATEST","KEPT","1558","2026/5/15 23:40:35",""
"outputs\v18\ops\V18_3E_R2_step1_v17_8D_official_20260515_191856.log","OUTPUTS_V18_LOG","outputs\v18\ops\V18_3E_R2_step1_v17_8D_official_TIMESTAMP.log","3","10","KEEP_RETENTION_LATEST","KEPT","1557","2026/5/15 19:20:37",""
"outputs\v18\ops\V18_3E_R2_step1_v17_8D_official_20260515_183852.log","OUTPUTS_V18_LOG","outputs\v18\ops\V18_3E_R2_step1_v17_8D_official_TIMESTAMP.log","4","10","KEEP_RETENTION_LATEST","KEPT","1557","2026/5/15 18:40:34",""
"outputs\v18\ops\V18_3E_R2_step1_v17_8D_official_20260515_183145.log","OUTPUTS_V18_LOG","outputs\v18\ops\V18_3E_R2_step1_v17_8D_official_TIMESTAMP.log","5","10","KEEP_RETENTION_LATEST","KEPT","1557","2026/5/15 18:33:29",""
"outputs\v18\ops\V18_3E_R2_step1_v17_8D_official_20260515_172830.log","OUTPUTS_V18_LOG","outputs\v18\ops\V18_3E_R2_step1_v17_8D_official_TIMESTAMP.log","6","10","KEEP_RETENTION_LATEST","KEPT","1558","2026/5/15 17:30:12",""
"outputs\v18\ops\V18_3E_R2_step1_v17_8D_official_20260515_155644.log","OUTPUTS_V18_LOG","outputs\v18\ops\V18_3E_R2_step1_v17_8D_official_TIMESTAMP.log","7","10","KEEP_RETENTION_LATEST","KEPT","1557","2026/5/15 15:58:40",""
"outputs\v18\ops\V18_3E_R2_step1_v17_8D_official_20260515_154854.log","OUTPUTS_V18_LOG","outputs\v18\ops\V18_3E_R2_step1_v17_8D_official_TIMESTAMP.log","8","10","KEEP_RETENTION_LATEST","KEPT","1557","2026/5/15 15:50:47",""
"outputs\v18\ops\V18_3E_R2_step1_v17_8D_official_20260515_143258.log","OUTPUTS_V18_LOG","outputs\v18\ops\V18_3E_R2_step1_v17_8D_official_TIMESTAMP.log","9","10","KEEP_RETENTION_LATEST","KEPT","1557","2026/5/15 14:34:53",""
"outputs\v18\ops\V18_3E_R2_step1_v17_8D_official_20260514_232309.log","OUTPUTS_V18_LOG","outputs\v18\ops\V18_3E_R2_step1_v17_8D_official_TIMESTAMP.log","10","10","KEEP_RETENTION_LATEST","KEPT","1557","2026/5/14 23:25:30",""
"outputs\v18\ops\V18_3E_R2_step1_v17_8D_official_20260514_232000.log","OUTPUTS_V18_LOG","outputs\v18\ops\V18_3E_R2_step1_v17_8D_official_TIMESTAMP.log","11","10","DRYRUN_WOULD_DELETE","DRYRUN","1558","2026/5/14 23:22:22","4585D291F37EE08266A4E6AE85331F3EDF3455C089EA5713DEF33DDF8A87EAF7"
"outputs\v18\ops\V18_3E_R2_step2_v18_3C_shadow_20260515_235408.log","OUTPUTS_V18_LOG","outputs\v18\ops\V18_3E_R2_step2_v18_3C_shadow_TIMESTAMP.log","1","10","KEEP_RETENTION_LATEST","KEPT","3216","2026/5/15 23:56:11",""
"outputs\v18\ops\V18_3E_R2_step2_v18_3C_shadow_20260515_233838.log","OUTPUTS_V18_LOG","outputs\v18\ops\V18_3E_R2_step2_v18_3C_shadow_TIMESTAMP.log","2","10","KEEP_RETENTION_LATEST","KEPT","3216","2026/5/15 23:40:41",""
"outputs\v18\ops\V18_3E_R2_step2_v18_3C_shadow_20260515_191856.log","OUTPUTS_V18_LOG","outputs\v18\ops\V18_3E_R2_step2_v18_3C_shadow_TIMESTAMP.log","3","10","KEEP_RETENTION_LATEST","KEPT","3216","2026/5/15 19:20:42",""
"outputs\v18\ops\V18_3E_R2_step2_v18_3C_shadow_20260515_183852.log","OUTPUTS_V18_LOG","outputs\v18\ops\V18_3E_R2_step2_v18_3C_shadow_TIMESTAMP.log","4","10","KEEP_RETENTION_LATEST","KEPT","3216","2026/5/15 18:40:39",""
"outputs\v18\ops\V18_3E_R2_step2_v18_3C_shadow_20260515_183145.log","OUTPUTS_V18_LOG","outputs\v18\ops\V18_3E_R2_step2_v18_3C_shadow_TIMESTAMP.log","5","10","KEEP_RETENTION_LATEST","KEPT","3216","2026/5/15 18:33:35",""
"outputs\v18\ops\V18_3E_R2_step2_v18_3C_shadow_20260515_155644.log","OUTPUTS_V18_LOG","outputs\v18\ops\V18_3E_R2_step2_v18_3C_shadow_TIMESTAMP.log","6","10","KEEP_RETENTION_LATEST","KEPT","3216","2026/5/15 15:58:46",""
"outputs\v18\ops\V18_3E_R2_step2_v18_3C_shadow_20260515_154854.log","OUTPUTS_V18_LOG","outputs\v18\ops\V18_3E_R2_step2_v18_3C_shadow_TIMESTAMP.log","7","10","KEEP_RETENTION_LATEST","KEPT","3216","2026/5/15 15:50:52",""
"outputs\v18\ops\V18_3E_R2_step2_v18_3C_shadow_20260515_143258.log","OUTPUTS_V18_LOG","outputs\v18\ops\V18_3E_R2_step2_v18_3C_shadow_TIMESTAMP.log","8","10","KEEP_RETENTION_LATEST","KEPT","3216","2026/5/15 14:34:59",""
"outputs\v18\ops\V18_3E_R2_step2_v18_3C_shadow_20260514_232309.log","OUTPUTS_V18_LOG","outputs\v18\ops\V18_3E_R2_step2_v18_3C_shadow_TIMESTAMP.log","9","10","KEEP_RETENTION_LATEST","KEPT","3216","2026/5/14 23:25:37",""
"outputs\v18\ops\V18_3E_R2_step2_v18_3C_shadow_20260514_232000.log","OUTPUTS_V18_LOG","outputs\v18\ops\V18_3E_R2_step2_v18_3C_shadow_TIMESTAMP.log","10","10","KEEP_RETENTION_LATEST","KEPT","3216","2026/5/14 23:22:29",""
"outputs\v18\ops\V18_3E_R2_step2_v18_3C_shadow_20260514_164759.log","OUTPUTS_V18_LOG","outputs\v18\ops\V18_3E_R2_step2_v18_3C_shadow_TIMESTAMP.log","11","10","DRYRUN_WOULD_DELETE","DRYRUN","3216","2026/5/14 16:49:47","D4CF1363323D0D2DC374F17F8E40AAD18139827CF4BA31B06C6502C3357DDAE7"
"outputs\v18\ops\V18_3E_R2_step3_v18_3D_R2_factor_pack_20260515_235408.log","OUTPUTS_V18_LOG","outputs\v18\ops\V18_3E_R2_step3_v18_3D_R2_factor_pack_TIMESTAMP.log","1","10","KEEP_RETENTION_LATEST","KEPT","2297","2026/5/15 23:56:17",""
"outputs\v18\ops\V18_3E_R2_step3_v18_3D_R2_factor_pack_20260515_233838.log","OUTPUTS_V18_LOG","outputs\v18\ops\V18_3E_R2_step3_v18_3D_R2_factor_pack_TIMESTAMP.log","2","10","KEEP_RETENTION_LATEST","KEPT","2297","2026/5/15 23:40:46",""
"outputs\v18\ops\V18_3E_R2_step3_v18_3D_R2_factor_pack_20260515_191856.log","OUTPUTS_V18_LOG","outputs\v18\ops\V18_3E_R2_step3_v18_3D_R2_factor_pack_TIMESTAMP.log","3","10","KEEP_RETENTION_LATEST","KEPT","2297","2026/5/15 19:20:46",""
"outputs\v18\ops\V18_3E_R2_step3_v18_3D_R2_factor_pack_20260515_183852.log","OUTPUTS_V18_LOG","outputs\v18\ops\V18_3E_R2_step3_v18_3D_R2_factor_pack_TIMESTAMP.log","4","10","KEEP_RETENTION_LATEST","KEPT","2297","2026/5/15 18:40:44",""
"outputs\v18\ops\V18_3E_R2_step3_v18_3D_R2_factor_pack_20260515_183145.log","OUTPUTS_V18_LOG","outputs\v18\ops\V18_3E_R2_step3_v18_3D_R2_factor_pack_TIMESTAMP.log","5","10","KEEP_RETENTION_LATEST","KEPT","2297","2026/5/15 18:33:39",""
"outputs\v18\ops\V18_3E_R2_step3_v18_3D_R2_factor_pack_20260515_155644.log","OUTPUTS_V18_LOG","outputs\v18\ops\V18_3E_R2_step3_v18_3D_R2_factor_pack_TIMESTAMP.log","6","10","KEEP_RETENTION_LATEST","KEPT","2297","2026/5/15 15:58:51",""
"outputs\v18\ops\V18_3E_R2_step3_v18_3D_R2_factor_pack_20260515_154854.log","OUTPUTS_V18_LOG","outputs\v18\ops\V18_3E_R2_step3_v18_3D_R2_factor_pack_TIMESTAMP.log","7","10","KEEP_RETENTION_LATEST","KEPT","2297","2026/5/15 15:50:57",""
"outputs\v18\ops\V18_3E_R2_step3_v18_3D_R2_factor_pack_20260515_143258.log","OUTPUTS_V18_LOG","outputs\v18\ops\V18_3E_R2_step3_v18_3D_R2_factor_pack_TIMESTAMP.log","8","10","KEEP_RETENTION_LATEST","KEPT","2297","2026/5/15 14:35:04",""
"outputs\v18\ops\V18_3E_R2_step3_v18_3D_R2_factor_pack_20260514_232309.log","OUTPUTS_V18_LOG","outputs\v18\ops\V18_3E_R2_step3_v18_3D_R2_factor_pack_TIMESTAMP.log","9","10","KEEP_RETENTION_LATEST","KEPT","2297","2026/5/14 23:25:44",""
"outputs\v18\ops\V18_3E_R2_step3_v18_3D_R2_factor_pack_20260514_232000.log","OUTPUTS_V18_LOG","outputs\v18\ops\V18_3E_R2_step3_v18_3D_R2_factor_pack_TIMESTAMP.log","10","10","KEEP_RETENTION_LATEST","KEPT","2297","2026/5/14 23:22:36",""
"outputs\v18\ops\V18_3E_R2_step3_v18_3D_R2_factor_pack_20260514_164759.log","OUTPUTS_V18_LOG","outputs\v18\ops\V18_3E_R2_step3_v18_3D_R2_factor_pack_TIMESTAMP.log","11","10","DRYRUN_WOULD_DELETE","DRYRUN","2297","2026/5/14 16:49:51","88244299D6AE2A49941B7FD0BA30DCCDC93C3C7538F8F3C2CE6536A005E13335"
"outputs\v18\ops\V18_4A_R1_daily_integrated_20260515_235407.log","OUTPUTS_V18_LOG","outputs\v18\ops\V18_4A_R1_daily_integrated_TIMESTAMP.log","1","10","KEEP_RETENTION_LATEST","KEPT","1948","2026/5/15 23:56:18",""
"outputs\v18\ops\V18_4A_R1_daily_integrated_20260515_233838.log","OUTPUTS_V18_LOG","outputs\v18\ops\V18_4A_R1_daily_integrated_TIMESTAMP.log","2","10","KEEP_RETENTION_LATEST","KEPT","1948","2026/5/15 23:40:46",""
"outputs\v18\ops\V18_4A_R1_daily_integrated_20260515_191855.log","OUTPUTS_V18_LOG","outputs\v18\ops\V18_4A_R1_daily_integrated_TIMESTAMP.log","3","10","KEEP_RETENTION_LATEST","KEPT","1949","2026/5/15 19:20:46",""
"outputs\v18\ops\V18_4A_R1_daily_integrated_20260515_183852.log","OUTPUTS_V18_LOG","outputs\v18\ops\V18_4A_R1_daily_integrated_TIMESTAMP.log","4","10","KEEP_RETENTION_LATEST","KEPT","1949","2026/5/15 18:40:44",""
"outputs\v18\ops\V18_4A_R1_daily_integrated_20260515_183145.log","OUTPUTS_V18_LOG","outputs\v18\ops\V18_4A_R1_daily_integrated_TIMESTAMP.log","5","10","KEEP_RETENTION_LATEST","KEPT","1949","2026/5/15 18:33:40",""
"outputs\v18\ops\V18_4A_R1_daily_integrated_20260515_155643.log","OUTPUTS_V18_LOG","outputs\v18\ops\V18_4A_R1_daily_integrated_TIMESTAMP.log","6","10","KEEP_RETENTION_LATEST","KEPT","1949","2026/5/15 15:58:51",""
"outputs\v18\ops\V18_4A_R1_daily_integrated_20260515_154853.log","OUTPUTS_V18_LOG","outputs\v18\ops\V18_4A_R1_daily_integrated_TIMESTAMP.log","7","10","KEEP_RETENTION_LATEST","KEPT","1949","2026/5/15 15:50:57",""
"outputs\v18\ops\V18_4A_R1_daily_integrated_20260515_143258.log","OUTPUTS_V18_LOG","outputs\v18\ops\V18_4A_R1_daily_integrated_TIMESTAMP.log","8","10","KEEP_RETENTION_LATEST","KEPT","1949","2026/5/15 14:35:04",""
"outputs\v18\ops\V18_4A_R1_daily_integrated_20260514_232308.log","OUTPUTS_V18_LOG","outputs\v18\ops\V18_4A_R1_daily_integrated_TIMESTAMP.log","9","10","KEEP_RETENTION_LATEST","KEPT","1954","2026/5/14 23:25:44",""
"outputs\v18\ops\V18_4A_R1_daily_integrated_20260514_231959.log","OUTPUTS_V18_LOG","outputs\v18\ops\V18_4A_R1_daily_integrated_TIMESTAMP.log","10","10","KEEP_RETENTION_LATEST","KEPT","1954","2026/5/14 23:22:36",""
"outputs\v18\ops\V18_4A_R1_daily_integrated_20260514_164758.log","OUTPUTS_V18_LOG","outputs\v18\ops\V18_4A_R1_daily_integrated_TIMESTAMP.log","11","10","DRYRUN_WOULD_DELETE","DRYRUN","1937","2026/5/14 16:49:51","2434472B333CBEA794FCD3F9E132F8560495F968559184F5409F552176827B42"
"outputs\v18\ops\V18_4A_upstream_cockpit_20260515_235408.log","OUTPUTS_V18_LOG","outputs\v18\ops\V18_4A_upstream_cockpit_TIMESTAMP.log","1","10","KEEP_RETENTION_LATEST","KEPT","1931","2026/5/15 23:56:18",""
"outputs\v18\ops\V18_4A_upstream_cockpit_20260515_233838.log","OUTPUTS_V18_LOG","outputs\v18\ops\V18_4A_upstream_cockpit_TIMESTAMP.log","2","10","KEEP_RETENTION_LATEST","KEPT","1931","2026/5/15 23:40:46",""
"outputs\v18\ops\V18_4A_upstream_cockpit_20260515_191856.log","OUTPUTS_V18_LOG","outputs\v18\ops\V18_4A_upstream_cockpit_TIMESTAMP.log","3","10","KEEP_RETENTION_LATEST","KEPT","1931","2026/5/15 19:20:46",""
"outputs\v18\ops\V18_4A_upstream_cockpit_20260515_183852.log","OUTPUTS_V18_LOG","outputs\v18\ops\V18_4A_upstream_cockpit_TIMESTAMP.log","4","10","KEEP_RETENTION_LATEST","KEPT","1931","2026/5/15 18:40:44",""
"outputs\v18\ops\V18_4A_upstream_cockpit_20260515_183145.log","OUTPUTS_V18_LOG","outputs\v18\ops\V18_4A_upstream_cockpit_TIMESTAMP.log","5","10","KEEP_RETENTION_LATEST","KEPT","1931","2026/5/15 18:33:40",""
"outputs\v18\ops\V18_4A_upstream_cockpit_20260515_155643.log","OUTPUTS_V18_LOG","outputs\v18\ops\V18_4A_upstream_cockpit_TIMESTAMP.log","6","10","KEEP_RETENTION_LATEST","KEPT","1931","2026/5/15 15:58:51",""
"outputs\v18\ops\V18_4A_upstream_cockpit_20260515_154853.log","OUTPUTS_V18_LOG","outputs\v18\ops\V18_4A_upstream_cockpit_TIMESTAMP.log","7","10","KEEP_RETENTION_LATEST","KEPT","1931","2026/5/15 15:50:57",""
"outputs\v18\ops\V18_4A_upstream_cockpit_20260515_143258.log","OUTPUTS_V18_LOG","outputs\v18\ops\V18_4A_upstream_cockpit_TIMESTAMP.log","8","10","KEEP_RETENTION_LATEST","KEPT","1931","2026/5/15 14:35:04",""
"outputs\v18\ops\V18_4A_upstream_cockpit_20260514_232308.log","OUTPUTS_V18_LOG","outputs\v18\ops\V18_4A_upstream_cockpit_TIMESTAMP.log","9","10","KEEP_RETENTION_LATEST","KEPT","1931","2026/5/14 23:25:44",""
"outputs\v18\ops\V18_4A_upstream_cockpit_20260514_231959.log","OUTPUTS_V18_LOG","outputs\v18\ops\V18_4A_upstream_cockpit_TIMESTAMP.log","10","10","KEEP_RETENTION_LATEST","KEPT","1931","2026/5/14 23:22:36",""
"outputs\v18\ops\V18_4A_upstream_cockpit_20260514_164759.log","OUTPUTS_V18_LOG","outputs\v18\ops\V18_4A_upstream_cockpit_TIMESTAMP.log","11","10","DRYRUN_WOULD_DELETE","DRYRUN","1931","2026/5/14 16:49:51","94A7F13C44B7F1D1711538FF2AE72A8A5BD9F8B517424F7748DF5296171E36B0"
