"SourcePath","SourceRel","SourceZone","Line","Family","Action","Risk","DeletePermission","DecouplingTarget","ReferenceText"
"scripts\run_v17_7B_universe_semantic_audit.ps1","scripts\run_v17_7B_universe_semantic_audit.ps1","UNKNOWN","11","V17_TEXT_REFERENCE","TEXT_REFERENCE_REVIEW_LOW_PRIORITY","LOW","REVIEW_FIRST","Manual review.","$OutCsv = Join-Path $OutDir ""v17_7B_universe_semantic_audit.csv"""
"scripts\run_v17_7B_universe_semantic_audit.ps1","scripts\run_v17_7B_universe_semantic_audit.ps1","UNKNOWN","12","V17_TEXT_REFERENCE","TEXT_REFERENCE_REVIEW_LOW_PRIORITY","LOW","REVIEW_FIRST","Manual review.","$SummaryMd = Join-Path $OutDir ""V17_7B_UNIVERSE_SEMANTIC_AUDIT.md"""
"scripts\run_v17_7B_universe_semantic_audit.ps1","scripts\run_v17_7B_universe_semantic_audit.ps1","UNKNOWN","13","V17_TEXT_REFERENCE","TEXT_REFERENCE_REVIEW_LOW_PRIORITY","LOW","REVIEW_FIRST","Manual review.","$ReadFirst = Join-Path $OutDir ""V17_7B_READ_FIRST.txt"""
"scripts\run_v17_7C_manual_daily_with_raw_universe_audit.ps1","scripts\run_v17_7C_manual_daily_with_raw_universe_audit.ps1","UNKNOWN","15","V17_TEXT_REFERENCE","TEXT_REFERENCE_REVIEW_LOW_PRIORITY","LOW","REVIEW_FIRST","Manual review.","$SemanticAudit = Join-Path $Root ""scripts\run_v17_7B_universe_semantic_audit.ps1"""
"scripts\run_v17_7C_manual_daily_with_raw_universe_audit.ps1","scripts\run_v17_7C_manual_daily_with_raw_universe_audit.ps1","UNKNOWN","86","V17_TEXT_REFERENCE","TEXT_REFERENCE_REVIEW_LOW_PRIORITY","LOW","REVIEW_FIRST","Manual review.","$SemanticExit = Run-Step -Name ""V17_7B_UNIVERSE_SEMANTIC_AUDIT"" -ScriptPath $SemanticAudit -Required $true"
"scripts\run_v17_7C_manual_daily_with_raw_universe_audit.ps1","scripts\run_v17_7C_manual_daily_with_raw_universe_audit.ps1","UNKNOWN","91","V17_TEXT_REFERENCE","TEXT_REFERENCE_REVIEW_LOW_PRIORITY","LOW","REVIEW_FIRST","Manual review.","$SemanticReadFirst = Join-Path $OutDir ""V17_7B_READ_FIRST.txt"""
"scripts\run_v17_7C_manual_daily_with_raw_universe_audit.ps1","scripts\run_v17_7C_manual_daily_with_raw_universe_audit.ps1","UNKNOWN","93","V17_TEXT_REFERENCE","TEXT_REFERENCE_REVIEW_LOW_PRIORITY","LOW","REVIEW_FIRST","Manual review.","$SemanticSummary = Join-Path $OutDir ""V17_7B_UNIVERSE_SEMANTIC_AUDIT.md"""
"scripts\run_v17_7C_manual_daily_with_raw_universe_audit.ps1","scripts\run_v17_7C_manual_daily_with_raw_universe_audit.ps1","UNKNOWN","94","V17_TEXT_REFERENCE","TEXT_REFERENCE_REVIEW_LOW_PRIORITY","LOW","REVIEW_FIRST","Manual review.","$SemanticCsv = Join-Path $OutDir ""v17_7B_universe_semantic_audit.csv"""
"scripts\run_v17_7C_R1_manual_daily_with_raw105_audit.ps1","scripts\run_v17_7C_R1_manual_daily_with_raw105_audit.ps1","UNKNOWN","17","V17_TEXT_REFERENCE","TEXT_REFERENCE_REVIEW_LOW_PRIORITY","LOW","REVIEW_FIRST","Manual review.","$SemanticAudit = Join-Path $Root ""scripts\run_v17_7B_universe_semantic_audit.ps1"""
"scripts\run_v17_7C_R1_manual_daily_with_raw105_audit.ps1","scripts\run_v17_7C_R1_manual_daily_with_raw105_audit.ps1","UNKNOWN","152","V17_TEXT_REFERENCE","TEXT_REFERENCE_REVIEW_LOW_PRIORITY","LOW","REVIEW_FIRST","Manual review.","$SemanticExit = Run-NormalStep -Name ""V17_7B_UNIVERSE_SEMANTIC_AUDIT"" -ScriptPath $SemanticAudit"
"scripts\run_v17_7C_R1_manual_daily_with_raw105_audit.ps1","scripts\run_v17_7C_R1_manual_daily_with_raw105_audit.ps1","UNKNOWN","158","V17_TEXT_REFERENCE","TEXT_REFERENCE_REVIEW_LOW_PRIORITY","LOW","REVIEW_FIRST","Manual review.","$SemanticReadFirst = Join-Path $OutDir ""V17_7B_READ_FIRST.txt"""
"scripts\run_v17_7C_R1_manual_daily_with_raw105_audit.ps1","scripts\run_v17_7C_R1_manual_daily_with_raw105_audit.ps1","UNKNOWN","308","V17_TEXT_REFERENCE","TEXT_REFERENCE_REVIEW_LOW_PRIORITY","LOW","REVIEW_FIRST","Manual review.","$Md.Add(""- Universe semantic audit: "" + (Join-Path $OutDir ""V17_7B_UNIVERSE_SEMANTIC_AUDIT.md""))"
"scripts\run_v17_7C_R1_manual_daily_with_raw105_audit.ps1","scripts\run_v17_7C_R1_manual_daily_with_raw105_audit.ps1","UNKNOWN","342","V17_TEXT_REFERENCE","TEXT_REFERENCE_REVIEW_LOW_PRIORITY","LOW","REVIEW_FIRST","Manual review.","$Rf += (Join-Path $OutDir ""V17_7B_UNIVERSE_SEMANTIC_AUDIT.md"")"
"scripts\run_v17_7D_main_compute_delta_audit.ps1","scripts\run_v17_7D_main_compute_delta_audit.ps1","UNKNOWN","12","V17_TEXT_REFERENCE","TEXT_REFERENCE_REVIEW_LOW_PRIORITY","LOW","REVIEW_FIRST","Manual review.","$CurrentSemanticCsv = Join-Path $OutDir ""v17_7B_universe_semantic_audit.csv"""
"scripts\run_v17_7E_removed_main_compute_inspection.ps1","scripts\run_v17_7E_removed_main_compute_inspection.ps1","UNKNOWN","13","V17_TEXT_REFERENCE","TEXT_REFERENCE_REVIEW_LOW_PRIORITY","LOW","REVIEW_FIRST","Manual review.","$SemanticCsv = Join-Path $OutDir ""v17_7B_universe_semantic_audit.csv"""
"scripts\run_v17_7F_B_raw105_price_freshness_acceptance.ps1","scripts\run_v17_7F_B_raw105_price_freshness_acceptance.ps1","UNKNOWN","13","V17_TEXT_REFERENCE","TEXT_REFERENCE_REVIEW_LOW_PRIORITY","LOW","REVIEW_FIRST","Manual review.","$SemanticCsv = Join-Path $OutDir ""v17_7B_universe_semantic_audit.csv"""
"scripts\run_v17_7G_R1_manual_daily_dynamic_raw105.ps1","scripts\run_v17_7G_R1_manual_daily_dynamic_raw105.ps1","UNKNOWN","25","V17_TEXT_REFERENCE","TEXT_REFERENCE_REVIEW_LOW_PRIORITY","LOW","REVIEW_FIRST","Manual review.","$Semantic = Join-Path $AuditDir ""V17_7B_UNIVERSE_SEMANTIC_AUDIT.md"""
"scripts\run_v17_8A_raw105_full_decision_daily.py","scripts\run_v17_8A_raw105_full_decision_daily.py","UNKNOWN","17","V17_TEXT_REFERENCE","TEXT_REFERENCE_REVIEW_LOW_PRIORITY","LOW","REVIEW_FIRST","Manual review.","SEMANTIC_PATH = ROOT / ""outputs"" / ""v17"" / ""raw_universe_audit"" / ""v17_7B_universe_semantic_audit.csv"""
"scripts\v18\run_v18_3C_factor_shadow_daily_wrapper.ps1","scripts\v18\run_v18_3C_factor_shadow_daily_wrapper.ps1","UNKNOWN","14","OTHER","MANUAL_REVIEW","REVIEW","REVIEW_FIRST","Manual review.","$Py3A = ""$Root\src\v18\factor_lab\run_v18_3A_factor_shadow_daily.py"""
"scripts\v18\run_v18_3C_factor_shadow_daily_wrapper.ps1","scripts\v18\run_v18_3C_factor_shadow_daily_wrapper.ps1","UNKNOWN","39","OTHER","MANUAL_REVIEW","REVIEW","REVIEW_FIRST","Manual review.","""$Root\outputs\v18\factor_shadow\V18_3A_READ_FIRST.txt"","
"scripts\v18\run_v18_3C_R1_factor_shadow_daily_quiet.ps1","scripts\v18\run_v18_3C_R1_factor_shadow_daily_quiet.ps1","UNKNOWN","17","OTHER","MANUAL_REVIEW","REVIEW","REVIEW_FIRST","Manual review.","$ShadowCsv = ""$OutDir\V18_3A_FACTOR_SHADOW_DAILY_CURRENT.csv"""
"scripts\v18\run_v18_3C_R1_factor_shadow_daily_quiet.ps1","scripts\v18\run_v18_3C_R1_factor_shadow_daily_quiet.ps1","UNKNOWN","77","OTHER","MANUAL_REVIEW","REVIEW","REVIEW_FIRST","Manual review.","""$OutDir\V18_3A_READ_FIRST.txt"","
"scripts\v18\run_v18_3C_R1_factor_shadow_daily_quiet.ps1","scripts\v18\run_v18_3C_R1_factor_shadow_daily_quiet.ps1","UNKNOWN","131","OTHER","MANUAL_REVIEW","REVIEW","REVIEW_FIRST","Manual review.","$Py3A = ""$Root\src\v18\factor_lab\run_v18_3A_factor_shadow_daily.py"""
"scripts\v18\run_v18_3D_factor_pack_shadow_extension.ps1","scripts\v18\run_v18_3D_factor_pack_shadow_extension.ps1","UNKNOWN","5","OTHER","MANUAL_REVIEW","REVIEW","REVIEW_FIRST","Manual review.","$PyScript = Join-Path $Root ""scripts\v18\v18_3D_factor_pack_shadow_extension.py"""
"scripts\v18\run_v18_3D_factor_pack_shadow_extension.ps1","scripts\v18\run_v18_3D_factor_pack_shadow_extension.ps1","UNKNOWN","6","OTHER","MANUAL_REVIEW","REVIEW","REVIEW_FIRST","Manual review.","$ReadFirst = Join-Path $Root ""outputs\v18\factor_pack\V18_3D_READ_FIRST.txt"""
"scripts\v18\run_v18_3D_official_plus_shadow_daily.ps1","scripts\v18\run_v18_3D_official_plus_shadow_daily.ps1","UNKNOWN","9","OTHER","MANUAL_REVIEW","REVIEW","REVIEW_FIRST","Manual review.","$ReadFirst = ""$OutDir\V18_3D_READ_FIRST.txt"""
"scripts\v18\run_v18_3D_official_plus_shadow_daily.ps1","scripts\v18\run_v18_3D_official_plus_shadow_daily.ps1","UNKNOWN","11","V17_TEXT_REFERENCE","TEXT_REFERENCE_REVIEW_LOW_PRIORITY","LOW","REVIEW_FIRST","Manual review.","$OfficialLog = ""$OpsDir\V18_3D_official_v17_8D_$Stamp.log"""
"scripts\v18\run_v18_3D_official_plus_shadow_daily.ps1","scripts\v18\run_v18_3D_official_plus_shadow_daily.ps1","UNKNOWN","12","OTHER","MANUAL_REVIEW","REVIEW","REVIEW_FIRST","Manual review.","$ShadowLog = ""$OpsDir\V18_3D_shadow_v18_$Stamp.log"""
"scripts\v18\run_v18_3D_official_plus_shadow_daily.ps1","scripts\v18\run_v18_3D_official_plus_shadow_daily.ps1","UNKNOWN","24","OTHER","MANUAL_REVIEW","REVIEW","REVIEW_FIRST","Manual review.","$ShadowCsv = ""$Root\outputs\v18\factor_shadow\V18_3A_FACTOR_SHADOW_DAILY_CURRENT.csv"""
"scripts\v18\run_v18_3D_official_plus_shadow_daily.ps1","scripts\v18\run_v18_3D_official_plus_shadow_daily.ps1","UNKNOWN","98","OTHER","MANUAL_REVIEW","REVIEW","REVIEW_FIRST","Manual review.","""V18_3D_STATUS: OK_OFFICIAL_PLUS_SHADOW_DAILY_READY"","
"scripts\v18\run_v18_3D_official_plus_shadow_daily.ps1","scripts\v18\run_v18_3D_official_plus_shadow_daily.ps1","UNKNOWN","133","OTHER","MANUAL_REVIEW","REVIEW","REVIEW_FIRST","Manual review.","""powershell -NoProfile -ExecutionPolicy Bypass -File """"D:\us-tech-quant\scripts\v18\run_v18_3D_official_plus_shadow_daily.ps1"""""","
"scripts\v18\run_v18_3D_official_plus_shadow_daily.ps1","scripts\v18\run_v18_3D_official_plus_shadow_daily.ps1","UNKNOWN","142","OTHER","MANUAL_REVIEW","REVIEW","REVIEW_FIRST","Manual review.","Write-Host ""V18_3D_STATUS: OK_OFFICIAL_PLUS_SHADOW_DAILY_READY"""
"scripts\v18\run_v18_3D_R1_official_overlap_fix.ps1","scripts\v18\run_v18_3D_R1_official_overlap_fix.ps1","UNKNOWN","5","OTHER","MANUAL_REVIEW","REVIEW","REVIEW_FIRST","Manual review.","$UpstreamPs = Join-Path $Root ""scripts\v18\run_v18_3D_factor_pack_shadow_extension.ps1"""
"scripts\v18\run_v18_3D_R1_official_overlap_fix.ps1","scripts\v18\run_v18_3D_R1_official_overlap_fix.ps1","UNKNOWN","6","OTHER","MANUAL_REVIEW","REVIEW","REVIEW_FIRST","Manual review.","$FixPy = Join-Path $Root ""scripts\v18\v18_3D_R1_official_overlap_fix.py"""
"scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1","scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1","UNKNOWN","11","OTHER","MANUAL_REVIEW","REVIEW","REVIEW_FIRST","Manual review.","$Upstream = Join-Path $ScriptDir ""run_v18_3D_R1_official_overlap_fix.ps1"""
"scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1","scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1","UNKNOWN","12","OTHER","MANUAL_REVIEW","REVIEW","REVIEW_FIRST","Manual review.","$UpstreamLog = Join-Path $OpsDir ""V18_3D_R2_upstream_R1_run.log"""
"scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1","scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1","UNKNOWN","14","OTHER","MANUAL_REVIEW","REVIEW","REVIEW_FIRST","Manual review.","$R1Read = Join-Path $OutDir ""V18_3D_R1_READ_FIRST.txt"""
"scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1","scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1","UNKNOWN","15","OTHER","MANUAL_REVIEW","REVIEW","REVIEW_FIRST","Manual review.","$R1Top30 = Join-Path $OutDir ""V18_3D_R1_FACTOR_PACK_TOP30.md"""
"scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1","scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1","UNKNOWN","16","OTHER","MANUAL_REVIEW","REVIEW","REVIEW_FIRST","Manual review.","$R1OverlapMd = Join-Path $OutDir ""V18_3D_R1_FACTOR_PACK_OFFICIAL_OVERLAP.md"""
"scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1","scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1","UNKNOWN","17","OTHER","MANUAL_REVIEW","REVIEW","REVIEW_FIRST","Manual review.","$R1OverlapCsv = Join-Path $OutDir ""V18_3D_R1_SHADOW_TOP30_OFFICIAL_OVERLAP.csv"""
"scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1","scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1","UNKNOWN","18","OTHER","MANUAL_REVIEW","REVIEW","REVIEW_FIRST","Manual review.","$R1RankingCsv = Join-Path $OutDir ""V18_3D_RAW105_FACTOR_PACK_RANKING.csv"""
"scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1","scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1","UNKNOWN","18","OTHER","MANUAL_REVIEW","REVIEW","REVIEW_FIRST","Manual review.","$R1RankingCsv = Join-Path $OutDir ""V18_3D_RAW105_FACTOR_PACK_RANKING.csv"""
"scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1","scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1","UNKNOWN","19","OTHER","MANUAL_REVIEW","REVIEW","REVIEW_FIRST","Manual review.","$R1ValuesCsv = Join-Path $OutDir ""V18_3D_RAW105_FACTOR_PACK_VALUES.csv"""
"scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1","scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1","UNKNOWN","21","OTHER","MANUAL_REVIEW","REVIEW","REVIEW_FIRST","Manual review.","$R2Read = Join-Path $OutDir ""V18_3D_R2_READ_FIRST.txt"""
"scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1","scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1","UNKNOWN","22","OTHER","MANUAL_REVIEW","REVIEW","REVIEW_FIRST","Manual review.","$R2Top30 = Join-Path $OutDir ""V18_3D_R2_CURRENT_FACTOR_PACK_TOP30.md"""
"scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1","scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1","UNKNOWN","23","OTHER","MANUAL_REVIEW","REVIEW","REVIEW_FIRST","Manual review.","$R2OverlapMd = Join-Path $OutDir ""V18_3D_R2_CURRENT_FACTOR_PACK_OFFICIAL_OVERLAP.md"""
"scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1","scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1","UNKNOWN","24","OTHER","MANUAL_REVIEW","REVIEW","REVIEW_FIRST","Manual review.","$R2OverlapCsv = Join-Path $OutDir ""V18_3D_R2_CURRENT_SHADOW_TOP30_OFFICIAL_OVERLAP.csv"""
"scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1","scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1","UNKNOWN","25","OTHER","MANUAL_REVIEW","REVIEW","REVIEW_FIRST","Manual review.","$R2RankingCsv = Join-Path $OutDir ""V18_3D_R2_CURRENT_RAW105_FACTOR_PACK_RANKING.csv"""
"scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1","scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1","UNKNOWN","26","OTHER","MANUAL_REVIEW","REVIEW","REVIEW_FIRST","Manual review.","$R2ValuesCsv = Join-Path $OutDir ""V18_3D_R2_CURRENT_RAW105_FACTOR_PACK_VALUES.csv"""
"scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1","scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1","UNKNOWN","31","OTHER","MANUAL_REVIEW","REVIEW","REVIEW_FIRST","Manual review.","$GlobalRankingCsv = Join-Path $OutDir ""V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv"""
"scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1","scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1","UNKNOWN","75","OTHER","MANUAL_REVIEW","REVIEW","REVIEW_FIRST","Manual review.","Write-Host ""V18_3D_R2_STATUS: FAIL_UPSTREAM_R1"""
"scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1","scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1","UNKNOWN","82","OTHER","MANUAL_REVIEW","REVIEW","REVIEW_FIRST","Manual review.","Write-Host ""V18_3D_R2_STATUS: FAIL_MISSING_R1_READ_FIRST"""
"scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1","scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1","UNKNOWN","89","OTHER","MANUAL_REVIEW","REVIEW","REVIEW_FIRST","Manual review.","$R1Status = Get-LineValue $R1Text ""V18_3D_R1_STATUS"""
"scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1","scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1","UNKNOWN","92","OTHER","MANUAL_REVIEW","REVIEW","REVIEW_FIRST","Manual review.","Write-Host ""V18_3D_R2_STATUS: FAIL_R1_NOT_OK"""
"scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1","scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1","UNKNOWN","127","OTHER","MANUAL_REVIEW","REVIEW","REVIEW_FIRST","Manual review.","""V18_3D_R2_STATUS: OK_FACTOR_PACK_CURRENT_ONLY_READY"","
"scripts\v18\run_v18_3E_daily_cockpit_wrapper.ps1","scripts\v18\run_v18_3E_daily_cockpit_wrapper.ps1","UNKNOWN","73","OTHER","MANUAL_REVIEW","REVIEW","REVIEW_FIRST","Manual review.","(Join-Path $Root ""scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1"")"
"scripts\v18\run_v18_3E_daily_cockpit_wrapper.ps1","scripts\v18\run_v18_3E_daily_cockpit_wrapper.ps1","UNKNOWN","78","OTHER","MANUAL_REVIEW","REVIEW","REVIEW_FIRST","Manual review.","$PackLog = Join-Path $OpsDir (""V18_3E_R2_step3_v18_3D_R2_factor_pack_"" + $Stamp + "".log"")"
"scripts\v18\run_v18_3E_daily_cockpit_wrapper.ps1","scripts\v18\run_v18_3E_daily_cockpit_wrapper.ps1","UNKNOWN","105","OTHER","MANUAL_REVIEW","REVIEW","REVIEW_FIRST","Manual review.","(Join-Path $Root ""outputs\v18\factor_pack\V18_3D_R2_READ_FIRST.txt""),"
"scripts\v18\run_v18_3E_daily_cockpit_wrapper.ps1","scripts\v18\run_v18_3E_daily_cockpit_wrapper.ps1","UNKNOWN","124","OTHER","MANUAL_REVIEW","REVIEW","REVIEW_FIRST","Manual review.","$PackStatus = GetKey $PackText ""V18_3D_R2_STATUS"""
"scripts\v18\run_v18_3E_daily_cockpit_wrapper.ps1","scripts\v18\run_v18_3E_daily_cockpit_wrapper.ps1","UNKNOWN","167","OTHER","MANUAL_REVIEW","REVIEW","REVIEW_FIRST","Manual review.","(""V18_3D_R2_STATUS: "" + $PackStatus),"
"scripts\v18\run_v18_3E_daily_cockpit_wrapper.ps1","scripts\v18\run_v18_3E_daily_cockpit_wrapper.ps1","UNKNOWN","170","OTHER","MANUAL_REVIEW","REVIEW","REVIEW_FIRST","Manual review.","(""V18_3D_R2_OVERLAP_COUNT: "" + $PackOverlapCount),"
"scripts\v18\run_v18_3E_daily_cockpit_wrapper.ps1","scripts\v18\run_v18_3E_daily_cockpit_wrapper.ps1","UNKNOWN","171","OTHER","MANUAL_REVIEW","REVIEW","REVIEW_FIRST","Manual review.","(""V18_3D_R2_OVERLAP_NAMES: "" + $PackOverlapNames),"
"scripts\v18\run_v18_4B_R1_final_daily_wrapper.ps1","scripts\v18\run_v18_4B_R1_final_daily_wrapper.ps1","UNKNOWN","89","OTHER","MANUAL_REVIEW","REVIEW","REVIEW_FIRST","Manual review.","$GlobalMd = Join-Path $OutDir ""V18_CURRENT_FINAL_DAILY.md"""
"scripts\v18\run_v18_4G_R1_final_daily_factor_audit_wrapper.ps1","scripts\v18\run_v18_4G_R1_final_daily_factor_audit_wrapper.ps1","UNKNOWN","24","OTHER","MANUAL_REVIEW","REVIEW","REVIEW_FIRST","Manual review.","$CurrentFinal = Join-Path $OutDir ""V18_CURRENT_FINAL_DAILY.md"""
"scripts\v18\run_v18_4G_R2_stable_snapshot.ps1","scripts\v18\run_v18_4G_R2_stable_snapshot.ps1","UNKNOWN","221","OTHER","MANUAL_REVIEW","REVIEW","REVIEW_FIRST","Manual review.","$ReadFiles += (Join-Path $Root ""outputs\v18\daily_integrated\V18_CURRENT_FINAL_DAILY.md"")"
"scripts\v18\run_v18_4I_R1_final_daily_promotion_merge_wrapper.ps1","scripts\v18\run_v18_4I_R1_final_daily_promotion_merge_wrapper.ps1","UNKNOWN","22","OTHER","MANUAL_REVIEW","REVIEW","REVIEW_FIRST","Manual review.","$IntegratedCurrent = Join-Path $DailyOutDir ""V18_CURRENT_FINAL_DAILY_PROMOTION_MERGE.md"""
"scripts\v18\run_v18_4J_R1_final_daily_read_center_wrapper.ps1","scripts\v18\run_v18_4J_R1_final_daily_read_center_wrapper.ps1","UNKNOWN","17","OTHER","MANUAL_REVIEW","REVIEW","REVIEW_FIRST","Manual review.","$CurrentReadFirst = Join-Path $ReadCenterDir ""V18_CURRENT_READ_FIRST.md"""
"scripts\v18\run_v18_4J_R2_stable_snapshot.ps1","scripts\v18\run_v18_4J_R2_stable_snapshot.ps1","UNKNOWN","187","OTHER","MANUAL_REVIEW","REVIEW","REVIEW_FIRST","Manual review.","$ReadmeLines += ""D:\us-tech-quant\outputs\v18\read_center\V18_CURRENT_READ_FIRST.md"""
"scripts\v18\run_v18_4J_read_center_cleanup.ps1","scripts\v18\run_v18_4J_read_center_cleanup.ps1","UNKNOWN","15","OTHER","MANUAL_REVIEW","REVIEW","REVIEW_FIRST","Manual review.","$CurrentReadFirst = Join-Path $ReadCenterDir ""V18_CURRENT_READ_FIRST.md"""
"scripts\v18\run_v18_4J_read_center_cleanup.ps1","scripts\v18\run_v18_4J_read_center_cleanup.ps1","UNKNOWN","19","OTHER","MANUAL_REVIEW","REVIEW","REVIEW_FIRST","Manual review.","$FinalDailyPromotion = Join-Path $Root ""outputs\v18\daily_integrated\V18_CURRENT_FINAL_DAILY_PROMOTION_MERGE.md"""
