path,reference_role_guess,notes
scripts/v18/v18_25A_R27G_validate_staged_factor_technical_merge_plan.py,UNKNOWN_SCRIPT_REFERENCE,Script reference needs manual review before patching.
scripts/v18/v18_25A_R27I_post_merge_candidate_readiness_audit.py,UNKNOWN_SCRIPT_REFERENCE,Script reference needs manual review before patching.
scripts/v18/v18_25A_R27J_ranked_candidates_preview_refresh_tln_rddt.py,UNKNOWN_SCRIPT_REFERENCE,Script reference needs manual review before patching.
scripts/v18/v18_25A_R27K_promote_ranked_candidates_preview_to_current.py,UNKNOWN_SCRIPT_REFERENCE,Script reference needs manual review before patching.
scripts/v18/v18_25A_R27L_post_promotion_validation_signal_freeze_readiness.py,UNKNOWN_SCRIPT_REFERENCE,Script reference needs manual review before patching.
scripts/v18/v18_28A_R1_theme_map_bootstrap_coverage_upgrade.py,UNKNOWN_SCRIPT_REFERENCE,Script reference needs manual review before patching.
scripts/v18/v18_28A_R2_remaining_unknown_theme_patch.py,UNKNOWN_SCRIPT_REFERENCE,Script reference needs manual review before patching.
scripts/v18/v18_28A_sector_theme_classification_audit.py,UNKNOWN_SCRIPT_REFERENCE,Script reference needs manual review before patching.
scripts/v18/v18_28B_recommendation_tier_action_layer.py,UNKNOWN_SCRIPT_REFERENCE,Script reference needs manual review before patching.
scripts/v18/v18_28C_recommendation_tier_calibration_audit.py,UNKNOWN_SCRIPT_REFERENCE,Script reference needs manual review before patching.
scripts/v18/v18_28D_recommendation_tier_rule_calibration_patch.py,UNKNOWN_SCRIPT_REFERENCE,Script reference needs manual review before patching.
scripts/v18/v18_29A_historical_backtest_readiness_audit.py,FULL_SET_EXPECTED,Context contains full/freeze/candidate-count language.
scripts/v18/v18_29B_limited_signal_freeze_backtest.py,FULL_SET_EXPECTED,Context contains full/freeze/candidate-count language.
scripts/v18/v18_29C_daily_recommendation_tier_snapshot_ledger.py,UNKNOWN_SCRIPT_REFERENCE,Script reference needs manual review before patching.
scripts/v18/v18_30B_daily_command_compatibility_guard.py,FULL_SET_EXPECTED,Context contains full/freeze/candidate-count language.
scripts/v18/v18_30C_operator_control_center_latest_freeze_patch.py,FULL_SET_EXPECTED,Context contains full/freeze/candidate-count language.
scripts/v18/v18_30D_same_day_signal_freeze_replace_policy.py,UNKNOWN_SCRIPT_REFERENCE,Script reference needs manual review before patching.
scripts/v18/v18_30E_safe_daily_operator_sequence.py,FULL_SET_EXPECTED,Context contains full/freeze/candidate-count language.
scripts/v18/v18_31A_static_buyability_gate.py,FULL_SET_EXPECTED,Context contains full/freeze/candidate-count language.
scripts/v18/v18_31B_manual_position_sizing_policy_layer.py,FULL_SET_EXPECTED,Context contains full/freeze/candidate-count language.
scripts/v18/v18_31C_moomoo_cost_slippage_constraint_layer.py,UNKNOWN_SCRIPT_REFERENCE,Script reference needs manual review before patching.
scripts/v18/v18_31D_account_aware_manual_trade_plan.py,UNKNOWN_SCRIPT_REFERENCE,Script reference needs manual review before patching.
scripts/v18/v18_31E_daily_trade_plan_snapshot_ledger.py,FULL_SET_EXPECTED,Context contains full/freeze/candidate-count language.
scripts/v18/v18_31G_R1_unsupported_signal_date_ledger_review_cleanup.py,UNKNOWN_SCRIPT_REFERENCE,Script reference needs manual review before patching.
scripts/v18/v18_31G_trading_day_signal_date_guard.py,FULL_SET_EXPECTED,Context contains full/freeze/candidate-count language.
scripts/v18/v18_32A_manual_account_state_validator.py,UNKNOWN_SCRIPT_REFERENCE,Script reference needs manual review before patching.
scripts/v18/v18_35B_current_candidate_source_normalization.py,TOP_DISPLAY_EXPECTED,Context contains display/top/second-stage language.
scripts/v18/v18_35C_candidate_source_dependency_role_review.py,TOP_DISPLAY_EXPECTED,Context contains display/top/second-stage language.
scripts/v18/v18_35D_full_universe_factor_technical_recompute.py,TOP_DISPLAY_EXPECTED,Context contains display/top/second-stage language.
scripts/v18/v18_35F_next_signal_freeze_expansion.py,TOP_DISPLAY_EXPECTED,Context contains display/top/second-stage language.
scripts/v18/v18_35G_universe_invalid_ticker_prune.py,TOP_DISPLAY_EXPECTED,Context contains display/top/second-stage language.
scripts/v18/v18_35H_stable_snapshot_318_aligned_baseline.py,TOP_DISPLAY_EXPECTED,Context contains display/top/second-stage language.
scripts/v18/v18_36A_paper_trading_forward_attribution.py,TOP_DISPLAY_EXPECTED,Context contains display/top/second-stage language.
scripts/v18/v18_36C_factor_implementation_audit.py,TOP_DISPLAY_EXPECTED,Context contains display/top/second-stage language.
scripts/v18/v18_36C_R1_strict_evidence_classification_patch.py,TOP_DISPLAY_EXPECTED,Context contains display/top/second-stage language.
scripts/v18/v18_37A_lean_inspired_strategy_motif_lab.py,TOP_DISPLAY_EXPECTED,Context contains display/top/second-stage language.
scripts/v18/v18_37B_shadow_portfolio_construction_comparison.py,TOP_DISPLAY_EXPECTED,Context contains display/top/second-stage language.
scripts/v18/v18_37C_shadow_portfolio_daily_snapshot_forward_bridge.py,TOP_DISPLAY_EXPECTED,Context contains display/top/second-stage language.
scripts/v18/v18_37D_stable_snapshot_research_stack_baseline.py,TOP_DISPLAY_EXPECTED,Context contains display/top/second-stage language.
outputs/v18/read_center/V18_35B_CANDIDATE_SOURCE_NORMALIZATION_REPORT.md,TOP_DISPLAY_EXPECTED,Context contains display/top/second-stage language.
outputs/v18/read_center/V18_35C_CANDIDATE_SOURCE_DEPENDENCY_REVIEW_REPORT.md,TOP_DISPLAY_EXPECTED,Context contains display/top/second-stage language.
outputs/v18/read_center/V18_CURRENT_CANDIDATE_SOURCE_DEPENDENCY_REVIEW.md,TOP_DISPLAY_EXPECTED,Context contains display/top/second-stage language.
outputs/v18/read_center/V18_CURRENT_CANDIDATE_SOURCE_NORMALIZATION.md,TOP_DISPLAY_EXPECTED,Context contains display/top/second-stage language.
